P37646	PF00563
O83768	PF17131
Q67XR9	PF05057
Q94KD3	PF04129
Q6NCN7	PF00312
O83765	PF12399
O83764	PF03968
Q7CIS2	PF00356
O16519	PF00400
O16517	PF05511
A0AAR7	PF00069
Q8D133	PF13407
Q96WS1	PF03303
O16510	PF00201
Q543N3	PF14604
Q9LJX0	PF00005
Q9LJX1	PF00010
Q06752	PF01406
Q9SKR2	PF17047
P13579	PF00042
Q7Z3K6	PF00249
Q55159	PF05193
P13574	PF02200
Q96D15	PF13833
Q7Z3K3	PF03221
Q81TC5	PF04055
P74057	PF02397
Q07084	PF00072
Q07085	PF00135
Q94920	PF01459
Q9R0B8	PF00071
Q9R0B9	PF03171
F1PU09	PF02841
Q9R0B6	PF00055
Q8CCG5	PF00071
Q98SK0	PF15316
Q55155	PF05157
O25799	PF05917
Q9LPS1	PF03727
Q8BLU0	PF01463
P74086	PF05685
O77775	PF13181
Q8N5K1	PF09360
Q68FJ0	PF07575
Q9LZC3	PF01274
Q9UJF2	PF00616
Q8WTR4	PF03009
O00189	PF01217
Q8WTR2	PF00782
P0A2M9	PF03536
Q6N5P6	PF00587
O00182	PF00337
Q93934	PF00294
O00180	PF07885
Q99N95	PF00297
O00186	PF00995
O00187	PF00089
Q8H2D0	PF02362
Q9VF92	PF03366
P03195	PF00692
P03197	PF05812
P03196	PF03554
Q304B9	PF17048
O25423	PF06518
Q924H7	PF00397
Q7DLS1	PF00227
Q924H5	PF08423
Q924H2	PF09606
Q8IJD0	PF00578
P14925	PF01436
Q12888	PF09038
P14927	PF02271
Q8IJD4	PF00318
P14921	PF02198
P64442	PF10968
P14923	PF00514
Q12882	PF07992
Q7KTC4	PF00005
P64448	PF13617
Q12887	PF01040
Q12884	PF00326
Q9JL90	PF14604
O55126	PF07978
Q8ZGC4	PF00587
O55124	PF07679
O55125	PF07978
Q0P944	PF03631
O00451	PF02351
Q8CZL8	PF03865
O00453	PF05083
Q10952	PF00024
Q7TN16	PF07995
Q10950	PF02598
O25795	PF00999
O00458	PF04836
O00459	PF00017
O80526	PF16114
Q8CZL1	PF03212
P00129	PF02271
O95190	PF02100
O95197	PF02453
O95196	PF06567
P62262	PF00244
O95199	PF00415
O95198	PF01344
Q9LKF9	PF07521
O54833	PF00069
O54832	PF00103
O01583	PF00069
B4DGN8	PF03171
Q9PN59	PF03740
Q0P9N1	PF05538
O54835	PF03166
Q8CHB9	PF00400
P0C037	PF06865
O54839	PF16176
Q9PN51	PF08459
Q7KT87	PF10204
P57053	PF00125
P57052	PF00076
Q495B1	PF12796
P57054	PF08510
P32434	PF00432
Q3KP44	PF12796
P57059	PF00069
C0LGD9	PF00069
P52029	PF00342
Q9NGX3	PF00452
P28185	PF00071
P74082	PF01479
A8DZ19	PF14604
Q8N239	PF01344
Q8IIR0	PF06424
P17473	PF03584
Q9I7X6	PF07942
Q9LVE2	PF01603
Q32P28	PF13640
Q9W0P0	PF10545
Q925N0	PF03820
Q9HE02	PF06333
Q693B1	PF02214
P53999	PF02229
Q9Z2W0	PF02127
P53994	PF00071
P0AF61	PF11080
P53996	PF00098
P53997	PF00956
P53990	PF03398
Q4V653	PF00089
P53992	PF04810
Q9HE04	PF00071
Q9Y704	PF08323
Q9Y705	PF04130
Q9Y700	PF03143
Q9ZW21	PF00481
P78371	PF00118
Q9Y703	PF02970
O15350	PF07647
O15353	PF00250
Q9HE06	PF07717
O15355	PF00481
O15354	PF00001
O15357	PF00017
G5EBG3	PF02135
O68195	PF08841
P32388	PF05047
G5EBG0	PF02301
Q99832	PF00118
P32385	PF00076
P32386	PF00005
P32387	PF00276
Q99836	PF01582
P32381	PF00022
C0PUW9	PF00397
P32383	PF00387
P62723	PF03601
Q9HZJ8	PF03846
Q9VP29	PF04669
Q9ZSD4	PF00804
Q04067	PF00076
Q04066	PF07859
Q04062	PF01399
Q7JFY6	PF01365
Q8R3N6	PF11957
Q9H7X2	PF15828
Q9H7X0	PF00583
Q5NGI2	PF03725
Q8K5A9	PF00531
Q8R3N1	PF04147
Q9UWW1	PF04104
P60372	PF13885
Q32LM8	PF07298
P60370	PF13885
P60371	PF13885
A8DYP0	PF00621
O45370	PF02149
Q94JX9	PF01849
G5EBG8	PF07646
Q01951	PF00502
Q98PK8	PF02463
O45379	PF00025
Q47511	PF02016
Q94JX5	PF00412
Q8N490	PF00753
Q9FE70	PF01679
O43236	PF00735
Q8DKZ3	PF10716
Q9NYD7	PF09011
Q15828	PF00031
Q9FE79	PF00071
P53370	PF00293
P0AC13	PF00809
Q3U2N8	PF00400
Q9C7N7	PF04520
J3QSS1	PF03522
P53378	PF03953
P53379	PF00026
G5EE32	PF00155
P0DH99	PF03143
P0DH98	PF13499
A1L453	PF00089
P0DH91	PF00025
P10121	PF02881
P0DH93	PF00137
P0DH92	PF00137
P10124	PF04360
P0DH94	PF00137
P10126	PF03143
P10127	PF00465
O14006	PF00380
O14007	PF01509
E7EM33	PF08332
Q8MYW5	PF07776
O14002	PF00072
O14003	PF08542
Q8TEY5	PF00170
Q38734	PF00319
Q38735	PF00319
Q7CH74	PF00768
O94972	PF00643
Q9CQD8	PF05493
O14008	PF13499
O14009	PF09745
Q9VGF7	PF00153
Q498K9	PF12701
D3YRZ7	PF05459
Q19350	PF02210
Q94AE4	PF11443
O25250	PF01565
Q9FUR2	PF03372
Q498K6	PF14806
P46505	PF07716
P0DM42	PF00022
P0DM41	PF00022
P49336	PF00069
P56820	PF05091
Q9DCZ0	PF02823
Q765B0	PF01346
Q9LDU5	PF06200
O94257	PF04072
O41970	PF02718
Q8CFQ1	PF02864
Q95WE6	PF00134
Q8CFQ3	PF16399
Q9VC48	PF15801
Q9M840	PF11904
Q5GJ75	PF05527
O97132	PF04547
Q93J02	PF00440
Q8IE75	PF06991
Q7JVL3	PF12871
P97879	PF00595
Q86X83	PF07258
P97876	PF07716
P97875	PF00170
Q9VH45	PF03645
P97873	PF01186
P97872	PF00743
Q5SZ64	PF00076
A5D903	PF15240
Q2HZL0	PF00469
P11612	PF00149
P92935	PF03219
Q5PQ98	PF03953
Q94JQ6	PF14569
Q9LW77	PF13639
Q9LW74	PF01221
P82925	PF15433
Q9VC41	PF03098
Q9U1U0	PF01826
A3EX84	PF00337
P72588	PF03119
P72589	PF05685
P72586	PF16363
P72584	PF02915
Q8R112	PF07679
P72583	PF16416
P72580	PF00348
P67809	PF00313
Q7K237	PF02434
Q9VGT9	PF01127
Q8JHG4	PF04658
Q55918	PF13426
Q8IXT2	PF15791
Q8R3G1	PF00498
Q8IXT1	PF08646
Q9VGT1	PF00201
Q10CH5	PF00010
Q13371	PF02114
Q9CPN8	PF00076
Q40882	PF00319
P63138	PF02932
Q9R0M4	PF06365
Q1CZZ7	PF00072
Q7T2E1	PF00400
P45566	PF06196
Q9CWZ3	PF00076
P63137	PF02932
Q17460	PF01484
Q6AY48	PF00013
Q9SL42	PF00639
P93045	PF04855
Q40885	PF00319
Q81KN5	PF07690
B2RYG8	PF09807
P0C6T2	PF10215
O94992	PF15313
P48060	PF00188
P48061	PF00048
Q8NC60	PF01926
Q8DKB3	PF00936
Q9BRL8	PF17226
Q8NC67	PF00057
P73183	PF00504
P48067	PF00209
Q9BRL4	PF00069
Q9BRL5	PF13499
Q9BRL6	PF00076
Q8NC69	PF02214
Q5PNT1	PF00400
Q9W1A9	PF01853
Q6AZ25	PF00261
B2RYG5	PF00641
Q9VGI6	PF13639
Q9VTB4	PF04716
Q9FFV2	PF04051
P50052	PF00001
P50053	PF00294
Q9VTB0	PF01753
P41440	PF01770
Q97ZJ7	PF09336
Q97ZJ6	PF03357
Q9VTB8	PF02891
Q9D1T0	PF13855
Q9VAF0	PF02535
Q9VAF3	PF16012
O02327	PF04180
Q9VAF5	PF00028
Q9VAF4	PF13891
Q9VAF7	PF06382
Q6IPR3	PF02676
A0FLQ8	PF07716
O49538	PF00249
Q9SL78	PF13639
Q3UN02	PF01553
O14277	PF00177
Q4FZX7	PF09439
P07677	PF02874
Q53H12	PF00781
P73239	PF00005
P73237	PF07963
P73236	PF07963
P0CE41	PF00172
Q9NW38	PF09765
P16278	PF01301
Q8STF6	PF00640
P62267	PF00164
P62264	PF00411
Q9W396	PF01393
Q9W391	PF00723
P62263	PF00411
P62260	PF00244
P62261	PF00244
Q9VYA4	PF09468
P37267	PF07960
P22954	PF00012
P37261	PF00881
P37262	PF01182
P37263	PF08790
Q9FFV9	PF00319
Q9EQP2	PF16880
Q9GKX7	PF00183
P31142	PF00581
Q59GD3	PF12052
P31146	PF00400
Q96GU1	PF05831
Q9S7U9	PF00069
Q8C988	PF03665
P74630	PF03065
P0C2G2	PF08268
P39779	PF08222
Q9DAU7	PF00095
P74638	PF03255
P0CE49	PF05598
Q9S7U5	PF00447
Q95XU1	PF00751
Q9S7U7	PF12146
Q9DAU1	PF11938
Q08949	PF04139
Q9Y2G2	PF13553
Q9Y2G3	PF16209
Q9Y2G4	PF12796
Q9Y2G5	PF10250
Q9Y2G8	PF00085
Q9Y2G9	PF13871
Q08943	PF03531
Q08945	PF03531
Q0DY58	PF00076
Q81S44	PF13228
Q8I374	PF02252
P58684	PF06703
Q8I377	PF10431
Q9XY10	PF00089
P58680	PF02401
O58996	PF01902
K7EN05	PF05129
Q01842	PF02198
I6L8A6	PF08573
Q01846	PF02194
Q8I379	PF00566
Q01844	PF00641
P09131	PF01758
Q03575	PF01060
Q55625	PF02033
P09132	PF01922
Q03570	PF08638
Q03571	PF16367
Q9A377	PF08448
Q9A379	PF00486
Q55628	PF02470
Q08492	PF08297
Q08493	PF00233
Q08490	PF07558
Q08491	PF00009
Q08496	PF00646
P74189	PF03958
Q80Y24	PF06297
Q08495	PF02209
P56597	PF00334
Q8VZF3	PF00326
P74186	PF11104
Q08499	PF00233
P74180	PF01098
Q9N457	PF04046
Q9PIP3	PF01967
Q86PE7	PF00069
P37840	PF01387
Q75IT2	PF13041
Q9VZI0	PF05672
O67056	PF01695
Q06755	PF01128
Q81NG4	PF03734
P16568	PF09730
F4IHF0	PF05542
Q8BXR6	PF04710
P49853	PF04239
P49850	PF08676
Q8WVI0	PF15114
P49858	PF03311
O06874	PF00691
Q6PI20	PF00125
Q9S9K7	PF16211
Q9SEZ1	PF04770
Q6EE21	PF05591
Q9SEZ7	PF00069
Q9SEZ4	PF00249
O06873	PF01618
O13843	PF04115
Q9EPV3	PF01588
Q9SEZ9	PF14416
Q9S9K9	PF00249
Q9LPK5	PF13499
Q9JKA9	PF08412
Q9Y4U1	PF16690
O45679	PF00291
P56041	PF00252
P56040	PF00828
P56042	PF01196
P56044	PF01245
P56047	PF00237
Q5D001	PF04587
Q53LP3	PF12796
P75580	PF00297
P75587	PF01687
X5HMX4	PF01611
Q5ZM98	PF00012
P35268	PF01776
Q7CGJ4	PF00577
Q66T02	PF00621
Q9VUL2	PF13824
Q9D7F7	PF03357
O59107	PF00374
O60636	PF00335
Q94K30	PF00106
Q683D7	PF00319
Q9VUL9	PF00852
Q9VUL8	PF04882
Q08236	PF16979
Q08237	PF00929
Q08234	PF00005
Q08235	PF04427
Q08230	PF03937
Q08231	PF01399
Q5U8S2	PF09177
P11844	PF00030
Q9FTA2	PF03634
Q9PNR1	PF06421
Q9UTJ7	PF02910
Q9PT63	PF12348
O60729	PF14671
P08266	PF04560
O60725	PF04140
Q19852	PF00618
Q19853	PF00092
Q19854	PF09750
P08263	PF02798
Q9VP52	PF00561
Q9QZ81	PF02171
Q09722	PF01399
Q9QZ83	PF00022
Q09720	PF00227
Q9QZ85	PF05049
Q5MFV6	PF04043
Q09725	PF12830
Q9QZ86	PF08156
Q9QZ88	PF12850
Q09729	PF00339
Q09728	PF00649
P87144	PF07973
Q96AG3	PF00153
Q10186	PF00010
O49508	PF12937
Q96AG4	PF13855
Q6NTF7	PF08210
Q9FMJ0	PF00454
Q9M9C5	PF00069
Q0P9C3	PF01370
Q9M9C3	PF02485
O49500	PF13639
Q10180	PF10544
P72918	PF05685
Q0PBK2	PF00202
Q5ZXA3	PF16448
Q81UI7	PF07516
O22850	PF00255
Q8K3Y6	PF02825
P87141	PF14538
Q8I2S9	PF08799
O08579	PF03020
Q8K3Y3	PF00098
Q9CQM8	PF01157
Q20000	PF02363
E5LBT9	PF00716
Q6QCM2	PF00716
Q7CIT4	PF01326
O25505	PF01926
Q7CIT3	PF13183
Q7CIT1	PF01458
Q6H7T1	PF00411
D3ZS72	PF00621
Q9U1W5	PF00651
Q571R6	PF00072
P37958	PF05389
G5EE71	PF00046
Q17971	PF11919
Q7CFZ6	PF00486
O14095	PF00085
Q9UIV8	PF00079
Q8K4H1	PF07859
B0BNJ0	PF02671
O14135	PF00856
Q9FGC5	PF01419
P11362	PF07714
Q9UIV1	PF04857
Q6P4F1	PF00852
Q97ZX7	PF03604
Q6PNE5	PF00600
P14314	PF12999
Q8NKC1	PF01596
Q6P4F7	PF00620
D3ZTX0	PF01105
B3DNN5	PF13181
H0Y413	PF06297
Q8K2C9	PF04387
Q7LG56	PF00268
Q9D1F4	PF15798
O14093	PF07928
Q9HCE9	PF04547
A2RU54	PF00046
Q8IW45	PF01256
P25748	PF00356
P93654	PF14523
Q8IW41	PF00069
Q8IW40	PF13877
O65523	PF05703
Q6IBS0	PF00241
P22138	PF04560
P22139	PF01194
O61458	PF03166
Q9C999	PF03547
Q04093	PF05057
Q9M8K6	PF00010
Q9M8K7	PF00782
Q9C995	PF00847
Q5HZA6	PF02897
P22136	PF12921
P22137	PF01394
P22134	PF00730
P22135	PF07542
P0CX69	PF01021
P0CX68	PF01021
Q2TB90	PF03727
B3KM81	PF00684
Q8AVW0	PF03946
P0CX61	PF01021
P0CX60	PF01021
P0CX63	PF01021
P0CX62	PF01021
P0CX65	PF01021
P0CX64	PF01021
P0CX67	PF01021
P0CX66	PF01021
Q8C943	PF00955
Q7CHR0	PF13407
F4K0E8	PF04551
Q9UTC8	PF07915
Q7CHR5	PF00282
Q8T476	PF06098
Q8WTR7	PF01352
Q7CHR9	PF00593
Q7CHR8	PF01032
Q6PA07	PF07714
Q9VSJ0	PF00057
P33174	PF00225
P33175	PF00225
P33176	PF00225
P28264	PF02491
Q9U0S4	PF01813
O43572	PF00615
O43570	PF00194
Q9ZU25	PF05193
Q0PBK3	PF00155
P43457	PF00137
Q6XVZ2	PF09052
Q9ZU23	PF01419
Q6XVZ0	PF09599
Q9M2P4	PF03145
Q72F01	PF02784
M0RDD7	PF13865
Q9D424	PF02197
Q8N1A0	PF00038
Q6PII3	PF13300
P25039	PF03144
P07205	PF00162
P07204	PF09064
P07207	PF00066
P31997	PF07686
Q54XS1	PF00351
Q99N96	PF00687
Q71UM5	PF01667
Q76NR0	PF00962
P0CAV8	PF02195
Q8T3U8	PF00294
Q5U0Y0	PF16879
Q9VV02	PF16051
Q9UNT1	PF00071
P0C1H3	PF00125
Q8IQF1	PF04055
Q8WUX1	PF01490
P0ACQ7	PF03466
Q9VX41	PF00640
P0ADG4	PF00459
P0ACQ0	PF00356
P0ADG7	PF00478
F4IP06	PF08265
Q9BQ16	PF00086
Q9DBF7	PF12542
Q9BQ13	PF02214
Q66HM2	PF02883
Q8I2R0	PF12108
Q8WUX2	PF04752
Q9FHN8	PF00784
P25297	PF00083
Q8INF2	PF09139
P73764	PF07714
Q9FHN6	PF07732
O49954	PF02347
J3KRF5	PF00637
O25424	PF00710
P72849	PF01126
P04786	PF02919
Q8C2N7	PF00412
Q63572	PF07714
Q63570	PF00004
O25426	PF01856
Q9GSS9	PF00400
Q5NG53	PF01409
Q8WV60	PF10037
Q3UB74	PF05964
O25427	PF01207
Q502E2	PF00194
Q05329	PF00282
P03190	PF00317
P0CG81	PF00240
B4E386	PF03953
Q8T3W8	PF00188
P72843	PF00072
P47904	PF01667
P03192	PF04633
P47902	PF00046
P47900	PF00001
P47901	PF08983
Q4ZIN3	PF09746
P72841	PF03781
Q68DZ5	PF02752
Q24090	PF04855
P30483	PF06623
Q9QXQ0	PF00435
P30484	PF06623
A6X8Z5	PF00620
O25428	PF01171
Q72AQ3	PF00890
P45381	PF04952
Q8I5S6	PF01399
Q8I5S7	PF01553
Q8I5S4	PF00439
Q9UQN3	PF03357
P69432	PF13994
P36675	PF03889
Q77NP3	PF11094
P36677	PF09350
O25226	PF02086
P33287	PF02776
P36672	PF02378
P36673	PF00356
Q54CK6	PF05008
P36678	PF04612
Q9VAT1	PF07776
Q9VCR9	PF00106
P64602	PF13466
O67931	PF07992
P37107	PF02978
P37106	PF02978
P64606	PF02405
P64604	PF02470
P64445	PF10749
Q9NZW5	PF07653
Q84JU4	PF00782
P37108	PF02290
Q9NSA0	PF00083
Q9NSA1	PF00167
O60184	PF13181
O74920	PF11712
O74927	PF02219
O95487	PF04810
P23484	PF08281
Q9Z0N1	PF03144
Q9Z0N2	PF03144
O74928	PF02142
Q8ZJI2	PF00196
P0A710	PF04279
Q9Z0N7	PF03520
P40676	PF01047
Q9LM66	PF00112
Q95XC1	PF05050
Q24238	PF00245
Q5JHZ0	PF00753
Q5NIA9	PF01488
P08003	PF00085
Q64702	PF00659
Q21412	PF04857
Q9CPU4	PF01124
Q8IUG5	PF00063
Q95RW8	PF16878
Q8L5T5	PF03195
Q9CPU0	PF00903
Q5GLZ8	PF00415
P23482	PF00361
P69380	PF16916
Q80901	PF00527
Q9H0N0	PF00071
Q5VWI1	PF01846
Q78XY9	PF00240
P05114	PF01101
P05113	PF02025
P05112	PF00727
P05111	PF00019
Q72B18	PF01493
P29525	PF01277
Q96I25	PF00076
Q96I24	PF00013
P73685	PF04248
A8MUZ8	PF01352
Q96I23	PF03966
Q10236	PF01351
Q9U393	PF00635
Q9HUF2	PF13426
Q9SGP3	PF00319
Q9CSH0	PF00076
Q9U395	PF00149
Q7L7W2	PF01603
Q6PF23	PF04130
Q0P941	PF01551
Q0P942	PF15436
P38104	PF02746
P38105	PF00107
P0ABU7	PF01618
P0ABU0	PF00378
P38101	PF01810
P0ABU2	PF06071
Q9BRQ8	PF07992
O35638	PF08514
Q9BRQ6	PF05300
Q9BRQ5	PF07856
Q9BRQ4	PF14926
P38108	PF17188
P38109	PF00450
Q9BRQ0	PF00628
P39274	PF14542
P39277	PF13520
P39276	PF00854
P39270	PF09997
O17066	PF11538
P52593	PF10487
P52592	PF00001
Q653Z6	PF07714
P52597	PF08080
E9PBC6	PF05010
Q9NAG4	PF16725
P52594	PF01412
P31460	PF00392
Q0P948	PF01812
P15891	PF00018
P31463	PF03466
C9JRY4	PF13774
P31466	PF00860
Q0P949	PF13905
P68587	PF02120
P31469	PF03691
Q72GS0	PF02233
Q8CZL4	PF00990
Q5VNW0	PF00275
O25910	PF02445
Q9H1D0	PF00520
Q9VA93	PF00487
Q9VA94	PF00487
O25916	PF03796
Q7PBE9	PF07690
Q9H1D9	PF05158
P43378	PF00102
O55226	PF01462
Q41951	PF00230
O24984	PF08966
P59861	PF13841
Q8GWH3	PF07915
O55128	PF06487
C7G1W0	PF00069
Q9HBD1	PF13445
Q9HBD4	PF00176
Q8BX57	PF02205
Q8BX51	PF04790
O24980	PF08666
Q8MLZ7	PF00704
Q8C0D7	PF12998
P53178	PF04101
P09671	PF00081
P53176	PF00674
P53177	PF02676
P53174	PF00674
P53172	PF00571
Q5QGS0	PF15735
P53170	PF10436
Q81KT8	PF06160
Q9VN68	PF09379
Q14318	PF07719
Q8R5M8	PF07686
Q13523	PF00069
Q14314	PF00147
Q8R5M4	PF11577
Q20437	PF01674
Q8R5M2	PF00110
Q6DCK0	PF07719
P02666	PF00363
Q6DCK2	PF04146
P17362	PF06227
O35730	PF16207
P02662	PF00363
P01732	PF07686
Q19335	PF16835
Q6DCK8	PF00643
Q19337	PF04184
Q9XEF0	PF00010
P02668	PF00997
Q9DDY9	PF00076
P01315	PF00049
O46339	PF16493
P01730	PF12104
Q64302	PF05805
Q8N960	PF12416
Q8N961	PF00651
P40719	PF00512
Q8N966	PF01529
Q72DS2	PF13186
P43595	PF06687
P43594	PF07956
Q92794	PF00628
P43596	PF15612
P43591	PF07728
Q92793	PF00569
P04798	PF00067
P04799	PF00067
P04797	PF00044
Q9P2B7	PF13879
P04792	PF00011
Q58EK5	PF01753
Q13387	PF14604
Q0KI00	PF01433
Q18579	PF00178
Q9V3H8	PF02136
Q0KI06	PF10256
Q9V3H5	PF03261
Q8RGE2	PF02874
Q9V3H7	PF00084
Q8RGE0	PF02874
P89462	PF00317
Q9V3H2	PF13012
Q3URS2	PF02023
Q9VNU1	PF01569
P41411	PF09079
H2A1D8	PF05784
P45434	PF03896
O01585	PF00620
P45437	PF14806
P49024	PF00412
Q0WDR2	PF00919
P45432	PF10602
O54836	PF12171
O15519	PF01335
Q4V857	PF01217
Q63961	PF00100
P41999	PF00105
P40568	PF08202
P41996	PF01607
P41994	PF06026
P44741	PF03595
Q9BWN1	PF15386
P41990	PF00008
Q9D2N9	PF00995
Q9SNY3	PF16363
A9UF07	PF00018
Q81WT3	PF03788
Q9VHH9	PF02008
P91129	PF02460
Q9D2N4	PF00569
Q05609	PF07714
Q8D1U4	PF01274
Q7K036	PF08038
Q7K037	PF00085
Q9SHE8	PF02507
Q9SHE9	PF03195
Q9SHE7	PF00240
Q4KM65	PF13869
Q80TF4	PF01344
Q7Z6V5	PF14437
Q9VEH4	PF13516
P87050	PF00069
P87051	PF00160
Q02953	PF00447
Q5SWW4	PF11597
P87056	PF12146
Q02956	PF00433
P87058	PF00076
Q8IY95	PF14802
Q8N5D6	PF03414
Q17662	PF01147
Q7PAZ4	PF00905
G1T8E2	PF00069
Q8GWH4	PF04178
Q9VXS6	PF07500
Q6NWV3	PF00400
Q9VXS3	PF16056
Q9M9W9	PF00481
O70786	PF05880
Q8CEE7	PF00106
C3W6D7	PF00506
H2KYX2	PF09379
A8BLG8	PF00443
Q796K8	PF00905
P57055	PF14998
Q72BP9	PF02574
Q9FXH3	PF02190
Q96DM3	PF07035
P14713	PF00360
Q99767	PF00640
Q6XHB4	PF08135
Q81NK6	PF01040
C0LGD6	PF00069
P14714	PF00360
P03227	PF00747
P14719	PF01582
C0LGD7	PF07714
P03222	PF04559
Q9NPD7	PF15056
Q10369	PF00249
C0LGD8	PF00069
Q7T408	PF03277
P63182	PF00386
P57058	PF00069
Q10361	PF00111
Q10360	PF05234
Q10362	PF00628
Q10364	PF00433
Q10366	PF11522
Q9VIN1	PF14604
B7YZQ1	PF12474
Q42351	PF01199
Q47184	PF03433
Q9VIN6	PF00188
Q9VIN9	PF01084
O24633	PF00227
P17256	PF00288
P17255	PF05203
Q9Y7F6	PF00160
O82312	PF04926
Q9Y7F0	PF00578
O82316	PF00230
O82318	PF00069
P13941	PF00093
Q57231	PF08998
Q8K3D3	PF07061
P13945	PF00001
Q9BZ71	PF02862
Q7KVD1	PF00435
O59739	PF02179
Q9BZ72	PF02121
Q02371	PF14987
O23171	PF12697
Q02373	PF10249
Q9BZ76	PF02210
O59733	PF08231
O59732	PF08238
O59731	PF14308
O59730	PF15801
O59737	PF00566
O59736	PF08502
O59735	PF03798
O59734	PF01423
P9WNT5	PF02811
G5EG14	PF09732
Q7PLL3	PF00076
Q7PLL6	PF02985
P50528	PF00659
P0A6J8	PF01820
A2ARA8	PF08441
Q8WXI7	PF01390
Q8WXI4	PF01852
P50520	PF00613
Q96EI5	PF04538
Q8WXI9	PF16563
P50523	PF02939
Q9UN30	PF00536
P34223	PF00789
P50526	PF00069
P50527	PF00069
Q6QCL5	PF03122
P68806	PF01741
O31466	PF15777
Q99KG5	PF05624
A0A4W4	PF07686
Q8N236	PF00169
P19970	PF09421
P19971	PF07831
P19973	PF02029
P19974	PF00034
P34227	PF00578
H2KYX3	PF09379
G1SFE0	PF13012
Q9LY15	PF01625
Q9NR80	PF00018
Q9NR81	PF00621
Q9NR82	PF03520
Q16204	PF09755
Q16206	PF00076
P15043	PF09382
G1U971	PF01399
P17475	PF00079
P12018	PF07686
G5EBQ3	PF05183
Q9VFK4	PF00046
Q05CH4	PF00854
Q03772	PF04889
Q03770	PF00324
Q60ES2	PF08652
Q8U1R5	PF00575
Q03778	PF01687
Q9M7T0	PF08534
Q7CHM0	PF08755
Q8L611	PF00400
Q9CQ25	PF12926
Q9CQ22	PF15454
Q8L615	PF06775
Q9CQ20	PF07084
Q8L617	PF07714
Q7CHM9	PF05943
Q7K0W1	PF11875
Q5NI40	PF01326
Q07471	PF02776
O14627	PF00046
O94538	PF03343
O94539	PF08566
Q07475	PF11092
Q07474	PF00319
Q8T429	PF00089
O94532	PF02181
Q07478	PF00271
O94536	PF05773
O94537	PF06479
O14628	PF01352
Q5WRR6	PF00169
Q8BFZ3	PF00022
Q7DMK2	PF00891
Q9SKI2	PF03357
Q6PGN3	PF00069
P53995	PF01851
Q84PC8	PF07714
Q8N8F7	PF15145
Q6PGN9	PF15259
Q84AF2	PF09195
Q3UEI1	PF00233
O54975	PF16188
O54972	PF01753
P56202	PF00112
D4ABA9	PF08043
P13051	PF03167
P13050	PF04650
P13053	PF00105
O44743	PF00170
P13055	PF00105
P13054	PF00105
Q4KUS2	PF10540
P13056	PF00105
P16661	PF00534
Q12436	PF02535
Q5T2W1	PF00595
Q12434	PF02115
P16665	PF00210
Q12432	PF11717
Q12431	PF07019
Q5T5M9	PF00134
Q9SI75	PF03144
Q8IID5	PF00069
Q6PDM6	PF00435
P0AC69	PF00462
Q12439	PF01021
Q12438	PF00462
O83598	PF00381
Q6P1R4	PF01207
P52960	PF00172
P52965	PF02775
O83591	PF12704
O83595	PF09334
Q542D9	PF04253
Q0WWW9	PF00083
Q3E834	PF08571
Q3E835	PF15630
Q9LIJ8	PF04720
Q3E830	PF11503
Q3E833	PF09341
Q8WW55	PF02865
Q9W1A0	PF13884
O16701	PF00095
O16700	PF00168
P12790	PF00067
G5EEP2	PF03166
P35754	PF00462
D1J6P8	PF01353
Q9NS40	PF13426
P0C0F6	PF00072
Q5WAB3	PF02883
Q9DE46	PF08996
Q14999	PF00888
A1Z8R8	PF01694
Q07292	PF02196
Q9HFE8	PF00454
Q9VMJ5	PF01301
Q2M2T1	PF00125
Q09525	PF05406
Q9FKR2	PF00319
O80489	PF00025
P73139	PF13753
B5APU7	PF04045
P20764	PF07654
Q72C78	PF02769
P20761	PF07654
P20760	PF07654
Q9FKR9	PF00642
Q9Y709	PF03931
O27564	PF02254
P03893	PF00361
Q04929	PF07653
Q6UXA7	PF15809
Q6PFT0	PF15975
Q04924	PF12999
Q04925	PF17187
Q04922	PF00646
P28575	PF01344
Q04921	PF00735
P78504	PF07657
Q5VT79	PF00191
Q8IRY0	PF02181
O75528	PF10198
O75529	PF00400
Q9Y512	PF01103
O75525	PF16568
O75526	PF00076
Q9ZV94	PF08387
Q9Y519	PF03619
P78509	PF02014
P51786	PF01352
Q9C5F6	PF05278
P73130	PF05685
P51785	PF00920
Q8TAT5	PF00641
Q8TAT6	PF05020
P51784	PF14533
Q9XSM3	PF00520
Q47404	PF07388
P28683	PF10413
P28680	PF00001
P73133	PF00202
P34233	PF00320
P17536	PF12718
Q09292	PF04727
P17535	PF03957
Q09296	PF00246
Q0PA57	PF00106
Q0PA56	PF12796
Q0PA55	PF11791
Q0PA54	PF01035
Q0PA50	PF00316
Q9N9Z9	PF00620
O84064	PF04545
Q0PA58	PF03553
P90849	PF01215
Q8R4R6	PF05172
Q7XJE6	PF06943
Q7XJE5	PF06943
Q8ZRW0	PF04453
P68331	PF01621
P68336	PF12149
Q8NFI3	PF03644
Q65Z40	PF07814
Q8CBD1	PF15690
Q8IBX6	PF06487
Q8SYL1	PF00400
Q5ZF01	PF00270
F1LT30	PF01480
Q99835	PF01392
Q6NN09	PF00137
Q46389	PF00809
Q56A76	PF08880
P0CF66	PF01527
P0CF65	PF03226
Q9UK97	PF12937
Q56A73	PF02513
P62880	PF00400
