yourlist:M20180328A7434721E10EE6586998A056CCD0537E55CF1AF	Entry
9585	Q96Q89
9588	P30041
9588	V9HWC7
9589	A0A087X1R4
9589	Q15007
191623	O17894
191622	Q94166
734341	Q5EAU6
184429	Q19418
811942	Q8IL87
269523	Q01853
346689	A4D1S0
825855	Q9M0Y5
84920	Q5BKT4
679221	Q3B8Q0
2540908	O59711
841337	Q9M9B4
2540903	O59741
822446	Q9LHA7
2540900	Q09188
2540907	Q10332
2540906	Q9USS0
2540905	O59742
9058	Q13183
822444	Q9LJP4
822444	W8Q6R3
9050	A0A0S2Z4R2
9050	A0A0S2Z505
9050	Q9H939
9051	A0A0S2Z5P3
9051	O43586
9052	Q8NFJ5
9053	A0A087WZ40
9053	B7Z3E1
9053	B7Z3Y3
9053	B7ZB64
9053	Q14244
9054	Q53FP3
9054	Q9Y697
9055	A0A024RC67
9055	O43663
9056	A0A0S2Z502
9056	Q9UM01
9057	A0A024R719
9057	Q92536
24069	Q3U0Z8
24069	Q9Z0P7
24068	Q80VJ2
226419	Q922Y0
64864	Q2KHR2
37269	Q9V8Y7
24061	Q9CU62
37266	A0A0B4LGZ8
37266	Q8SY61
24063	Q53ZU1
24063	Q9QXV9
37264	A0A1B2AKN7
37264	Q9V8Y2
24064	B2RS85
24064	Q9QXV8
37261	A0A0B4KFW5
37261	A1ZBP3
37261	Q86LF0
24066	Q9WTP2
79836	A8K2D3
79836	B3KUN7
79836	Q496Y0
22898	A2RUS2
22899	A0A0S2Z547
22899	O94989
13360	A0A140LIT2
13360	O88455
22893	A0A024R9K2
22893	Q8TBE0
22890	Q9Y2K1
22891	Q70YC4
22891	Q70YC5
68194	Q9CQC7
22894	G3V1J5
22894	Q9Y2L1
22895	A0A024RBK6
22895	Q9Y2J0
7976	Q9NPG1
334050	Q7ZVR0
100037212	A2VDB7
3772559	A0A0B4K6P5
3772559	Q9GPJ1
3772559	Q9VGY6
180918	Q94272
71846	E9PYH4
71846	Q505B8
71840	A0A0R4J051
71840	Q149S1
180914	Q27371
30120	A4JYS0
30120	Q9IAT6
30122	P51028
380520	Q7SZB0
268697	P24860
268697	Q3TQW9
856597	P29704
4302	A0A087WW39
4302	P55198
31292	Q9W4T9
4300	A0A0S2Z448
4300	P42568
856593	P38873
31295	Q9U1K7
856591	P38872
856590	P38871
31298	A0A1B2AJY8
31298	P40139
4308	Q7Z4N2
811677	Q8ILZ7
856599	P38878
856598	P38877
840060	Q8L7A9
37842	Q9U6R9
37841	A0A1B2AKQ4
37841	P45594
37840	Q9W1C5
840064	A0A178WG70
840064	Q9C6W5
37846	A0A1B2AK02
37846	Q9GU68
37844	A0A0B4LGF3
37844	A8DYP1
37844	A8DYP2
840068	Q9C6S1
840069	A0A178WJ33
840069	P57752
37849	A0A1B2ALR4
37849	O16130
64860	Q6P1M9
3122	A0A0G2JMH6
3122	P01903
3123	D7RIG5
3123	D7RIH8
3123	P01911
3123	P01912
3123	P13761
3123	Q29974
3123	Q5Y7D1
3123	X5DNQ0
3120	A0A2H4Z4R5
3120	A2ADX3
3120	P05538
3120	Q5SR05
3126	P13762
3126	X5D2U9
3127	Q30154
79339	Q9Y5P0
3125	P79483
183245	O61766
183243	O61770
183240	Q18489
183241	Q18490
9658997	A9LY07
36880	Q9V7U0
868	B3KSS7
868	B4DYP3
868	B7ZAG1
868	Q13191
841013	Q8GUM3
11322	A0A024R8V2
11322	Q7Z403
723780	Q3C1E9
38451	M9PE75
38451	M9PEI5
38451	Q8IRC7
185374	O45469
2746201	A0A178UAY8
2746201	A0A1P8BAL2
2746201	A0A1P8BAL8
2746201	F4K1R2
829020	A0A178UXJ3
829020	F4JM55
829020	Q9SZD0
444546	Q6DKD7
2746209	A0A178ULH2
2746209	Q6IDA3
25813	Q9Y512
186549	Q21015
25816	B3KUI2
25816	O95379
25814	Q9UBB4
818739	A0A178VYJ0
818739	P30188
183792	D5MCU2
183792	O45313
25818	Q9Y337
186547	Q9XVL8
186544	Q20997
18015	Q04690
66704	Q8VE92
431939	A0A1L8HIN8
431939	Q6NRD9
64792	A0A024QYT8
64792	A0A024QYV3
64792	Q9H7X7
66700	Q9CQ10
865	A0A024R6X2
865	Q13951
180263	E0R7L7
180263	Q9NES8
813548	Q8I2N6
180265	J7SF88
180265	O18141
180264	Q9NES7
130813	Q96LR7
23309	B7Z392
23309	M0QYC5
23309	O75182
23308	A0N0L8
23308	B7Z1W8
23308	O75144
181790	G5EC84
822250	Q9LIN0
511045	A5PKJ3
23301	A0A140VK17
23301	A8K930
23301	Q8NDI1
23300	O43313
23303	Q9NQT8
23305	B2RB13
23305	B4DFW3
23305	Q9UKU0
23304	B3KXG6
23304	Q8IWV8
23307	Q5T1M5
23306	O14524
105844	E9PUV9
105844	P58660
813544	Q8I2P0
2541275	O43081
362281	Q3SWS8
852038	Q04066
5740446	A0A076NAB7
5740446	A8DYK6
852034	Q02647
177561	Q18403
177562	Q18406
852037	Q04062
852030	P41809
852031	Q04052
852032	P32578
852033	P24813
43404	A0A0B4KHD2
43404	B7Z0R2
43404	Q9VAS8
171810	A0A061ACL9
171810	A0A061ADT4
171810	Q9N478
853349	P40858
853348	P40857
853345	P42951
853344	P32477
853347	P40856
853346	P40955
853341	P42950
853340	P42949
853342	P39677
6675	A0A140VKC0
6675	Q16222
6674	Q07617
6676	Q9NPE6
6671	Q02446
6671	Q32M51
6670	B7ZLN9
6670	Q02447
6670	Q59FX5
6670	Q86TP0
838818	Q9LM46
6672	P23497
6672	Q6ZMK3
43400	Q9VAT2
2539993	Q9URU6
838812	Q147Q9
838812	Q39234
6678	P09486
838810	A0A178W0U5
838810	Q8GWJ6
4702	B7Z768
4702	P51970
2541557	Q09919
43402	Q86B74
43402	Q9VAT0
36351	Q95RB2
856817	P40056
182681	Q09251
50190	C5WLP9
50190	Q9VQ66
50615	Q9HBE5
50617	A0A024R791
50617	Q9HBG4
50616	Q9GZX6
326620,69386	B2RTM0
326620,69386	P62806
839143	A0A178W8G8
839143	Q9C6M5
851260	P32471
839141	Q7XYY2
839140	A0A178WE47
839140	F4I2H7
50619	Q9H4E7
50618	A6H8W8
50618	Q9NZM3
839145	A0A178WLI1
839145	Q6NQK2
2541552	O14270
2541551	Q09190
181131	Q18286
328778	Q148R0
328778	Q504M8
821230	A0A178VJ68
821230	A0A1I9LM16
821230	Q8GXX7
108645	Q99LB6
189304	Q2XMY3
189304	Q2XMY4
189307	G5ECF6
344758	Q2MKA6
344758	Q86SP6
4709	A0A024R413
4709	O43676
173713	O02076
4708	A4D1T5
4708	O95178
51321	Q86W34
852690	P53100
852691	P53101
852692	P53102
852694	P40956
852695	P53104
852696	P43637
852697	P39016
852699	P46945
184560	O44635
54631	Q9QZS7
43912	A0A0B4KG60
43912	A0A0B4KGU8
43912	Q9VEJ1
817915	C0SV72
817915	O22800
817916	F4IFU5
817916	Q5HZ54
817917	O22802
43916	Q9VXE3
43916	X2JC83
43916	X2JE40
43916	X2JKQ8
817911	A0A178W0J9
817911	F4IVV0
817913	A0A178VTD8
817913	A0A1P8B1M0
817913	B3H636
817913	O22798
240084	G3UWS7
240084	Q3TWA2
240084	Q8K2I2
240087	E9QK89
240087	Q5PSV9
817919	A0A1P8B2G0
817919	Q8LL04
128338	A0A024R0B7
128338	Q6UX65
140917	Q8C7W7
2539176	O74975
2539177	Q9USL2
854698	P40483
2539175	O74446
2539172	O59761
2539170	Q9UUN5
2539171	Q9UU91
854692	P40478
854693	P40479
854690	P07172
854691	P40477
854696	P40481
854697	P40482
854694	P40480
4686	A0A024R179
4686	Q09161
854205	Q12320
4684	A0A087WWD4
4684	P13591
852969	P48363
4682	P53384
4683	A0A0C4DG07
4683	O60934
4680	P40199
5217	P35080
852962	P53246
852963	P48412
852960	P53244
852961	P53046
852966	Q00723
852967	P23369
852964	Q02260
4689	Q15080
856278	Q12374
856279	Q06451
41252	A0A0B4JCW7
41252	A0A0B4KG40
41252	A0A0B4LGZ2
41252	A0A0B4LH08
41252	A0A0B4LH38
41252	Q9VH10
856272	Q12207
5212	Q6UXI7
856270	Q06522
856271	Q06523
856276	Q06537
856277	Q06449
856274	Q06524
854200	P51534
854525	P33122
854527	P12689
854520	Q12182
5110	A0A0A0MRJ6
5110	B7Z972
5110	F6S8N6
5110	H7BY58
5110	P22061
854522	Q12293
830950	Q9LEV6
418514	F1P2D7
418514	Q5R1S9
854202	P38909
5119	Q9HD42
854529	P52489
830959	Q9LEU8
3765	Q92806
839859	A0A1P8AWX1
839859	Q6QJ72
839858	F4I346
839858	Q84WW7
79611	A0A0B4J1R2
79611	Q9H6R3
821982	A0A178VL19
821982	Q9LIQ9
172041	A0A163VTS9
172041	Q19020
172045	Q95NM6
21912	Q62283
434881	Q497M0
818009	A0A178VQL0
818009	Q8H124
33339	M9PC50
33339	Q9VQ25
33339	X2J6N9
837452	A0A178W8C5
837452	Q9ZPZ4
84790	B7Z1K5
84790	F5H5D3
84790	Q9BQE3
837455	A0A178W6T5
837455	A0A1P8ATL2
837455	Q9SA52
837454	A0A178WGW7
837454	A0A1P8ANI1
837454	Q0WRM9
837454	Q8LEK2
33331	Q0E8U8
33331	Q8IPW9
21916	P49813
33333	Q9VQ17
33335	I6LU58
33335	P81909
33334	B7YZU6
33337	Q9VQ22
33336	I6LTZ3
33336	P81910
844257	Q84JL6
66448	Q9CQL4
45815	Q9V3N1
21915	P97930
21915	Q6GRA7
39885	B5RJD9
39885	Q8T3Y0
39884	P21461
39884	X2JB60
36675	Q5BI33
36675	Q9V784
39886	M9PFJ4
39886	Q8IQN9
36673	A0A0B4LF60
36673	A0A0B4LFD7
36673	Q7JQG5
36671	Q8SWZ6
39882	G2J5U1
39882	Q9VVA8
175150	B7WNA3
175150	O17977
39889	M9MRX0
39889	M9PFX9
39889	Q7KUQ5
39889	Q7KUQ6
39889	Q8IQQ3
39889	Q9VVB5
39889	Q9VVB6
39889	Q9VVB7
39889	Q9VVB8
39888	Q9VVB4
36679	Q4V3F5
36678	A0A0B4K7A3
36678	A0A0B4K7Q9
36678	A0A0B4K7Z6
36678	A0A0B4K876
36678	Q7YU81
44148	Q9W2A5
44149	Q9VIE8
41801	P25008
41807	A0A0B4K683
41807	Q9VFE4
291874	Q66HC5
2539584	Q9Y7T0
41804	Q9VFE7
2539583	O74543
839092	Q9FXK6
92291	Q6MZZ7
829793	A0A178V5B3
829793	O23239
41668	Q9VFT3
829792	O23240
41662	Q9VFU0
41663	Q9VFT9
41660	Q9VFU2
41661	Q9VFU1
41666	A0A0B4K6U6
41666	Q08473
41665	A0A0B4K6G7
41665	Q9VFT7
40391	M9PD81
40391	M9PGC5
40391	M9PIH3
40390	Q9VP19
836504	A0A1P8BAU5
836504	Q9FN05
40392	Q9VP16
40395	Q9VP13
40394	Q8T4A3
40398	M9PD85
40398	M9PFX8
40398	M9PG57
40398	M9PIH9
40398	O76923
40398	O96378
836508	A0A178UBY0
836508	F4KC57
836508	Q8GXN6
836509	A0A178UP37
836509	Q9C5U8
175904	Q18036
3639674	A0A1D8PRK8
175900	Q18033
175901	P51404
175902	Q18034
8227	Q02040
8227	Q05DA9
8228	A0A024RBU8
8228	P41247
175909	Q11184
3766682	Q9XFB0
819182	O80845
819185	O80842
819187	A0A178W2D7
819187	O80840
15502	P63037
15502	Q5NTY0
734716	Q498H7
15507	P14602
15507	Q545F4
15504	O35723
15504	Q5RL26
15505	Q61699
174051	Q09268
174050	Q09490
174053	Q09491
174052	Q18355
171026	F1LPP6
171024	B4E258
171024	Q9UMS6
174059	Q09544
174058	A0A0K3ARM6
174058	A0A0K3AUM4
174058	A0A0K3AWY7
174058	Q09990
825794	A0A178V3P6
825794	Q9XEB5
37106	Q7KK90
90527	A8K9Q6
90527	B5M0B7
90527	B5M0B8
90527	B5M0C0
90527	Q1HG43
37104	B5RJG0
37104	Q8T0R7
37105	Q4V6J1
181491	Q9GTD4
37101	Q8SYA4
9653057	D8SQ86
162461	Q6UXU6
37108	A1ZB68
399327	A9ULV8
399327	P46472
2540683	O42953
318595	Q8IMU0
229363	B2RRH9
229363	Q3THK7
828882	A0A178V5Z4
828882	Q9T090
838481	A0A178W7J9
838481	Q9LMC7
13557	A0A1Y7VML1
13557	O35261
13557	Q3TMJ9
13557	Q3UZJ0
13557	Q6PCM3
13557	Q6ZQJ8
11343	A0A0C4DFN3
11343	B2ZGL7
11343	E7EWX8
11343	Q99685
318599	Q8T3J1
838487	Q2HIJ6
838487	Q9ZWS7
838486	A0JQ66
40535	Q9VMZ6
40534	Q9VMZ5
40537	Q9VMZ8
40530	Q9V3C0
43236	A0A0B4KHY6
43236	Q04688
822365	A0A1I9LNB2
822365	A0A1I9LNB3
822365	Q9LTY6
822364	A0A178VCF7
822364	F4IWI5
822364	O23710
822363	Q8VY55
40538	Q9VMZ9
44858	Q9VGH1
43234	P10181
840112	Q43307
7923	A0A1U9X7U3
7923	Q92506
44851	Q9VLI4
44851	Q9VLI5
44851	X2J5A2
44856	Q9W0F8
178887	G5ED20
43232	Q9VBA8
818854	F4IP47
818854	Q42512
818856	Q9SIN3
818850	A0A178VSM5
818850	A0A1P8AYS4
818850	A0A1P8AYV1
818850	F4IN36
818850	F4IN38
818850	Q07100
834630	Q94CD5
818852	Q84W89
174966	Q93510
818858	Q9SIN1
818859	A0A178VYW7
818859	F4IP53
818859	F4IP55
818859	Q96299
23148	O15069
819725	A0A178V8M9
819725	A0A1I9LT16
819725	P42791
55014	P56962
2541161	P24488
261618	Q8T403
819722	A0A178VBH7
819722	Q9M9W1
810772	Q8IIE9
819729	A0A178VBR3
819729	A0A178VDM8
819729	A0A1I9LPS0
819729	Q8GUK5
55016	A8K0Z6
55016	D6RGC4
55016	Q8TCQ1
261613	Q8T9H8
811530	Q8I4T6
2539919	Q09741
811532	Q8I4T4
827851	A0A178UUE0
827851	Q9SUB0
811534	Q8I4T2
827857	O49552
827854	Q8RXD4
2543253	O14274
2539910	Q9P6J0
2539911	O74315
2539913	Q9USZ6
2539914	Q09825
2539916	Q9USZ2
2539917	P0CT54
2539917	P0CT55
57600	Q9P278
55012	Q969Q6
17930	O55124
17930	Q14BI5
17930	Q3UQS9
55013	Q9NWR8
312444	Q3KR86
14378	Q9Z186
38304	Q9W019
38306	E1JIB9
38306	E1JIC0
38306	M9MRN1
38306	M9MRN5
38306	M9MRP8
38306	M9MRQ1
38306	M9MRU6
38306	M9MRZ4
38306	M9NEY0
38306	M9NFH6
38306	M9PDU5
38306	M9PEC5
38306	Q0E8J1
38306	Q7KV92
38306	Q7KV98
38306	Q8IRF0
38306	Q9W013
38306	Q9W016
38306	Q9W018
38306	X2J8M7
38306	X2JAL9
38306	X2JAM4
38306	X2JC02
38306	X2JCG0
38306	X2JG79
38301	Q9W022
38300	Q9W023
38303	Q9W020
38302	M9PE14
38302	Q9W021
57604	Q9P272
379981	Q7ZXZ5
830744	Q8RWV9
234729	Q80WQ2
830742	A0A178UHJ5
830742	A0A1P8BDA8
830742	B3LFA6
830742	Q9FT92
837639	A0A178WLN7
837639	O04090
52585	Q3TVU9
52585	Q99L04
81688	A0A024R026
81688	Q9GZU0
81689	Q9BUE6
834837	Q9FIJ5
834831	A0A1P8B9X9
834831	Q9FIK1
834832	Q9FIK0
14373	Q545U0
14373	Q61585
843595	A0A178WCV4
843595	Q94BS8
81681	P48450
834838	Q9FIJ4
826299	Q9ZQC0
5947	A0A0A0MQT0
5947	P09455
826298	Q9ZQC1
5940	P0DJD3
122258	Q96KW9
11504	P97857
11504	Q3TQF7
11504	Q3TTE6
11502	A0A140LHU0
11502	Q3U1W3
11502	Q3UG15
11502	Q61072
830109	Q9SVA3
5948	P50120
5949	P10745
838731	A0A178W9U6
838731	Q9LMP5
65105	Q9JM93
838734	A0A1P8ATZ7
838734	A8MQY2
838734	Q84WN4
838734	Q9LPL8
65109	Q9BZI7
65108	P49006
150209	B7Z376
150209	Q96NN9
839460	A0A178W961
839460	Q6AWV1
810776	Q8IIE5
178458	Q22038
60559	P61009
94081	Q9H9B4
2539174	Q9P7J7
91179	A0A096LNX8
91179	Q96GP6
69288	B7ZMU4
69288	Q9DAK3
6869	P25103
838535	Q8L5Y2
447638	Q642N8
842278	A0A1P8ASR1
842278	Q6NQK9
3565888	Q09289
284467	Q7Z5A8
835320	Q9XH75
222068	F8W7F7
222068	Q7Z7H5
94062	Q99N95
11522	P00329
11522	Q3UKA4
2541546	O13714
824468	P38666
821049	A0A178VD08
821049	Q9LVI9
824035	A0A178VKV1
824035	Q9SMM5
824034	A0A178VHC7
824034	Q42522
69136	Q673H1
824036	A0A178VG41
824036	P24100
824031	Q9SMM9
824030	Q9SMN0
852970	P53249
221613	Q96QV6
191426	O62519
148581	A0A140VJY9
148581	Q5VVX9
39847	Q9VV76
42702	Q9VCT9
42703	A0A0B4KGL8
42703	A0A0B4KH73
42703	A0A0B4KHX6
42703	A8JR84
42703	Q86B80
42705	Q9VCT6
42706	Q9VCT5
42707	Q9VCT4
42708	Q9VCT3
42709	Q9VCT2
826890	A0A1P8B6Z5
826890	A0A1P8B700
826890	A0A1P8B708
826890	F4JRG0
826890	Q9SU08
826892	A0A1P8B6D0
826892	Q9SUI4
831275	A0A178UB34
831275	F4K5I3
831275	Q8W575
17215	P25206
17215	Q3UI57
17216	P97310
17217	P49717
17217	Q3UA65
17217	Q542F4
17210	P97287
831270	A0A178ULA9
831270	B9DHH9
831270	F4K5H6
831270	Q5XF32
831270	Q9FMT1
2356	Q05932
52428	Q8BWR8
17219	P97311
17219	Q3ULG5
17219	Q542I2
17219	Q8C5L1
841533	A0A178W725
841533	Q9C685
841532	A0A178W6S0
841532	Q9C684
841535	Q9C688
841537	A0A178WHN7
841537	Q9C690
53831	Q9NQS5
295213	D3ZTB5
90355	Q96GV9
93739	P60521
295217	P60192
295217	Q4KM25
53832	Q9UHF4
90353	Q7Z7A3
9218	Q9P0L0
9219	A0A024R534
9219	O94776
2541541	Q09922
13837	Q8BRB1
67054	Q9DCL9
9212	Q96GD4
9213	A0A024R911
9213	Q9UBH6
9210	O95972
9211	A0A0S2Z4S7
9211	A0A0S2Z4X3
9211	A0A0S2Z5G1
9211	A0A1B0GUD3
9211	O95970
9217	O95292
9217	Q53XM7
9214	O60667
9215	O95461
9215	X5DR28
54862	Q6P1N0
54863	Q9NXH8
54860	Q9NXJ0
54861	A0A024R2Y6
54861	A8K5P5
54861	B4DHM9
54861	E7EUC4
54861	Q9NRH2
54867	Q6NUQ4
176028	Q10950
176029	Q7JPQ6
176027	Q10949
176024	Q22620
176024	Q65ZK5
54869	Q8TE68
176022	Q22618
176023	Q22619
12369	P97864
12369	Q4FJQ4
12368	O08738
12368	Q3TPJ9
53838	A0A024R5K9
53838	E9PRU5
53838	Q96F05
10299	O60337
10298	A0A024R0J1
10298	A0A024R0L8
10298	O96013
10295	A0A024QZA9
10295	O14874
10294	A0A024R6S1
10294	O60884
10297	O95996
10296	B3KRN7
10296	B4DJP8
10296	B4DQT1
10296	B4DVN3
10296	D6RIB6
10296	Q7L5Y9
10291	A0A024R1K8
10291	Q15459
10290	Q15772
10293	Q9BWF2
725	P20851
837835	F4IDW9
55255	A0A0S2Z5E0
55255	Q9HAD4
254428	B2RMP2
254428	Q8IVJ1
68420	Q80UP5
160298	Q8N5U0
304743	Q5BJT7
3637799	A0A1D8PNM0
68427	B2RQ45
68427	Q8BZH0
387893	E3VVS3
387893	Q9NQR1
217379	Q99KJ0
3637791	A0A1D8PNE2
380323	Q7T0Y3
380320	A0A1L8FNL1
380320	Q7ZXU2
829549	A0A178UTZ4
829549	Q9LDD8
45739	Q9VTE2
829540	Q8L5Z0
829541	A0A178V029
829541	B3H6F9
829541	Q940H6
829547	Q9M7Q3
851127	P0C2J4
851126	Q06685
851125	Q06078
2913	A4D1D0
2913	Q14832
851123	Q06070
851122	P0C2H9
827072	A0A178V4P8
827072	F4JUQ2
2917	B2R693
2917	B9EGG9
2917	Q14831
2917	Q59G95
2919	P09341
814800	A0A178VU83
814800	A0A1P8AZE7
814800	A0A2H1ZE16
814800	O64511
851129	Q06686
851128	P0C2J3
54287	M0RDJ3
54287	Q63184
80127	Q8ND07
24300	A0A140UHW7
24300	B2GV28
3354965	Q95RS6
3767415	A7REF6
3767415	P82731
79130	P60905
79133	Q5TEU4
79132	A0A024R1Y5
79132	Q96C10
79135	Q9BUR5
79134	Q9H7F4
79137	B3KR51
79137	Q8NC44
79139	A0A024R9G3
79139	E5RGY0
79139	Q9BUN8
820541	Q93WB8
3565610	G5EEK3
811084	Q8I614
13016	A0A0J9YU62
13016	O88712
2540292	P36594
2540291	O74823
2540290	O59667
2540297	O74769
2540296	O74799
2540295	O59713
2540294	P87306
175597	Q20048
183552	Q18687
810938	Q8IHY4
175592	Q21601
13018	Q61164
2541522	Q10134
246653	A1Z743
246653	A1Z745
246653	Q8SXN9
2541520	Q9P7C1
2541521	O13896
2541526	P24487
2541527	Q09718
2541525	O42657
178147	Q19335
178146	P54816
2541529	O94454
246650	B5RJR6
246650	Q8MKN0
54138	P28658
3565577	O01894
3565577	Q95QZ9
830297	Q9FYE2
54130	P61164
54131	P70671
54131	Q3U9K6
54132	O70400
20215	P20443
20215	Q3UPX6
2541548	Q9UTA4
79685	Q9HAJ7
91754	Q6PKF2
91754	Q8TD19
79683	Q8IZN3
79682	Q71F23
20218	Q60749
91750	B3KN83
91750	Q52LA3
175049	Q9XVB1
252671	E1JJN6
252671	M9PF12
252671	Q9VX41
252671	X2JE74
67673	P62869
81870	Q9BYP9
175040	B7FAS0
289990	G3V6W6
289990	Q32PW9
544020	O64397
188274	Q9GYS9
3361558	P62505
51503	Q9P013
23549	A0A024R442
23549	A0A024R443
23549	B7Z7F0
23549	E7ETB3
23549	Q9ULA0
23548	Q6PID6
51506	Q9Y3C8
51507	A0A0A0MQR2
51507	A2A2L6
51507	B4DXL5
51507	Q9BY42
51504	A0A024R565
51504	F5GX77
51504	Q9UI30
23543	O43251
23542	Q13387
23541	A0A024R1I5
23541	B7Z3Z8
23541	O76054
23546	A0A140VKF5
23546	O95473
23545	Q9Y487
176454	I2HA99
176454	I2HAA0
2540437	O74779
2540436	Q9USU8
59074	Q9Z2Q7
2540434	O74772
2540433	P40379
2540432	P87147
2540431	O60155
27136	Q86VD1
2540439	Q01475
2540438	O74796
35166	Q9VJ18
102577823	Q6J5M7
816379	Q9SLG2
23894	Q7TPV0
23894	Q9JIB4
23897	A0A0G2JDP0
23897	A0A0G2JE46
23897	A0A0G2JFF9
23897	B9EJR4
23897	O35387
23897	Q3UXX9
23897	Q8R5I5
98053	Q3THK3
84092	A2AI52
84092	Q80U87
2939	A0A140VKE2
2939	A8K987
2939	P09210
729262	A6NNL0
792391	A1L1N5
178507	P09446
174285	Q09440
201181	A0A1B0GUU1
201181	C9J6X6
201181	Q66K41
35751	Q7K049
174317	Q22227
174314	G5EG38
843927	Q84WV2
174312	Q09306
174313	Q09535
35757	Q7K035
174311	Q09533
35759	E1JH01
35759	Q9V345
35758	A1Z782
35758	A1Z783
35758	Q8MQL4
843928	A0A178WD95
843928	Q39255
174318	P41988
178502	G5EG49
7272	P33981
24336	Q5FVS4
60530	Q8BPY9
74190	A0A0R4J0W9
74190	Q6DIA2
80164	Q9H6K5
74192	Q9D898
174283	Q19014
74195	Q9CZX0
74196	Q8CD92
74197	Q9D0D5
259768	Q18262
43343	Q9VAZ1
853648	P34231
52858	A0A0U1RPV3
52858	Q8VDP6
2925	P30550
2925	X5D7H2
853649	P34232
341567	A0A140VK96
341567	Q75WM6
58861	Q99JA4
2538958	Q9P7I6
80714	Q9BYU1
32198	Q9VYM5
32199	P11995
32195	Q8IR80
32195	Q9VYM8
32193	Q9VYN0
32190	Q9VYN3
32191	B7Z147
32191	P83099
32191	Q9VYN1
816513	A0A1P8B108
816513	Q93Z70
816511	A0A1P8B184
816511	A0A1P8B192
816511	A0A1P8B1A9
816511	O82189
382051	Q504M2
80718	Q05D38
80718	Q549X4
80718	Q99P58
816519	A0A1P8AXY8
816519	Q8LGU6
853644	P25296
54433	A0A024RDJ3
54433	Q9NY12
2538956	O74443
54432	Q9Y548
2538955	Q9Y7N0
100529130	E9KNA7
25498	P13084
850356	Q96VH2
25493	Q63746
25490	Q71UE8
854322	P08518
854323	Q99325
854320	Q04174
854321	Q12487
854326	Q99312
854327	Q12216
854324	P33302
854325	Q12232
21974	Q64511
21975	O70157
21975	Q5NCT2
854328	P25043
854329	P17558
21973	Q01320
79917	A0A024QZ18
79917	A0A087WUY6
79917	A0A087X263
79917	Q9H6Y5
56397	Q9R0Q4
3708	B4DER3
3708	B4DGH1
3708	Q14643
3708	Q59H91
3709	Q14571
79913	Q9H9F9
79912	Q8WU10
3702	Q08881
3703	P46977
3700	B2RMS9
3700	B7ZKJ8
3700	Q14624
3706	P23677
3707	B2R9J0
3707	P27987
3704	A0A0S2Z3W7
3704	A0A0S2Z423
3704	Q8WWI0
3704	Q9BY32
3705	A0A024R6H3
3705	Q13572
2121	E9PCN4
2121	P57679
2121	Q5U3C2
2120	A0A0S2Z3C9
2120	P41212
2123	P22794
2122	A0A0C3SFZ7
2122	C7FEN9
2122	Q03112
2125	B7ZLH8
2125	K7EKI0
2125	Q92817
855346	P04046
4916	B7Z7U4
4916	O95193
4916	Q16288
4916	Q96CY4
4916	X5D2R1
4916	X5D7M5
4916	X5DNW6
2128	B4DRC0
2128	P49640
4914	P04629
4914	X5DR71
4915	A0A024R230
4915	Q16620
4915	Q548C2
4915	Q5VWE5
64131	Q86Y38
4913	E5KTI5
4913	P78549
431669	Q5ZHV8
2543270	Q9US56
2543271	Q9US51
2543272	P79081
34485	Q9VKQ5
2543274	Q10308
2543275	Q9US53
2543276	Q9US54
2543277	Q9US55
2543278	Q9UTT2
34482	Q9VKQ8
57626	B7Z3I8
57626	F5H1J3
57626	Q8TBJ7
57626	Q9NR64
57621	Q8N680
57620	A0A1W2PRA1
57620	B3KUB5
57620	Q9P246
57623	B7Z6H1
57623	E9PBN4
57623	F8W7M8
57623	Q4KMQ4
57623	Q6PJQ2
57623	Q9P243
34483	Q9VKQ7
293655	Q5XIH3
837610	A0A178W4V2
837610	F4I5V8
837610	Q9SGY2
837613	A0A1P8ANQ1
837613	Q93Z66
837612	A0A178W420
837612	Q9SAD3
855341	Q03559
837617	A0A178WM50
837617	F4I5X3
837617	Q9SAC8
837616	Q9SAC9
837619	Q9SAC6
42542	Q7KS77
835581	Q9FPJ8
309460	A0A0G2JX92
309460	D3ZMW5
41118	A0A0B4KFK7
41118	A0A0B4KGK6
41118	P18106
42541	A0A0B4KH37
42541	Q4V727
42541	Q9VDA2
944750	P0A6Y8
36471	A1Z9B4
36471	Q7JRN6
817641	F4IPT5
817641	O80856
36473	A2RVI0
36473	B7YZE5
36473	Q058Z0
36473	Q7K076
36472	A1Z9B5
944753	P08622
817646	A0A178W2Q8
817646	A0A1P8AXC1
817646	O80860
817647	O80861
36479	Q4QPY0
817649	A0A178W1X9
817649	Q39010
380462	Q7ZWY6
256281	B3KXY7
256281	O95848
855349	P00331
389084	Q6UX34
10723124	P0C895
855348	P32843
53817	Q9Z1N5
53814	Q9R109
251690	Q8SZB7
497065	F1RFV5
497065	G3DRF8
339287	B3KWR7
339287	J3KSZ8
339287	Q68DK7
2540628	O74780
34839	Q9V3P2
34837	Q9V3F3
34835	Q7KT91
34835	X2J9U5
34835	X2JAF7
34835	X2JE45
2540629	O74349
55277	Q96C11
34830	Q8IP52
83538	Q96NG3
2543495	P34069
194352	P69744
2543497	Q9UUG0
64135	Q9BYX4
2543491	Q9HFF2
2543491	S6BDF9
2543492	Q9URX7
83531	P81155
83532	Q9R1Z0
841252	A0A178WIC5
841252	Q9SX65
55251	Q9NV79
853931	P0C0V8
816952	O65787
