yourlist:M20180328A7434721E10EE6586998A056CCD0537E55CF65D	Entry
398503	Q05AY2
55332	A0A024RBF9
55332	Q8N682
832857	C0SVR3
832857	Q4PSE2
398507	Q7ZT10
832853	F4K5Q9
8831	A0A1U9X8L0
8831	Q96PV0
176204	P34299
5549	P51888
176205	P34296
245643	A0A140LIW3
245643	Q8BXG0
64693	Q8NEG8
64693	Q96RT6
23676	A0A024RBY1
23676	Q9UHP9
217431	Q3TUB5
217431	Q5RJG1
415952	Q1T7B7
8192	Q16740
12447	Q61457
8190	A0A024R0P1
8190	Q16674
12445	P30282
12445	Q3TSW4
12445	Q3TWY0
12445	S4R216
12443	P25322
12443	Q790L7
2949	P46439
2949	Q5T8R2
8195	B7Z3W9
8195	Q9NPJ1
213539	Q91YN9
311055	G3V917
311055	Q6F6B3
819019	A0A178VUS0
819019	O80582
819018	A0A178VVS2
819018	F4IT48
819018	P60039
819017	A0A178VQX0
819017	F4IT46
819017	O80580
819016	A0A178VSJ6
819016	Q96254
819015	A0A178VYZ3
819015	A0A1P8B199
819015	O80579
819014	A0A178W0I4
819014	Q8RXL7
55337	Q9NUL5
819011	A0A178VUS5
819011	O80576
819010	A0A178VP65
819010	O80575
38360	E1JIB4
38360	Q8MRH9
38360	Q9VZW2
811159	Q8I5U3
143684	F5GX09
143684	Q5HYJ3
54244	F1M9G7
67588	Q8BH75
389421	A0A1B0GVD3
389421	Q6ZN17
100049767	A5D8P6
397856	Q92021
397857	Q6GQJ4
93706	Q91XX1
43324	A0A0B4KH56
43324	A0A0B4KHA4
43324	A0A0B4KHR1
43324	A0A0B4KI46
43324	Q9VB11
833729	B9DFQ9
833729	Q9FGI6
833728	A0A1P8BFX1
833728	A0A1P8BFX8
833728	A0A1P8BG02
833728	Q94A76
2946	P28161
2946	Q0D2I8
51806	Q53H37
51806	Q9NZT1
19247	P35235
51804	Q9UIU6
19241	P20065
19241	Q6ZWX2
16211	P70168
16211	Q3UHW8
16210	O55091
653505	Q9Y536
19249	G5E8B1
19249	Q3TPD6
19249	Q3TTT8
19249	Q64512
19249	Q8BV52
19248	P35831
51809	Q86SF2
184307	Q19312
340146	B7Z9Y0
340146	Q5M8T2
214162	P55200
839732	A0A178WCW0
839732	Q94ID6
835078	A0A1P8BGV6
835078	A0A1P8BGV7
835078	A0A1P8BGV9
835078	A0A1P8BGW1
835078	A0A1P8BGW2
835078	A0A1P8BGW3
835078	A0A1P8BH10
835078	F4K7J4
835078	Q8RWK2
822566	A0A178V9G9
822566	P92958
117294	B7Z0Z0
117294	F2FBA6
117294	Q24537
85481	Q96QS6
182474	O76258
827940	A0A178UVE4
827940	O22775
827943	Q8L838
827947	A0A178V3W4
827947	O04603
433702	Q3UYV9
810502	Q8IJ55
810503	Q8IJ54
810501	Q8IJ56
810507	Q8IJ50
810505	Q8IJ52
55768	Q96IV0
810508	Q8IJ49
399379	Q9PW31
341676	Q6P3R8
51571	A0A024R9G4
51571	Q9NUQ9
140657	Q924K2
13733	Q3U9R0
13733	Q61549
64499	A0A140VJT7
64499	P20231
338467	F7BJB9
43163	Q7KRZ3
43163	Q9VBI4
43162	A0A0B4JD02
43162	A0A0B4JDF1
43162	A0A0B4K6L6
43162	A0A0B4KH09
43162	A0A0B4LHP1
43162	P16371
43161	P13098
43160	P13097
43167	Q9VBI0
43166	Q9VBI1
43165	Q9VBI2
43164	Q9VBI3
2532	Q16570
2532	Q5Y7A1
2532	Q5Y7A2
2533	O15117
43169	Q9VBH8
2531	A0A024R292
2531	Q06136
57258	A0A0R4J254
57258	Q9ESJ0
57259	Q543X9
57259	Q9JM55
2534	P06241
191318	Q23485
55821	B4DY77
55821	Q8N6M5
280758	P15101
837746	A0A178W9L0
837746	A0A178WB93
837746	A0A1P8AP24
837746	Q8GYH0
5802732	P0CU02
5802732	P0CU03
220359	Q6B0B8
22839	A0A0B4J2C2
22839	Q9Y2H0
17164	P49138
17164	Q3U2P8
17165	O54992
810204	Q8IJZ4
2543098	O14158
22832	Q5TB80
22836	O94955
22837	A0A0D9SG04
22837	B7Z2P5
22837	Q53SF7
60443	F1LQ45
60443	Q505I9
60442	Q792I0
60441	Q8K2M0
60440	J7NNX8
60440	Q9QZ85
837745	Q9FZ23
60445	Q9Z136
94112	E9Q7C1
94112	Q3TE00
94112	Q6KAM1
94112	Q924H2
60449	P52287
374111	A0A1D5P872
374111	Q7T2T1
36808	A1ZAC7
36809	Q9U6Y9
939	P26842
841028	A0A178W365
841028	Q94LA6
9564	B3KWE2
9564	P56945
9567	O00178
933	P20273
933	Q0EAF5
9569	E9PFE2
9569	Q9UHL9
36802	A1ZAC2
36803	Q7JYP8
36804	A1ZAC4
840379	A0A178WPV8
840379	A0A1P8ARA4
840379	Q9S9Z7
69597	Q8JZQ2
339221	Q6UWV6
11182	Q9UGQ3
190193	A5HWA4
190193	Q9XW51
100347570	P02591
83579	P62882
56882	Q9NRR8
18286	A3KGV1
18286	A3KGW0
18286	Q3UFG2
68606	Q8CGA0
12972	P47199
254102	Q8N3D4
125919	Q08ER8
68794	Q8VHX6
850704	Q07938
850705	Q12445
850706	Q07949
850707	Q07950
850700	Q07928
850701	P07272
850702	P43132
850703	Q07930
380099	Q7ZYN0
56889	A0A024QYS2
56889	Q9HD45
850708	Q07951
48071	Q9NJG9
19889	Q9EPK2
11181	O43280
831290	Q9LY90
9380	Q9UBQ7
9381	Q9HC10
9382	Q8WTW3
841687	Q9SSQ8
841686	Q9SSQ7
841685	A0A178W473
841685	Q8LDB7
841685	Q9SSQ6
67144	A0A0R4J0W6
67144	Q78KN5
67144	Q9CRC8
9388	A0A024R2B5
9388	B4DTR8
9388	Q9Y5X9
841682	A0A178W824
841682	F4ICZ4
841682	Q8VZ57
67141	Q7TSG3
841680	Q7G9E7
100760896	G3HTG4
66201	Q9CR26
4062	O94772
19377	Q5QGZ6
19377	Q61818
19377	Q810L5
43720	Q95TK5
72074	Q8K3X6
4060	P51884
2540300	O43007
2540303	P32235
2540302	O43031
2540305	P78921
2540304	O43027
2540307	O42971
3772007	Q2MGL3
3772007	X2JLB5
2540309	P40923
4066	P12980
4067	A8K379
4067	P07948
4067	Q6NUK7
26993	Q9ULX6
26992	O88665
4064	Q99467
26995	A0A024R886
26995	O95900
26994	Q9Y3C5
26999	B7Z8N7
26999	E7EVJ5
26999	Q96F07
841972	A0A178WEL3
841972	A0A1P8ANH6
841972	Q93W93
841975	B9DG24
841974	A0A178WBY8
841974	Q9C899
841976	A0A1P8APR4
841976	A0A1P8APR8
841976	A0A2H1ZEE9
841976	Q9SEU4
172592	Q21229
840081	Q9C6T1
840087	A0A178W5E1
840087	Q9C551
232989	Q8VDM6
24520	P10499
840088	Q56Y48
29812	Q544I1
29812	Q8VCV2
29812	Q9QYF9
24521	A0A0G2JYW2
3361193	Q7Z995
172591	A0A1I6CM53
172591	Q21227
34514	Q9VKM7
34514	Q9VKM8
34516	Q9VKM6
34516	X2JA36
79571	A4D0Z4
79571	Q96CN9
34519	F2FB81
34519	H5V8D0
34519	M9NCT2
34519	M9PCP4
34519	Q9VKM2
34519	X2J5L4
79573	Q8NBP0
79572	Q9H7F0
79575	B2C6G3
79575	Q96I13
79574	A8K2J6
79574	Q8TE67
79577	Q6P1J9
79576	Q8N5F7
172594	G5ED36
172594	O62178
532953	Q0VCG7
11185	O95050
40560	Q0KID3
40560	Q9VN23
851075	Q05924
851074	Q05919
851077	Q12129
851076	P23561
851071	Q06488
2887	Q13322
851073	Q05911
2885	B0LPF3
2885	P62993
180719	Q19127
180718	Q19126
2888	Q14449
2889	Q13905
851079	Q05926
851078	Q3E747
50323	Q9VZ67
40567	A0A0B4KF65
40567	Q8IPL8
40567	Q9VN29
23011	A0A024RBA9
23011	Q9UL25
23013	Q96T58
23012	Q9Y2H1
23015	A7E2F4
188549	Q22522
23017	Q9BWQ8
23016	A0A024R2P7
23016	B2RDZ9
23016	Q15024
23019	A5YKK6
66237	G5E923
66237	Q54A87
66237	Q9WTT4
40565	A0A126GUP4
40565	Q9VN27
24296	P00185
66233	Q9JI44
818887	A0A178VRP1
818887	Q9SJH0
182629	A0A0K3AVG9
182629	Q18008
339344	Q86VE0
189639	Q9U2M7
182623	Q18000
182626	Q93213
79428	G3V7L9
837202	F4HNU8
2655042	Q8IBT7
151525	B8ZZF2
151525	D3DPA6
151525	Q8N9V3
431998	P49401
31399	F6JQA6
31399	O77277
3885706	C6KSQ6
844137	A0A178WHS6
844137	Q9SGZ8
844135	A0A1P8AQM4
844135	A0A1P8AQN0
844135	A0A1P8AQP6
844135	A0A1P8AQR2
844135	Q9MAX3
844133	Q1PFC2
844130	F4I8L6
66181	Q9CQS2
496052	Q5PPX3
830997	A0A178UCN6
830997	Q8H0V5
35783	A0A0B4LEF8
35783	A1Z7A6
74915	Q9D593
854565	Q08907
852672	P53090
852673	P53091
852670	P09620
852676	P53093
852675	P32803
813073	Q8I3K7
852678	P53094
852679	P53095
393544	Q6NYV1
14401	P63137
856702	P39968
31942	M9NDT5
31942	M9NF08
31942	M9NGY4
31942	Q9W2Y5
31943	Q9W2Y4
35647	A1Z6W6
35646	A1Z6W5
856704	P28263
31947	A8JUP5
31947	M9PJG3
31948	Q9W2X8
31949	K7X7R3
31949	Q9W2X7
35649	A0A0B4LFQ2
35649	Q7JRJ9
35648	Q7JVP4
145389	A0A024R671
145389	Q8IZM9
818328	F4IQY0
2542650	O14043
68018	Q9EQG9
1579	Q02928
1579	V9GZ77
51499	O43715
32918	Q9VWJ7
32919	Q9VWJ6
32919	X2JFR5
32919	X2JL73
32916	Q9VWJ9
51495	H3BRL8
51495	Q9P035
51496	A0A024R5Q8
51496	Q05D32
51497	H0UI80
51497	Q8IXH7
51490	Q5T280
51491	A0A0C4DGU5
51491	Q9Y3C1
32910	Q9VWK5
688	Q13887
688	Q5T6X2
212880	Q569Z5
56648	Q9GZV4
56649	B7Z458
56649	B7Z8X1
56649	B7Z900
56649	Q9NRS4
54905	Q8TAV3
56646	P11762
56647	Q9P287
41080	Q9VHI7
4342802	Q7XHP7
685	A0A0S2Z3I5
685	A0A0S2Z437
685	P35070
57047	Q9NRY7
91464	Q2M1V0
183975	O45323
140606	Q8WWX9
23900	Q9QUJ0
41084	A0A0B4KFJ2
41084	O15945
34378	Q9VL06
2539292	P49776
140609	A0A024R964
140609	B2R8K8
140609	Q8TDX7
79710	B4DTP6
79710	Q8TE76
51148	Q5T4B2
27217	Q9WUI0
27215	Q9QYP6
181190	Q09350
181191	Q09560
51141	A0A024RAI2
51141	B4DQ23
51141	Q9Y5U4
181194	Q20497
51147	Q9UNL4
51144	Q53GQ0
41089	Q9V451
397746	A0A1L8H4N6
397746	P21574
843653	A0A178WAX2
843653	P26587
821924	A0A178VEL9
821924	Q8S403
172088	P92199
839197	A0A178WCI2
839197	Q9FZE1
821920	A0A178VAG2
821920	O23290
821921	A0A178VGH8
821921	A0A1I9LQU3
821921	A0A1I9LQU5
821921	Q9LW57
821922	A0A1I9LLZ5
821922	Q9LW56
25509	P63016
116987	B2RZG9
116987	Q9UPQ3
116987	X5D293
185632	Q20289
185635	Q95YA7
185634	Q95YA5
36348	A0A0B4LF74
36348	A0A0B4LG85
36348	E1JH44
36348	Q7JR69
36348	Q960H8
36346	A1Z8Y4
36344	Q7JWN2
817317	B9DGN3
817317	F4IGR3
817317	Q9SLF7
36341	A1Z8X3
36340	Q7K2E1
74268	A2AGL5
74268	Q9D9K3
2542627	P0CU06
2542627	P0CU07
843870	A0A1P8AU48
843870	Q9FWS3
85460	Q9C0D4
85461	B9EK39
85461	Q9C0D5
85463	E9PP00
85463	Q9C0D7
85464	B4DK64
85464	F5H527
85464	Q76I76
85465	Q9C0D9
827091	Q147J7
827091	Q94CG2
98417	Q9CX13
854634	P40438
854635	P0CW40
854635	P0CW41
854637	P40442
854630	P40434
854631	P0CE88
854631	P0CE89
36904	Q7JY07
11993	I6L970
11993	Q3TBX5
11993	Q3U3K9
4889	Q15761
2542758	Q9UTI9
81507	Q78EA7
855949	P07267
855948	P28743
855945	Q99299
4881	A0A140VJE6
4881	P16066
855947	Q12498
855946	Q12052
855941	Q12042
4885	P47972
4886	P25929
855942	P39011
39829	Q9VV60
812845	Q8I410
812844	C0H4C2
2543148	Q9P3U4
836616	A0A178UJC6
836616	A6XFC3
836616	Q9SPL2
2543147	Q9UTR6
39821	Q9VV52
2543145	Q10286
39827	M9PCT1
39827	M9PFH8
39827	M9PFR2
39827	M9PFW5
39827	M9PI80
39827	Q9VV58
39826	M9PFH6
39826	M9PFW1
39826	Q59E29
39826	Q59E30
39826	Q86BI4
39826	Q95RI5
836610	A0A178UKX1
836610	Q9LV90
39824	Q9VV55
432234	B6CHA3
173915	Q09511
173914	Q19266
173917	Q95QN6
227737	Q8R1F1
227733	Q6U7H8
113277	B7Z779
113277	Q96A25
244281	Q5DU14
337880	Q8IUC1
830047	A0A178VXD8
830047	A0A1P8B937
830047	P0DH92
830047	P0DH93
830047	P0DH94
18997	Q63934
14235	Q6P1H7
4838	Q96S42
187907	A0A0K3ARA3
187907	A0A0K3ARV6
187907	A0A0K3AUV8
187907	A0A0K3AX69
2876031	A0A1U8QNE8
2876031	Q5BGS7
187902	Q9BI75
824132	A0A178V9C3
824132	Q9M2Y8
90407	Q96HV5
38858	Q9VS97
18993	P31361
854090	P32179
854091	Q08226
854092	Q99186
854093	Q12265
854094	Q12296
854095	P41911
854096	P22768
37439	B7YZM8
854098	Q12326
854099	Q08224
37434	Q9W2H9
37435	E1JGQ5
37435	Q7KVP4
37435	Q86BS7
37435	Q9W2H8
3479	P05019
3479	Q13429
3479	Q59GC5
3479	Q5U743
37430	A0A1B2AJK8
37430	Q24154
37431	Q9W2I2
41310	A0A0B4KFQ5
41310	Q9VGV3
41311	P46415
41316	Q7K0L7
41317	Q9VGU7
29928	Q9Y584
84733	Q14781
41318	Q9VGU6
41319	A0A0B4JDC3
41319	Q9VGU5
84735	Q96KN2
69010	Q8R034
475294	O46550
40049	D0IQJ2
40049	E1JI19
40049	Q9VVT2
40048	P17336
40045	A0A0S0WH29
40045	M9NFK2
40045	P33244
40044	Q9VVS6
40047	Q7JWP6
40046	Q8IQT4
40040	Q9VVS2
40043	Q9VVS5
40042	Q9VVS4
219072	Q8BFT2
823623	A0A178VBQ7
823623	P25864
844063	Q8VY02
403313	Q8IY26
403312	Q8IYB0
552889	Q96GX2
400954	Q6ZMW3
3954	D3DVQ1
3954	O95202
851916	Q06675
851917	Q06676
40599	E2QCZ9
40599	Q7JZB4
851915	Q06674
178829	A0A168H4I0
178829	A0A168H4M8
178829	O16299
851910	Q06667
851911	Q06668
40593	Q9VN55
823629	A0A178VFY3
823629	Q84JJ0
231201	G3X9P9
40590	A0A0B4KF18
40590	D2NUL5
40590	Q9VN52
178820	A0A168HBA5
178820	G4SRZ6
178820	H2L0Q4
178820	Q9GUI5
178821	A0A168HAV7
178821	G5EEM0
40595	Q9VN57
40594	Q9VN56
33973	Q9VM63
33972	Q9VM64
33971	M9PEZ2
33971	Q9VM65
33977	Q9VM59
33976	Q9VM60
33975	Q9VM61
33975	X2JDF6
33974	Q9VM62
33979	Q7KTL4
33979	Q7KTL5
33979	Q9VM57
830662	Q9FLR1
837669	F4I7F7
837669	Q7X7A9
208628	Q8C3Y4
234779	Q8CIH5
38019	B7Z0G8
38019	Q961F6
38019	Q9W0V0
17454	E9PW39
17454	P23249
17454	Q3UD86
38015	P11997
38017	A4V164
38017	A4V166
38017	H5V8B9
38017	Q9W0V1
38016	Q9W0V5
837255	Q9LNW3
339324	A8K5X7
339324	Q3ZCT1
38013	M9PBG4
38013	Q9W0V7
38012	B5RIE4
38012	P07247
2543206	Q9P3T9
284348	Q6UWN5
837410	A0A178W7N4
837410	Q9SCW7
31539	E4NKK1
31539	Q8SYT8
31539	Q9W442
31538	M9PJ67
31538	Q8IRR2
31538	Q9W443
834509	Q9S7J8
2539413	Q9UU79
31533	Q9Y106
31532	Q9W448
31532	X2JDV7
31535	M9NDP7
31535	P50445
31536	Q9W445
170392	Q8WWZ8
838470	Q9M9V8
823657	Q9M1T8
823650	A0A1I9LPH1
823650	P38418
830619	Q9LYN8
823652	A0A178VKL4
823652	Q9M1U3
3361269	P53694
5657	P24158
830616	A0A178UBV1
830616	Q9LYP1
5655	O43240
5653	A0A024R4J8
5653	Q92876
5650	A0A024R4H6
5650	B4DHX9
5650	P49862
5651	P98073
326256	Q9VCY2
326254	Q86B83
326255	A0A0B4JDB9
326255	C1C3I0
326255	E1JIV5
326255	Q8T3K5
326253	Q86B93
326253	Q8T4H3
326253	Q9VG88
326251	Q9VBX8
838421	A0A1P8AQ55
838421	Q8GZ13
838427	A0A178WLV3
838427	Q0WQL8
838427	Q8LBF1
326258	Q9VFL9
326259	Q9VIU4
822380	A0A178VEX9
822380	Q05999
3768663	F4INE2
838476	A0A1P8ARG8
838476	A0A1P8ARH9
838476	F4IDY7
822389	Q7XZF5
822388	A0A178V6F1
822388	Q42431
398027	A0A1L8EXD5
398027	Q0VGW7
819252	A0A1P8B370
819252	Q9SKD6
375607	Q8N8M0
821374	Q9LS45
2875768	A0A1U8QQE4
2875768	Q5BBD9
69019	Q9D958
2539751	O60064
47065	Q7K3W4
173288	O18301
819785	A0A178VCY0
819785	Q9M8K6
819784	Q9M8K7
6419	B4DND2
6419	Q53H47
6419	Q96H41
6418	A0A024R895
6418	A0A0C4DFV9
6418	Q01105
6418	Q5VXV3
360573	D3ZHL1
360572	B5DES1
360572	P62752
6415	P63302
6414	P49908
6416	P45985
173287	O62090
839780	A0A1P8APW7
839780	Q1H5G7
839780	Q8L9S0
36637	E1JH67
36637	Q9V751
57492	A0A1B0GVK1
57492	Q8NFD5
812060	Q8IKX3
842157	Q8VYZ0
842154	A0A178WN96
842154	Q9FVS1
812064	Q8IKW9
812069	Q8IKW4
812068	Q8IKW5
170538	P09215
26052	Q9UQ16
173137	Q9NAN2
838289	A0A178W2G2
838289	Q9SHH7
173134	Q9XXK1
835675	A0A1P8B9B6
835675	F4K687
835675	F4K688
173139	O18051
173139	Q69Z10
173138	O45830
835670	A0A178UR49
835670	Q9FE17
838281	F4I642
838281	Q9FPS9
838280	A0A178W6J0
838280	Q9SHG8
184346	Q9GYQ1
822524	A0A178V7H9
822524	Q9LJW6
822527	Q9LHF0
83887	Q9BWV7
831569	A0A178UKV6
831569	Q9LFJ7
831565	A0A178U9W2
831565	Q9SMV6
831564	A0A178UGZ3
831564	F4KFK7
831564	Q6AWX0
177629	O61521
177628	K7ZUH9
177628	P08898
822529	A0A1I9LNH9
822529	P54121
831560	A0A178U6Z5
831560	Q39172
831562	A0A178UC71
831562	Q39173
180456	Q94241
819981	A0A178VFG7
819981	Q9SFC4
81897	Q9EQU3
180455	Q94239
5740788	M9PF08
5740788	Q29R15
39052	M9NE66
39052	M9NF56
39052	M9NFQ1
39052	Q9VSU8
39052	X2J8V0
39052	X2JAU8
39052	X2JC77
39052	X2JCQ1
39052	X2JGF9
839771	Q9FXJ4
839772	Q9SHQ6
39051	Q9VSU7
39056	Q9VSV2
39057	Q9VSV3
39054	M9PBZ1
39054	M9PEV8
39054	M9PHV2
39054	P25123
39055	Q9VSV1
216	P00352
216	V9HW83
217	P05091
214	B3KNN9
214	Q13740
215	P33897
212	P22557
213	P02768
210	A0A024R877
210	A0A140VJL9
210	B7Z3I9
210	P13716
210	Q6ZMU0
211	B4DVA0
211	P13196
211	Q5JAM2
843168	Q9M9C4
16765	P54227
16765	Q545B6
16763	P57016
218	I3L3I9
218	P30838
218	Q6PKA6
219	P30837
81896	E9Q9G8
81896	Q6NWV3
245841	Q923G2
389206	Q6ZU67
77578	Q9D219
12075	A2AMT1
12070	Q9WTZ9
839480	F4I5Q6
839481	A0A178W0Q7
839481	Q9LNK0
132204	Q8TBG9
2539318	O94475
2539319	O94480
2539316	Q9Y7N1
2539317	Q9USM8
2539314	Q9P3U8
2539315	O74463
2539312	Q07538
2539310	O74503
2539311	Q9UU81
21814	A0A0R4J097
21814	O88393
43769	H9XVM0
43769	P91943
43769	Q8IMA8
43768	P55830
446982	Q6DFI7
43765	A0A0B4KI71
43765	P23226
43765	Q8IMF5
43764	A0A0B4K7G4
43764	P13469
43767	H5V858
43767	H9XVL6
43767	H9XVL7
43767	P19538
43766	H9XVL5
43766	Q9V4A7
43761	A0A0B4LHY6
43761	Q9V9S4
43762	Q9V9S3
305251	Q4QR82
2539514	O74520
21679	Q62296
21678	F8VPU0
21678	P70210
21677	P48301
21677	Q3UPV9
21677	Q80UL2
21676	E9PVS2
21676	E9PZ73
21676	E9Q387
21676	P30051
21676	Q3UFP5
21676	Q3USK5
21676	Q6PAQ8
21676	Q80W05
49505	M9PG97
49505	Q86BK4
49505	Q9VIR9
21810	A1L353
21810	P82198
21672	Q5M9N9
21672	Q61171
100505724	A8MTY7
829652	Q42564
80243	Q70Z35
829651	O49608
829656	A0A178UVU8
829656	Q8VY76
325	P02743
325	V9HWP0
829654	A0A178V1N6
829654	A0A1P8B372
829654	Q38912
829654	Q5PNX9
813338	Q8I390
308003	D3ZD48
844409	Q9SAI8
172661	Q93712
172663	O62387
172664	G5EEW6
90441	Q969S3
172667	O62238
310244	B5DF95
287709	B0BNK1
100381153	A0A1L8FM70
235497	Q5XJE5
2542990	Q10095
824637	Q9M1S8
135458	Q8NHY5
838789	Q9SFE9
200014	Q5T0F9
38831	M9PBU2
38831	P48554
38830	Q961J8
38836	M9PEE6
38836	M9PEV5
38836	Q8IQ78
38835	Q9VS73
38838	Q9VS76
360198	P68433
7354381	C0HJX4
7354381	C0HJX5
824631	P42770
824631	Q5FV38
57778	A0A1W2P6X3
57778	A2AB60
57778	Q3TY82
57778	Q9JL26
824630	Q8W104
835230	A0A178UFM8
835230	Q9FHM8
843530	Q0V7Y9
843530	Q9C8W3
80283	A0A0R4J0A1
80283	Q99LJ2
152404	Q5DX21
80288	Q67FY2
14828	P20029
14828	Q3U7T8
14823	B7ZMR4
14823	P47743
14823	Q05BD6
285282	C9JXM3
285282	Q5HYI8
14827	P27773
14824	Q3U9N4
14824	Q9D2V3
175571	Q21831
175572	Q21832
4961461	F5H8Y5
4961461	Q76RF6
175577	Q21821
175576	Q21822
45285	Q03372
20104	P62754
20104	Q5BLK1
20102	P62702
20102	Q545F8
20102	Q545X8
22278	Q3UQH7
22278	Q61069
22278	Q8R4E5
379118	Q8AVJ4
66498	D3YXY5
66498	Q9D9Z5
850408	P37265
827548	O49726
827549	A0A1P8B4B0
827549	Q84R09
811211	Q8I5P3
827541	A0A178UWR8
827541	Q9SVV6
827542	A0A178V3M3
827542	Q8VWJ2
41055	Q9VHL1
41054	Q9VHL2
41057	E1JIF5
41057	Q9VHK9
41056	Q9VHL0
826639	A0A178UXQ8
826639	Q944H1
41052	Q9VHL4
826635	A0A1P8B4Q6
826635	A0A1P8B4R3
826635	A0A1P8B4R5
826635	F4JLP0
826635	Q93XX0
363140	Q5FAQ9
363140	Q68FW0
826637	A0A178V0L6
826637	A0A1P8B5B3
826637	Q9SZX9
41059	Q9VHK6
41058	Q9VHK8
826632	A1L4Y7
826632	Q9SV82
286205	Q8N9R8
2540149	P28748
2540148	Q9URU2
2540147	O14322
2540146	O13632
2540145	Q9URU4
2540144	Q9Y7J4
2540142	Q09717
40901	Q9VIB5
44483	Q9TVI0
44481,44482	Q9V449
40904	P06605
40905	A0A0B4K6V8
40905	Q95U30
29709	P18508
29709	Q6PW52
2539865	Q9UUE2
40909	Q9VIC3
828297	A0A178UZY8
828297	O65456
29704	Q9Z0W5
828290	O65449
828292	A0A2H1ZEN7
54225	F1M6Z1
54225	Q4G047
54225	Q7TMA5
2541818	Q92462
2541819	Q92353
11810	P51908
11810	Q3U9G8
54221	Q9NY99
2541812	Q9P7S1
2541813	Q09704
2541810	O74215
2541811	O13907
269870	E9Q6F9
269870	G3X9U2
269870	Q149D4
269870	Q8C9M8
2541817	Q09184
2541814	Q9P7S7
2541815	P36604
419106	P23825
175391	H2L0S5
175391	Q3V5J3
175393	Q9BL39
179839	H2L2D3
179839	O45318
2542874	Q9HE06
2540499	O74354
2540498	Q9P6S5
2540491	O74361
2540492	O74804
2540495	O13665
2540494	Q9Y738
2540497	Q9P6S3
2540496	Q9HGL1
426673	A0A1D5PU77
426673	Q5ZLC5
174626	P48458
100009102	P10829
174624	P54811
174620	Q22003
3565590	G5EC32
3565590	O62482
841136	A0A1P8AQD0
841136	Q8RY60
432221	Q6IP85
12895	Q924X2
12894	P97742
12894	Q3UGT1
12894	Q7TQD5
12896	P52825
12896	Q3UN55
12891	Q3UYN2
12891	Q9Z140
729967	Q502X0
3637932	Q5AFB9
257632	Q80SY9
74007	B2RUH2
74007	E9QJW1
74007	Q6GQW0
74007	Q8BRL1
815329	Q9SH76
23138	O15049
4303	P98177
381290	D1FNM8
381290	D1FNM9
381290	E9Q828
381290	F7AAP4
381290	Q3UPA8
381290	Q6Q477
23139	Q6P0Q8
56650	A0A0R4J2F2
56650	Q9NY35
126119	A0A024R4G2
126119	Q7Z7N5
126119	Q8TAC2
541812	B4FG15
541812	B4FMU3
1111	B4DT73
1111	E7EPP6
1111	O14757
23136	A0A0A0MRA8
23136	A8K968
23136	Q9Y2J2
1113	G5E968
1113	P10645
1113	Q86T07
1112	A0A024R6I1
1112	O00409
1114	P05060
1117	Q15782
23137	Q8IY18
1119	P35790
1118	Q13231
59042	O89079
129831	Q8IUH3
2731	P23378
22612	Q04736
22612	Q3TJI7
816206	A0A178W0R3
816206	Q3EBZ2
816205	A0A1P8B1X8
816205	A0A1P8B1Z8
816205	Q9SDA8
26508	Q9NQ87
26509	Q9NZM1
26502	Q9UHQ1
26503	Q9NRA2
26504	Q6P4Q7
26505	Q8NE01
26507	B4DKF7
26507	B7Z5S3
26507	Q9NRU3
2541368	Q9P7C8
2541369	P0CT75
2541369	P0CT76
4301	A8MQ02
4301	G1UI22
4301	J3KN01
4301	P55196
2541361	O94259
201232	Q7RTY0
2541364	O94260
2541365	O94271
2541366	Q9P7D6
2541367	O94262
841132	Q9FX01
59040	Q8BG51
207375	Q3V3X9
207375	Q8C3F2
855748	P53719
9221799	Q9U0H5
843368	Q8H0T4
834266	Q9FH66
834260	Q8W483
72193	E9PZM7
72193	Q6ZPE9
843366	Q8W4I4
843367	A0A178WP96
843367	O48661
843367	Q5PNT7
843364	F4I5D7
843364	Q8W4B0
843365	A0A068FL15
843365	A0A1P8AQ69
843365	Q0WUI9
51304	B4DSK2
51304	F8W6M3
51304	Q9NYG2
51305	A0A024R9H3
51305	Q9NPC2
51306	Q9NYF5
51307	Q9NYF3
51300	C9JU35
51300	Q9NPL8
39169	A8JNQ0
39169	A8JNQ1
39169	B7Z0G0
39169	Q9VT70
220004	G3F4G3
220004	Q7Z5V6
51303	E9PAR0
51303	Q9NYL4
104215	Q8R527
134728	Q5VVH5
51308	A8K3D2
51308	Q9BRK0
440023	Q6L8G9
148014	Q8N6N2
689421	D3ZMX6
2540109	O42897
828905	A0A178V0C5
828905	Q8H1R0
817159	A0A1P8B0V5
817159	O64851
828907	A0A178V3U9
828907	Q944H5
828901	A0A178UWK8
828901	B3LF90
828901	Q9STN8
828900	A0A1P8B475
828900	Q8LPT3
828903	A0A178UZH8
828903	Q9SUE8
25343	P20942
817151	O80986
817152	O80985
828909	A0A178UV17
828909	F4JKF3
828909	P35132
817155	B3H5P6
817155	O80982
25344	P67779
829636	A0A178V169
829636	A0A1P8B8G4
829636	A0A1P8B8G8
829636	A0A1P8B8H6
829636	Q7XA67
817562	A0A178VN59
817562	P93028
253635	Q8N954
340069	A1A519
729428	A1L429
729428	O76087
3771951	Q960M4
25999	Q96DZ5
163859	Q6IQ49
253639	A0A024R2M2
253639	Q6ZNG0
3772101	Q9Y169
