yourlist:M20180328A7434721E10EE6586998A056CCD0537E55CF3FI	Entry
196403	A0A024RB96
196403	Q8N9I9
644019	H0Y5V3
644019	Q4V339
240263	B2RRW5
240263	Q8CEF1
850709	Q07953
31221	P11346
31220	E7BBS5
31220	Q9W4Z4
31222	Q9W4Z2
29179	Q63537
31227	P39572
31226	Q9W4Y8
31229	A8JUV7
31229	Q8SX52
31229	Q9W4Y6
31228	A0A1B2AKT7
31228	D3DMP8
31228	P10735
444654	A0A1L8FGD6
444654	Q6GLV3
812377	Q9U0I0
812375	Q9U0H8
366448	Q5M9I5
855202	Q03829
34542	M9NDL7
34542	Q8MQS4
34541	Q9VKK1
855201	P32567
855206	P47771
855207	Q03212
855204	P40969
855205	P54114
76893	Q924Z4
855208	Q03213
34548	Q9VKJ4
72736	Q8VBT0
76895	D3Z390
76895	Q921C5
328580	G5E8P0
841689	Q9SSQ9
396197	A0A1D5NW68
177533	Q19969
177531	Q20631
100356266	G1TAF8
681578	Q66HG0
180748	P48162
180747	Q20826
50396	Q9W3Q9
50391	Q9W450
50391	X2JIJ6
50392	Q9W423
180741	Q21156
838843	F4I1C6
838843	Q9ZWJ3
821331	Q9LV35
55349	Q8NE62
838847	Q9SK84
838849	A0A178WJG9
838849	A0A1P8APV8
838849	A0A1P8APY5
838849	Q9SK86
55345	Q86YA3
55346	B3KQZ4
55346	Q9NUJ3
55347	Q9NUJ1
55340	A0A090N8P9
55340	Q96F15
286766	P55918
55342	A0A0S2Z5K8
55342	Q96SI9
55342	V9HWK4
440689	Q5QNW6
182678	P91051
188848	Q22723
182671	P91057
182672	P91056
131118	A0A0S2Z5X1
131118	Q96DA6
209737	Q6P9L6
386684	P60329
508199	F1N579
508199	Q2TBG2
221143	A0A024RDN3
221143	B2RE94
221143	Q8WVE0
338599	Q68J44
92092	Q96H79
180299	Q9XUL7
50649	Q9NR80
50649	Q9NTG0
24716	G3V9H8
24715	P08424
180291	Q9XWN6
50640	A0A024R746
50640	Q9NP80
55105	Q9NW75
50646	P70600
110957	B9EIA2
110957	P16381
110954	A2AM97
110954	Q6ZWV3
180297	Q9U3T4
313934	M0R7A6
181163	Q22601
617422	Q1JQ91
181167	Q18107
181166	G8JY36
181166	P90980
816019	Q9SHU6
22003	B7ZNL3
22003	E9Q448
22003	E9Q450
22003	E9Q452
22003	E9Q453
22003	E9Q454
22003	E9Q455
22003	G5E8R0
22003	G5E8R1
22003	G5E8R2
22003	P58771
22003	Q545Y3
22003	Q564G1
22003	Q8BP43
816016	A0A178VPR2
816016	Q9SHU9
22004	A2AIM4
22004	P58774
22004	Q61344
22004	Q6PJ18
22004	Q9D1R6
67480	Q9DBF7
31913	A8JUN6
31913	M9PJG1
31913	Q8IRM5
31913	R9PY21
31912	Q24266
31917	Q9W314
31915	Q9W316
31914	E6PBV6
31914	Q8SWU7
77767	Q5EBJ4
72654	Q8R344
74493	Q3UES3
853338	P32581
853339	P42948
853334	P42944
853335	P42945
853336	P42946
853337	P42947
853330	P47024
853332	P47025
853333	P42943
83719	A0A024R624
83719	P61236
75723	A0A1Y7VM69
75723	Q9D4H4
854649	P40452
854648	P40451
854645	P40449
854644	P00724
854647	P40450
854646	P27796
854641	P40446
854640	P40445
854643	P40448
854642	P40447
4654	P15172
4656	P15173
4651	Q9HD67
4650	B0I1T6
4650	Q13459
4650	Q4LE74
4650	Q8WVD2
4653	A0A0S2Z421
4653	Q99972
2542249	Q09911
2542246	O13809
2542247	P87140
2542244	O13852
2542245	O13772
4659	B2RAH5
4659	O14974
256076	A8TX70
2542240	O13831
224092	Q3UM18
55061	A0A140VK55
55061	B3KTY0
55061	B7Z469
55061	Q5VX71
842663	Q9SH42
404289	Q0P547
1487898	Q69549
404281	O15391
51115	E5RH53
51115	Q6N086
51115	Q96DB5
51114	Q9Y397
51117	A0A024R890
51117	Q9Y3A0
51116	A0A024R8D4
51116	Q9Y399
51111	A0A024R5F8
51111	B5MCB3
51111	B7WNX0
51111	B7Z5N2
51111	Q4FZB7
51110	A0A024R811
51110	Q53H82
51112	A0A0J9YXQ9
51112	Q8WVT3
51119	A0A0S2Z5I7
51119	Q9Y3A5
51118	Q9Y3A2
93323	Q9BT25
246404	C0HKA2
246404	C0HKA3
246404	C0HKA4
619577	Q3ZAU6
122616	Q96F83
246269	Q8WV93
108	Q08462
108	Q71UM8
109	A0A0A0MSC1
109	B7ZLX9
109	O60266
102	A0A024R5U5
102	O14672
103	P55265
100	A0A0S2Z381
100	F5GWI4
100	P00813
101	P78325
101	Q14C66
821951	A0A178VJX8
821951	Q9LK47
172016	O02099
104	P78563
821952	A0A178V7Q4
821952	A0A1I9LMQ7
821952	F4J469
853590	P47161
853592	P46974
853593	P47163
853594	P47164
853595	P32906
853596	P46970
853597	P47165
853598	P47166
853599	P47167
214899	Q3UXZ9
36332	A1Z8W1
36332	A1Z8W2
36332	A1Z8W3
36333	Q7K3Y9
36330	A0A0B4KEN0
36330	A0A0B4KFG4
36330	A0A0B4KFQ9
36330	A0A0B4LF70
36330	A1Z8V8
36330	C6SUS8
85439	Q8WXE9
85438	Q96KC9
200523	A0A140VK60
200523	Q96LM6
85431	Q924V1
85437	A0A024R106
85437	G3V1V1
85437	Q8TBF4
100008935	Q6TYA7
85435	G3V603
85435	O54835
45840	A0A0B4KGD8
45840	A0A0B4KGV8
45840	A0A0B4KHB6
45840	A0A0B4KHP4
45840	Q01617
41349	B5RJL4
41349	Q9VGR2
41348	Q8T3W8
45845	P09040
41345	Q9VGR8
41344	A8JQX6
41347	O16797
2540306	O94281
41341	A0A126GUT1
41341	Q9VGS2
10006	A0A0A0MRT6
10006	B6VEX3
10006	B6VEX4
10006	B6VEX5
10006	Q8IZP0
41343	A0A1B3Q3N5
41343	P48588
41342	Q9VGS1
83871	A0A024QZ68
83871	B4DNC0
83871	E7ES60
83871	P0DI83
83871	Q96PJ7
83871	Q9BZG1
855998	P32589
855999	Q02875
83874	A7E244
83874	B7ZVY9
83874	Q9BXI6
83877	Q9BX73
83879	Q9BWT1
855993	P00812
855990	Q02961
855991	Q02969
855996	Q02872
855997	Q02873
855994	Q02979
855995	Q02981
133746	Q8N9B5
33076	Q9VRD4
830467	A0A178UB06
830467	Q6DBP3
3077435	F5HA42
3077435	Q6SW66
173944	Q09975
173945	A0A0K3AQY3
173945	A0A0K3ATW0
173945	P81299
173943	Q10014
41699	Q9VFP8
41698	Q9VFP9
841978	A0A1P8AV32
841978	F4I096
41693	A0A0B4LH76
41693	P08175
10008	Q6IAE6
10008	Q9Y6H6
41690	Q9VFR0
41697	P18488
41697	Q5BIB4
41695	Q9VFQ4
41694	A0A0B4LH53
41694	P54351
2633	P32455
73086	Q3TUH8
73086	Q8C050
7148	O95680
7148	O95681
7148	P22105
7148	Q6IPK3
7148	Q9Y464
380686	Q5M8N0
70804	Q80UU9
836271	A0A178UM04
836271	A0A1P8BCL3
836271	Q0WWQ1
945583	P0A937
836550	A0A178UKA0
836550	Q9FMF7
836554	A0A178UIP8
836554	A0A1P8BBW9
836554	A0A2H1ZE95
836554	Q9FMF5
836557	F4KDM3
836557	Q9FMF3
836556	A0A178UAW8
836556	Q8LGG0
396223	P14731
80231	Q9HAI6
396224	P13648
285440	Q6ZWL3
51285	A0A024R5Y3
51285	Q9NYN1
26998	B7Z8T3
26998	E9PG08
26998	Q5J875
26998	Q9UGM5
284312	Q8NBB4
30632	O93369
7141	P09430
7141	Q4ZG82
171093	M0R5T5
171093	Q9QX74
34967	M9PDJ6
34967	P49858
171097	O88768
7678	J3QKQ6
7678	Q15973
171095	Q8BPI5
171095	Q8K4C2
7675	P58317
51280	B3KNK9
51280	Q8NBJ4
37177	A1ZBE9
37176	A0A0B4KG81
37176	A1ZBE8
37175	Q7JYX3
37174	Q4QQB9
51283	H3BMP2
51283	Q9NZS9
37170	Q5BIE4
37170	Q7JRA7
399373	O93352
399371	A0A1L8I1Z6
842911	Q9SRZ3
399377	Q5M999
37179	A1ZBF1
37178	Q7K0F0
34966	A4V0S1
34966	Q24509
84472	A0A0G2K2T6
84472	Q9JIL3
37646	A0A0B4JD46
37646	Q8T8R1
270166	Q6P8N8
270166	Q8C4Z5
270166	Q9JHS4
84476	A0A0G2K3L7
84476	D3ZDD7
84477	F1LSR2
84477	Q9EQH1
84478	Q9ES53
84479	Q9JKC9
29278	Q99MZ8
99712	Q8BGS7
310710	Q4KM74
18741	B1VD84
18741	B1VD85
18741	P97474
18741	Q6DIA6
819282	A0A1P8AY20
819282	Q9ZUZ2
819283	Q8GYY5
819280	F4IJ86
819280	P46897
819281	A0A178VXT2
819281	Q9ZUZ3
40568	Q9VN30
40569	Q9VN31
178859	Q21174
834678	Q9FL26
40562	Q8IPM0
40562	Q8IPM1
40563	Q9VN25
178857	Q20282
178850	B1GRJ8
178850	H2L073
40564	Q960G1
178852	J3K004
363875	Q6RUV5
837205	Q8LPR9
818883	P29385
818883	Q5XXG9
818881	A0A178VPU7
818881	A0A1P8AY87
818881	Q84XU2
313163	Q66H11
80005	B9A015
80005	Q68DL4
80005	Q9H7D0
14406	P22723
14400	P50571
14400	Q53WT3
241694	A0A0A0MQD7
241694	A0A2I3BPN8
241694	A3KGS3
14402	P63080
14402	Q8C446
818888	A0A1P8B0K7
818888	Q9SJG9
813858	C0H5J2
32869	Q9VWQ3
117419	A0A0B4KFM4
117419	L0CQ48
117419	Q23976
65991	Q9BWH2
201299	Q8NG50
12704	D3YU89
12704	D3Z1U0
12704	E9QL53
12704	F6SBR5
12704	P49025
13835	Q60750
13836	Q03145
171635	Q9N5Z3
13830	P54116
13831	Q3UEV1
13831	Q3UG01
13831	Q6PBH3
13831	Q7TNR8
13831	Q8C9X6
843655	A0A178W4P9
843655	A0A178W5L9
843655	F4HQ54
843655	Q9CAT5
843658	A0A178WH71
843658	Q8LAF4
843659	O49213
13838	Q03137
322007	Q7ZVK6
12709	Q04447
834578	Q9ASQ2
835414	A0A178UJY0
835414	Q8LG11
834575	Q94B60
834572	A0A178UE70
834572	Q9FHK0
823624	Q9FYC1
823627	Q58P69
2768908	O46080
5629	Q92786
823622	Q9FYC2
5627	A0A0S2Z4K3
5627	A0A0S2Z4L3
5627	P07225
5626	A0A0G2JQ02
5626	O75360
5625	O43272
5624	E7END6
5624	P04070
5623	O60542
270162	Q3V1U8
5621	F7VJQ1
5621	P04156
5621	Q53YK7
5620	P04554
5620	Q1LZN1
213783	Q3UX37
213783	Q3V3S7
398029	O73821
65997	Q9BPW5
183155	O16581
839928	O04292
38352	A8JNI9
38352	M9MRU9
38352	M9MRZ7
38352	M9ND32
38352	M9NFJ6
38352	M9PE38
38352	P17970
38352	Q0E8I8
225659	Q0VEJ0
38350	Q9VZX1
398024	Q9I9A7
398026	A0A1L8EPY1
398026	P52170
398026	Q4QR45
38355	Q9VZW7
839789	A0A178WAE7
839789	Q9LP45
378477	F6NJE0
283349	Q86WH2
287156	Q7TSA0
287155	D4A4T0
54254	P46152
50764	Q3TJW2
2539246	O74863
839787	A0A178W4M0
839787	A0A178W6A8
839787	A0A1P8AQN1
839787	A0A1P8AQV0
839787	C0Z2A9
839787	F4HZW3
839787	F4HZW6
839787	F4HZW7
839787	Q67XR9
5995	A0A0S2Z494
5995	A0A0S2Z498
5995	P47804
5994	O00287
5997	A0A024R939
5997	P41220
5996	A0A024R945
5996	Q08116
5991	P48380
5990	P48378
5993	P48382
5992	Q33E94
2539240	P78831
5999	A0A024R909
5999	P49798
5998	A0A024R831
5998	A0A024R833
5998	A0A024R841
5998	B3KVT7
5998	B3KWG8
5998	H7BXY1
5998	P49796
5998	Q53GP3
2539241	O74479
838782	A0A178W1G9
838782	Q9XHZ8
838783	Q9XHZ7
838780	A0A1P8AM72
838780	Q9XI00
838786	Q9XHZ3
54257	P42260
838784	A0A1P8APB6
838784	Q9SFF4
103573	Q6P5F9
103573	Q8BYY5
19383	Q3U3F6
19383	Q64012
19384	P62827
19385	P34022
19386	Q9ERU9
19387	P46061
819755	F4J9K3
819755	F4J9K4
819755	Q9M9L1
819756	A0A178VHK0
819756	A0A1I9LLE4
819756	A0A1I9LLE5
819756	A0A1I9LLE8
819756	Q9M9L0
131870	Q96DE0
819753	P43289
819753	Q0WUV3
819759	A0A178VNC0
819759	A0A1I9LR13
819759	F4J9K9
80004	Q9H6T0
113835	Q9Y2Q1
493627	Q5BJA8
812030	Q8IL02
812032	Q8IL00
812036	Q8IKZ7
173162	O62140
173162	Q2L6T9
173162	Q7JK62
173165	G5EDX9
200958	A0A0G2JN31
200958	A0A0G2JR26
200958	A0A0G2JSE2
200958	Q8N307
173167	P34690
173168	O62102
46121	M9PF40
46121	Q9VTE5
39005	Q9VSP9
39004	E1JI78
39004	M9MRS9
39004	M9MSK7
39004	M9ND66
39004	M9NE63
39004	M9NFP9
39004	Q9VSQ0
39004	Q9VSQ1
39007	Q9VSQ2
177673	Q19196
39001	A0A1B2AKQ3
39001	P22977
39003	Q9VSP8
39002	A4V1N8
39002	A4V1N9
39002	M9NDM6
39002	P35415
39002	P35416
39008	Q9VSQ3
2882	Q96SL4
191456	Q23661
180713	P35603
207215	P62932
207215	Q3KN92
837405	A0A178WMU1
837405	P24704
247	O15296
246	P16050
286204	Q5IJ48
240	P09917
286207	Q5JU67
842295	A0A178W2T9
842295	Q9ZUJ2
2886	A0A0S2Z4F6
2886	Q14451
249	A0A024RAG0
249	P05186
248	A0A024R4A2
248	P09923
842293	A0A1P8AQ84
842293	Q944S1
851070	Q06485
245812	Q8N129
15378	B9VVT5
15378	B9VVT6
15378	P49698
831201	Q8GW31
831202	A0A178UDB5
831202	Q9FNB5
831203	A0A1P8BES5
831203	A0A1P8BET4
831203	F4K402
12006	O88566
12006	Q3UQK5
12005	E9QMJ8
12005	O35625
12005	Q14DJ8
831209	A0A178UMQ9
831209	A0A178UNX2
831209	F4K409
831209	F4K410
64601	Q9H269
78092	A2BED8
839436	A0A178W6J8
839436	O48737
64707	A0A0R4J074
64707	Q9EQQ0
399211	B7ZPG0
399211	Q7T3U0
9249	O75911
9248	Q13585
2655422	Q8IB14
2655159	Q8IBJ8
9241	Q13253
9240	Q8ND90
9242	O60682
9245	A0A024R5T9
9245	O95395
9244	O75462
9247	O75603
9246	O14933
176071	Q95Y90
219844	A0A024R3K0
219844	Q96M11
176072	Q95Y89
176074	D7UU24
176074	H2KYJ9
176074	H2KYK0
176074	Q8T666
176074	Q8WSP3
3645375	A0A1D8PLV5
84125	A0A140VJN5
84125	Q96JM4
831722	Q9M021
353219	Q9UBP8
818577	A0A178VU35
818577	O04193
174727	Q22747
837408	Q5XQC7
217882	B9EIX2
217882	Q80U49
818571	A0A178VUA1
818571	P48484
818570	A0A178VRQ9
818570	A0A1P8B191
818570	A0A1P8B1A8
818570	A0A1P8B1D5
818570	Q0WSN2
824048	F4JF64
824048	Q9SXJ7
69188	Q3UG20
2543356	Q9C0Y2
23014	A0A024RBL8
23014	A0A024RBR2
23014	O94952
23014	Q4G104
23014	Q8IUQ5
843300	A0A178W418
843300	Q8VYI1
827538	P42498
820749	A0A178VEP8
820749	F4IXH9
820749	Q84M90
820748	A0A178V703
820748	Q9FRV4
820747	A0A178VFN2
820747	A0A1I9LS84
820747	Q8H1F1
44783	M9MRF2
44783	Q9VMU4
44786	Q9V3B8
820740	A0A178VAV1
820740	B3H575
820740	F4IXG8
820740	Q9LIM5
735235	Q2TAS0
255394	A0A024RBH4
255394	Q8N4U5
45780	E1JGZ9
45780	Q9XZJ4
45783	A0A0B4KF06
45783	Q0E993
211548	Q6GQT9
45785	Q8MSW0
829598	O65674
45786	Q9Y105
829595	A0A178V2W8
829595	Q8GX23
829594	A0A178V126
829594	Q8VY05
829597	A0A178V0Y1
829597	A8MR96
829597	F4JLD1
829597	F4JLD2
829597	P49177
829596	A0A178V413
829596	B9DHT9
829596	Q0WW26
829591	Q9SZ06
829590	A0A178V1J9
829590	Q9SZ05
24297	P04799
10714	A0A024R5M8
10714	Q15054
10715	B4DE47
10715	P27544
10715	Q5XG75
10716	Q16650
10717	A0A024R0D2
10717	B1ALD0
10717	B3KSJ4
10717	B4DTG3
10717	Q9Y6B7
10712	P81408
10712	Q9Y6J7
10713	A0A087X1B2
10713	B3KMG1
10713	B3KPG7
10713	B7Z7L9
10713	Q53GS9
2541849	P12000
176694	G5ECN1
176697	Q9XWV3
14871	Q64471
14871	Q9DCY6
112942	Q96G28
14873	O09131
2541840	O42857
2541843	Q9UTB8
2541842	Q9UTA0
2541845	Q9P7S5
2541844	O13908
2541847	Q10303
83539	A0A024RC28
83539	Q7L1S5
24075	Q8K0H5
821239	Q681Z2
13063	P62897
13063	Q56A15
175528	A0A131MAX2
175528	A0A131MBH6
175528	A0A131MCE2
175528	Q09466
175526	P42171
175524	P42168
175525	P42170
175520	Q22093
175521	G5ECZ0
118813	A0A0S2Z627
118813	B7Z6J9
118813	Q5T4F4
118812	A6XB87
118812	Q8NDC4
54189	J3QJV7
54189	O35551
54188	B2LVG5
54188	B2LVG6
54188	E0CXT7
54188	Q8BQZ5
69085	Q8R1J3
54187	Q9NR45
39448	Q9VU08
364729	F7EU06
2539756	O14333
844299	Q8RWU6
20264	K3W4P8
20264	Q6QIY3
20262	O70166
20262	Q545T6
823901	A0A178VEE6
823901	P27521
844293	A0A178WHC3
844293	Q9SAJ4
844291	Q9SAJ6
844297	A0A1P8ARR3
844297	Q94KK7
2539754	O42928
20269	A0A0R5RP41
20269	A2ASI5
20269	Q3UF73
84002	Q9BYG0
734547	A0A1L8H7X6
734547	Q4V7T5
84312	Q5PSV4
69082	Q3TIV5
397990	A0A1L8HQC9
397990	O13161
84315	Q86VX9
2539753	O60102
40953	Q9VHW5
40952	Q9VHW6
44432	Q9VEZ5
40950	A0A0B4KGF6
40950	A0A0B4KGS8
40950	Q32KD3
40950	Q494I1
40950	Q7KSW1
40950	Q9VHW9
40957	Q9VHV9
40956	Q9VHW0
44437	Q9V3J4
44438	A1Z9E3
29777	A0A024R029
29777	Q9ULW3
40959	Q7K4L8
40958	A0A0B4LHX7
40958	Q9VHV8
828246	F4JJL3
23518	Q15032
1143	P30926
829163	Q940Q4
1146	P07510
1147	O15111
1144	B4E3W4
1144	Q07001
1145	Q04844
23510	Q14681
23510	Q8IYY2
23511	Q5SRE5
23512	J3QQW9
23512	Q15022
1149	B3KVA2
1149	O60543
1149	Q8N5P9
23514	B3KP42
23514	Q14159
23515	B4DHJ4
23515	Q14149
23515	Q4VBZ9
23516	A0A0S2Z534
23516	Q15043
23517	P42285
23517	Q3MHC9
59007	Q9JI78
2539833	Q9USZ5
59004	Q3ULQ6
59004	Q9JM05
179841	G5ECJ5
59001	A0A0R4J091
59001	Q9JKP7
179842	Q18728
179849	Q20720
2539831	O60114
59009	E9QQ33
59009	Q69ZI1
59008	A0A0G2JDE8
59008	A0A0G2JDM7
59008	A0A0G2JE03
59008	Q3TWF7
59008	Q3U5Y4
59008	Q3U981
59008	Q3UFC2
59008	Q8BTZ4
2540468	P87159
2540469	O74791
2539830	Q10204
834747	A0A178USW1
834747	Q9FJR0
2540460	Q9Y7K9
2540462	O59670
2540463	O14345
2540464	O60177
15375	P35582
2540466	O59735
2540467	O43006
2541593	Q9UTB4
2541592	P41889
2541590	P87050
174699	Q20228
174698	O18191
174697	Q17886
174695	P48166
829387	A0A178UTK1
829387	Q94JQ3
174693	C8JQR2
174693	G5EBX1
174693	G5EEU6
174693	Q7YSI9
174690	O62213
446250	B1H1Q8
90701	K7EJQ7
90701	Q9BY50
25595	A0A0U1RRX4
25595	F1LNK0
25595	F1MAQ5
25595	P15146
25595	Q64715
25595	Q78DZ1
8538	Q9UMQ3
8539	B4DDR3
8539	Q9BZZ5
375061	Q96GI7
3643906	Q59Y40
8531	A0A024RAQ1
8531	A0A024RAV4
8531	P16989
12826	P02463
8533	B4DN01
8533	Q9UNS2
8534	O43916
8535	A0A0S2Z5B2
8535	O00257
8536	B0YIY3
8536	Q14012
8537	B2RCQ5
8537	G3XAF7
8537	O75363
8537	Q05CL3
221302	A0A0S2Z644
221302	Q96AP4
221301	Q5JW98
92259	P82909
50403	Q9W3D4
119032	A0A0B4J1R7
119032	Q96B45
92255	Q68DH5
151393	A0A0C4DFM4
151393	Q96LZ7
399034	Q6P704
66576	P99028
832130	A0A178UKJ1
832130	P83291
832130	Q29Q36
174342	Q19459
174347	Q19707
843510	Q9M9G6
374955	Q7Z572
816258	A0A178VYT2
816258	Q9C5S2
22648	P10751
839081	A0A178W7B6
839081	A0A178W886
839081	A0A1P8ARY6
839081	A0A1P8ARZ0
839081	A0A1P8ARZ4
839081	A0A1P8AS05
839081	A0A1P8AS07
839081	F4IAT2
839081	F4IAT3
22642	A6H6B9
22642	Q60821
816257	F4INI6
816257	Q9SHL7
2541337	Q9P790
2541336	Q9P793
2541335	Q9P7U7
26558	Q99JP6
2541330	Q9P797
26557	E9Q4F9
26557	Q9QWW1
26556	Q3UVL6
26556	Q5D052
26556	Q9Z2Y3
2541339	P08091
26554	Q9CTE0
26554	Q9JLV5
396806	P80964
10170	Q9BPW9
2543114	Q9US13
65218	Q8CGU4
842836	O80800
57552	A0A0A0MTJ9
57552	A0A0R4J2G3
57552	Q6PIU2
65217	A0A087WTR6
65217	A0A087WZN9
65217	A0A087X1T6
65217	A2A3D8
65217	A2A3E6
65217	A2A3E7
65217	A2A3E8
65217	A9Z1W1
65217	E7EM53
65217	E7EMG0
65217	Q96QU1
381	A4D0Z3
381	P84085
382	P62330
383	P05089
384	A0A024R6A0
384	P78540
378968	I3IRW7
387	A0A024R324
387	B4DKN9
387	C9JRM1
387	C9JX21
387	P61586
387	Q9BVT0
388	P62745
389	A0A024R0I3
389	P08134
63845	Q9QYV1
7592	A0A024R1C4
7592	P51814
53637	Q9H228
823720	A0A178VNZ5
823720	F4J6R6
823720	Q8LCU7
55634	Q5JUW0
32250	Q9I7S5
32253	Q9I7S4
32253	X2JBI1
32253	X2JDH0
32253	X2JEQ0
32253	X2JF15
32253	X2JJU0
55630	Q6P5W5
55630	Q9NX22
55631	A0A140VJN3
55631	Q9H9A6
55632	B4DL73
55632	F5GX24
55632	Q49AD9
55632	Q7L622
32256	M9PEF9
32256	M9PH06
32256	Q23977
32256	X2JJV1
32258	Q9VYH3
32258	X2JER0
55638	B7Z4D2
55638	Q9NX95
3643134	A0A1D8PRH8
104263	Q6PCM1
3759	P63252
2542737	Q10290
2542734	O14013
1075	P53634
2542732	P24339
2542733	O14223
2542730	Q9UTA5
2542731	Q09672
3751	A4D0V9
3751	Q9NZV8
1072	P23528
1072	V9HWI5
3753	A7LFK2
3753	A7LFK4
3753	C7S316
3753	P15382
3753	Q6FHJ6
3752	A0A024R0C6
3752	Q9UK17
3755	Q86Y85
3755	Q9UIX4
3754	Q9H3M0
3757	A0A090N7W1
3757	A0A090N7X5
3757	A0A090N8Q0
3757	Q12809
3757	Q15BH2
3756	O95259
2191	B4DLR2
2191	Q12884
2192	P23142
2192	Q8NBH6
2193	Q6IBR2
2193	Q9Y285
2194	P49327
2195	Q14517
2543111	P49740
2197	P35544
2199	P98095
2199	Q86V58
2199	Q9Y3V7
1071	A0A0S2Z3F6
1071	A0A0S2Z3I8
1071	B4DMZ5
1071	P11597
57673	Q5T5X7
57670	Q9HCM3
57677	Q9HCL3
57674	A0A0A0MTC1
57674	A0A0A0MTR7
57674	Q63HN8
57678	Q86T70
57678	Q8N1G6
57678	Q9HCL2
57679	A8K4R4
57679	Q96Q42
2543110	O14194
2046	P29322
52118	Q8K094
2542809	O13731
4811	P14543
817612	F4INW2
817612	P26569
4810	Q6T4R5
4817	B7Z410
4817	Q86X76
330938	Q80Y83
340706	Q5GFL6
4815	B4DJC1
4815	F5H3L1
4815	F8WBZ3
4815	Q9NZG7
192120	B2RT02
192120	Q80YW5
4814	Q92982
856700	P39998
45680	Q7KLX3
13653	P08046
13653	Q544D6
13653	Q8CAT6
32075	Q9VZ02
2542801	Q9UTI7
810964	Q8IHV8
43310	Q9VB25
79810	A0A024RAM6
79810	B3KPU6
79810	B7Z8R2
79810	F6S289
79810	Q8WV60
43311	Q9VB24
2734	Q92896
2735	B4DNF7
2735	P08151
2736	P10070
2736	Q1PSW9
2736	Q59FV5
2737	P10071
2730	P48507
174826	Q23664
174826	Q65ZB3
2733	B3KMG0
2733	Q53GS7
79816	Q6PJM9
79816	Q9H808
830480	A0A178UGD2
830480	Q9FI91
856705	P32775
2738	P10075
2739	Q04760
2739	X5DNM4
79817	Q86TA1
57096	Q96KN7
57097	Q9NR21
57094	Q8N4T0
57092	Q8WW12
2542806	O13777
57091	B4DII4
57091	Q9NQ75
447010	Q6DCK0
2049	P54753
57099	Q9NQS1
856709	P03069
362242	B5DFL0
81543	Q9BY71
81542	Q9H3N1
4336	A0A024R2N4
4336	A0A0S2Z3W1
4336	Q13875
293621	P20171
4337	A0A024RD17
4337	Q9NZB8
2540289	O94651
15233	O09173
53573	E3CTS5
53573	Q9V400
2540850	Q9Y7Y9
2540853	O94363
4335	Q99583
2540855	O74966
653519	B7ZAQ6
653519	P0CG08
653519	X5D7G6
2540856	O74398
2540859	O43062
2540858	O94365
57507	B3KPE6
57507	Q9ULD9
380436	Q7ZX55
32076	Q9VZ01
853909	P36131
853908	P36130
9766	Q92537
9767	A0A024R1A2
9767	Q92613
9764	O60268
9765	Q7Z3T8
841221	A0A178W162
841221	Q9M5K3
853902	P36126
853901	P36125
853900	P36124
853906	P69771
853904	P26343
37371	Q4V664
24171	F8WFS9
24171	Q05764
37372	Q9W2P5
37375	Q9W2P2
37374	A0A0B4LG18
37374	Q8MSJ9
37377	Q9W2P0
810347	Q8IJK6
37379	A0A0B4KFE1
37379	Q86BG2
37379	Q9W2N8
37378	P18053
187460	Q21557
187465	H2KZR1
187465	Q7Z2A6
6370	O15444
29138	G3V984
14661	P26443
14661	Q3TSQ7
822119	Q9LSF1
146852	C3TX97
146852	Q2M2E3
822115	Q38935
822117	A0A178VH19
822117	B3H746
822117	Q38931
18459	Q62029
822112	A0A178VAT5
822112	Q9LSF6
824585	A0A178VIJ9
824585	P25859
840077	Q9C6S8
71994	Q9DAW9
71991	Q3TZV2
71991	Q8CFD5
71990	Q8K4L0
516175	Q3T0E7
838614	A0A178WCF6
838614	Q8W4E2
147183	Q6ZPD6
147183	Q7Z3Z0
840073	Q9C6S5
824584	A0A178V9T4
824584	Q9ZSZ8
840072	Q9C6S4
68339	Q6VGS5
11946	Q03265
11947	P56480
835266	A0A178UCD4
835266	Q9LT89
18451	E9Q7B0
18451	Q3TTT2
18451	Q3UF16
18451	Q60715
68337	A0A0G2JF37
68337	Q4FJU3
68337	Q9DCT8
67308	Q9EQI8
96979	Q8BWM0
811765	Q8ILR0
65042	G3V804
65042	Q9JHY2
67300	Q68FD5
65043	B5DEM5
824587	A0A178VCH1
824587	Q9M386
184284	Q09305
37995	P36241
37994	Q9W0X5
37997	Q9W0X2
37996	A0A0B4LHN1
37996	Q9W0X3
37990	Q9W0Y0
851419	P0CX84
851419	P0CX85
851418	P19146
851417	Q12300
851416	Q12334
851415	P04050
851414	P48445
851413	Q07560
851412	P39078
851411	Q07589
851410	P53622
234577	P59108
19025	G3X8T3
19025	P16675
19025	Q544R6
19025	Q9D2D1
5800	A0A024RAS0
5800	A0A024RAS9
5800	Q16827
3038	O00219
3038	Q96RV2
3039	D1MGQ2
3039	P69905
3034	P42357
3035	B4DDD8
3035	B4E1C5
3035	P12081
3036	D2N2G5
3036	G3V1S7
3036	Q8IYH3
3036	Q92839
3037	Q92819
3030	E9KL44
3030	P40939
3032	F5GZQ3
3032	P55084
3033	B3KTT6
3033	Q16836
229534	Q3TVI8
144983	A0A024QZ98
144983	Q32P51
51493	Q9Y3I0
72141	A0A1L1SSF2
72141	Q3UDS7
