yourlist:M20180328A7434721E10EE6586998A056CCD0537E55CEADC	Entry
4015	B0AZT2
4015	B7ZAJ4
4015	D0PNI2
4015	P28300
43717	A0A0B4KHL2
43717	Q8I0G5
854878	P06838
854879	Q04493
19434	O35602
851056	Q06135
854872	P38427
854871	Q04201
854876	P54787
854877	Q04489
854874	P05085
854875	P11747
852324	P35206
852325	P23833
852326	P14180
852327	P38077
832353	Q0WT24
852321	P38073
852322	P38074
852323	P38075
135932	Q8IV31
852328	P38224
852329	P38225
832359	A0A178UMV9
832359	Q9FFB3
145946	A0A140VK52
145946	Q6RVD6
287772	Q5XIC6
851051	P37370
2655173	C0H4Q1
397737	P30311
812387	Q9U0I8
812383	Q9U0I6
812381	Q9U0I2
825007	Q9M2H8
825004	D5K228
4343753	Q8H2X8
68845	Q9CQJ2
288	Q12955
288	Q8NAK2
181772	O45346
181775	P19626
835065	A0A178UDL7
835065	Q9FGB0
815008	A0A178VYA9
815008	Q8H1U5
283	P03950
283	W0UV28
854181	Q12450
284	B4DTQ9
284	Q15389
287	A0A024RDI4
287	Q01484
286	B3KX39
286	P16157
821784	Q94CE5
4359	P25189
821787	A0A178VE56
821787	Q8LCL3
821780	A0A178V8Z5
821780	Q9LIE6
821781	A0A178VJL5
821781	Q9LIE5
38888	Q9VSC5
38889	Q9VSC6
38887	Q8IQ92
38887	Q9VSC4
440590	Q6WRX3
5008019	A0A178VFQ2
5008019	Q9LIF1
38883	Q9VSC1
38880	Q9VSB8
38881	B5RJL3
38881	Q9VSB9
815004	A0A0A8IL98
815004	A0A1P8B2X9
815004	Q9SI03
240028	Q8C129
819958	A0A178VIC2
819958	A0A1I9LLZ4
819958	Q9S7D2
819959	Q9S7M9
84333	Q86SE9
23035	Q6ZVD8
501052	D3Z8Q5
80232	Q9H7D7
80233	A4ZI32
80233	Q0VG06
80230	A8K7B1
80230	Q96T51
815007	A0A178VMU5
815007	A0A1P8AZM7
815007	F4IFA4
80237	Q9HB65
362353	D3Z8A4
823965	A0A178V7A6
823965	Q0WW39
823965	Q9SB04
362356	B1WBY1
8549	A0A0A8K8C7
8549	O75473
813928	C0H5A6
22845	A0A0S2Z597
22845	Q9UPQ8
42049	Q9VEP8
42048	Q9VEP9
135138	Q96M98
42043	P50245
42043	Q7KSG0
42041	Q9VEQ6
23030	A0A0C4DFL8
23030	F5GX28
23030	O94953
42047	Q9VEQ0
42046	Q9VEQ1
42045	Q9VEQ2
813465	Q8I2W4
320080	Q6PDK0
824665	Q9FQ25
824666	Q9FQ24
142679	Q8WTR2
824661	A0A178VF09
824661	Q8VX13
294282	P62271
853057	P48238
853056	P13856
853051	P24000
853050	P37293
853053	P48237
853052	P48236
828175	A0A1P8B876
828175	A0A1P8B885
828175	Q8GZ38
828176	A0A1P8B3Q9
828176	Q9M129
853059	P32582
853058	P48239
201931	Q8IY95
820789	A0A178VLD3
820789	Q9LDY8
2539739	Q9P787
820782	A0A178VCE7
820782	Q9LDU3
820781	A0A178VHK3
820781	Q9LDR3
139728	B4DJP1
139728	Q6P2M8
820784	A0A178VGV6
820784	B9DG40
820784	F4IYS4
820784	Q9LE80
854857	P40583
6309	A0A024R3G4
6309	O75845
158135	Q6ZUZ3
158135	Q8NHH1
6305	O95248
6304	A0A024R2H1
6304	Q01826
6307	Q15800
6301	P49591
6301	Q0VGA5
6301	Q5T5C7
6300	P53778
6300	Q6N076
6303	P21673
6302	B4DFJ7
6302	F8VWE0
6302	Q12999
10134	P51572
10135	A0A024R718
10135	P43490
2540138	O42926
10137	Q9NTZ6
10130	Q15084
10131	A0A140VJY2
10131	Q12931
10131	Q53FS6
10133	Q96CV9
734589	Q4V7M9
2540133	P79007
2540130	O13633
2540131	Q9Y7J2
10138	B4DJQ9
10138	G3V212
10138	Q8IY57
10139	B7ZKY8
10139	Q13795
2540134	Q9UUF3
2540135	O42935
836301	P29402
618164	G3N131
836304	A0A178UNY6
836304	Q8VZ21
40999	Q8INQ9
40999	Q8INR0
40999	Q9XYA7
40998	Q9VHR6
40997	E1JJ90
40997	Q9VHR7
40996	Q9VHR8
40993	Q06849
40992	A0A0B4LGW4
40992	Q9VHS3
40991	Q9VHS4
40990	P23757
835969	Q67ZM7
835968	Q9LV01
176657	Q9XW79
176656	G5EE45
176656	Q9U1S5
176656	S6FWP2
176659	Q9XW77
2539734	O94728
835966	A0A178UBD7
835966	Q9FGG8
835960	A0A178UTZ9
835960	Q94KD0
2539735	O94563
830881	Q9LX12
814748	A0A1P8B0S4
814748	Q9ZUM1
29741	Q5FVS6
2655282	Q8IAW5
2542415	O14073
2655281	Q8IAW6
174659	Q09599
2655280	C0H4U5
827319	P42497
827318	O23471
3885920	C6KSV0
174652	Q09456
80907	A0A1L1SVF9
80907	B2RWI2
80907	Q9EP89
174657	G1K0W2
174657	G1K0W3
174657	G1K0W4
174657	G5EC55
174657	G5EC95
174657	G5ECF9
174657	G5ECZ8
174657	G5EDY4
174657	G5EGP5
174657	Q09EF4
174654	Q09459
1630	P43146
1630	Q49AK4
1632	P42126
1633	F5CTF3
1633	P27707
1634	A0A024RBG6
1634	P07585
1634	Q6FH10
1635	P32321
1636	B4DKH4
1636	P12821
818383	A0A178VNR4
818383	Q38944
1638	P40126
1639	Q14203
1639	Q6MZZ3
818389	O80437
41020	O61444
41021	Q9VHP3
179555	Q22560
41023	A0A0B4KFH6
41023	Q9VHP1
41025	Q9VHN9
41025	U3PV63
179551	Q22562
41027	Q7KSU6
41027	Q9VHN7
2539406	P87233
41029	Q9VHN5
2539404	O94733
84262	A0A024R806
84262	Q9BT73
2539402	O74903
2539403	O74957
841365	A0A178WJR1
841365	Q9XIA7
2539401	Q9Y7T8
40373	Q7JRF1
40373	Q7JY00
40373	Q86P32
40372	M9PD70
40372	Q9VP35
945574	P0A731
40370	A4V287
40370	M9PG42
40370	P39413
40377	M9PGB6
40377	Q9VP29
40376	Q9VP30
40375	B6VQ99
40375	M9PFW2
29959	F8W6G1
29959	Q9UHY1
29956	Q96G23
29957	Q6NUK1
29954	Q9UKY4
40378	M9MS41
40378	Q24142
29952	Q9UHL4
29953	Q9UKU6
29950	Q53GC0
29950	Q9UHV2
29951	B4DGD1
29951	Q6ZMN7
14255	Q00342
14255	Q3TQF1
14255	Q3UEW6
14254	A0A0R4J0A4
14254	P35969
14257	P35917
14257	Q5SU94
14251	O08917
14251	Q540I4
14252	Q3UEG9
14252	Q60634
2541661	O14258
2541660	P31406
2541663	Q09792
2541662	O13698
2541665	Q9C109
2541664	O94392
2541667	Q09858
5429	A0A024RD62
5429	B3KN75
5429	B4DG64
5429	Q9Y253
5428	E5KNU5
5428	P54098
5425	A0A087WWF6
5425	P49005
5424	A0A024R4F4
5424	M0R2B7
5424	P28340
5424	Q308M6
5424	Q59FA0
5427	P56282
5426	Q07864
1182	B3KXK0
1182	P51790
5420	O00592
5420	Q96N83
5423	B7Z1W5
5423	P06746
5422	A6NMQ1
5422	P09884
179881	G5EG54
179880	P90820
179884	Q9XVI6
175308	Q9BKQ8
419190	Q5ZLQ6
384783	P81122
423063	Q5ZIA5
7354399	G7H806
7354399	Q95RI7
399385	Q9I9K6
399382	Q9I8S3
58240	Q3TC93
58240	Q8C910
114327	B2CKC5
114327	Q5JVL4
75185	Q9D4X6
414485	Q6NU16
269784	Q69Z26
779280	Q05AW6
854064	Q12180
855902	Q08954
843410	F4I6W3
843410	F4I6W4
843410	Q0WN31
843410	Q9SGC1
779286	A0A1L8G7J0
779286	Q0IH89
283685	H3BMJ4
283685	Q8N9W4
29428	Q792H5
29428	Z4YNP1
829678	A0A178UXV2
829678	O65502
3885926	C6KSW2
855905	Q08952
110135	Q3TGR2
110135	Q8K0E8
200162	Q6Q759
2542089	O14260
319156,319155	B2RTM0
319156,319155	P62806
841405	A0A178WLE1
841405	Q9C6D2
79830	A0A1B0GXA6
79830	B4DSJ9
79830	Q5SVZ6
79830	Q9H5R2
842810	A0A178WBR2
842810	Q5XF12
398388	A0A1L8I0E1
398388	Q6NS15
2542823	Q02787
398381	Q6INT2
79832	B3KWV1
79832	Q2KHR3
1585	P19099
2542821	Q9UTL3
2542826	Q09787
819164	A0A178VLJ2
819164	A0A1P8B309
819164	O64636
318824	M9NCR4
318824	M9NE82
318824	M9NER8
318824	M9PB30
318824	M9PB31
318824	M9PB32
318824	M9PBZ0
318824	M9PBZ4
318824	M9PC41
318824	M9PC45
318824	M9PC48
318824	M9PCJ6
318824	M9PCJ8
318824	M9PEH5
318824	M9PEI1
318824	M9PEI7
318825	Q86BM8
819161	A0A178VV79
819161	O64633
100132074	A0A1X9RU27
397500	P80147
828999	A0A178UXD1
828999	Q9SVU5
828996	A0A178V4E9
828996	Q9S831
828997	Q949M4
828994	A0A178UXL4
828994	A0A1P8B4W9
828994	Q8GWS0
79837	B3KQV3
79837	Q8TBX8
828993	A0A178V2K9
828993	Q9SVU0
281040	P79132
155382	Q86XT2
17523	P11247
17523	Q571G0
17523	Q7TMS4
7517	O43542
7517	Q53XC8
7516	O43543
7515	B2RCY5
7515	P18887
7515	Q59HH7
347	P05090
341	A0A024R0T8
341	P02654
7511	Q5T6H7
7511	Q9NQW7
832053	A0A178UCM4
832053	B9DHT4
832053	F4K132
4117	A0A140VK28
4117	F8VBW7
4117	P20794
29424	G3V9P7
348	A0A0S2Z3D5
348	P02649
7518	A0A024RAL0
7518	A0A024RAP0
7518	A0A024RAQ8
7518	Q13426
7518	Q7Z763
19374	P21784
19374	Q542D1
842446	A0A178W5Y6
842446	Q9SY97
19376	Q0PD20
19376	Q64008
19373	P15919
19373	Q3TR87
842443	A0A1P8AVJ2
842443	A0A1P8AVL2
842443	O64770
826304	A0A178UUJ6
826304	A0A178UWL6
826304	A0A1P8B941
826304	F4JG06
826304	Q8L814
70470	A0A0R4J195
70470	Q9CSU0
297417	A0A0G2KB56
297417	P82808
127495	Q96DD0
3646354	A0A1D8PNM8
29425	G3V7Q6
29425	P28075
100049126	A0A1L8G0S1
100049126	P84233
835140	A0A1P8BF42
835140	P0DKC7
835140	Q9LUF2
10966	Q12829
10965	B3KSA0
10965	P49753
10964	B4E019
10964	Q53G44
10963	P31948
10963	V9HW72
10962	Q13015
10962	Q6FGF7
10961	F8VY02
10961	P30040
10961	V9HW71
10960	Q12907
818649	A0A178VTZ5
818649	O22881
3885802	C6KT23
10969	H7C2Q8
10969	Q6IB29
10969	Q99848
57134	Q59G34
57134	Q9NR34
64877	A0A0B4KG19
64877	A0A1B2AKT6
64877	E1JJ32
64877	E1JJ33
64877	E1JJ35
64877	E1JJ37
64877	E8NH35
64877	Q8IPM8
64874	Q9NG60
64875	Q9VXJ5
64872	Q9GU54
69882	Q8R3P6
16498	P62482
16498	Q3UPV6
810296	Q8IJQ4
16497	P63143
16497	Q3U6C5
16491	P16390
16490	P63141
16493	Q61762
16492	Q61423
856724	P39937
78610	Q8K245
500040	Q2LAP6
856725	P89886
71702	Q05DT4
71702	Q3UCF2
71702	Q6A068
150771	Q6GPH6
174840	Q9XXJ0
476783	J9P9B5
836803	A0A178ULJ9
836803	Q9LVR0
856727	P33331
836801	A0A178UHG1
836801	Q944K2
43053	Q7K025
43052	Q9VBT6
81628	B4DKI8
81628	Q9Y3Q8
43050	Q9VBT8
43057	Q9VBT1
856722	P40009
2541084	P79016
2262	P78333
2263	A0A141AXF1
2263	D2CGD1
2263	P21802
2263	S4R381
43059	Q9VBS9
192081	G5EBS8
192081	L8E946
192081	N1NSG8
192081	N1NTL5
192081	N1NVB9
2266	A0A140VJJ6
2266	P02679
81627	B4DXX1
81627	Q7Z2T5
2264	B4DVP5
2264	J3KPQ0
2264	P22455
396456	F1NW43
396456	P00548
56181	A0A0S2Z5H6
56181	Q9H019
594855	Q8WVH0
2541086	Q9Y7L6
836805	A0A178UQN8
836805	Q9LVQ8
388335	J3KSZ3
388335	Q6QAJ8
810380	Q8IJH5
11269	A0A024QZ90
11269	A0A0U4B4U6
11269	B4DL69
11269	H3BQK0
11269	Q9UMR2
56907	Q08AE8
56906	Q9P2Z0
56905	Q6ZRI6
56904	A0A024R896
56904	B7ZC38
56904	Q9NR46
840450	Q9LQE8
56902	Q9NRX1
56901	A0A024RB39
56901	Q9NRX3
56900	A0A024R096
56900	Q9NRX6
22900	A0A024QZD3
22900	E5RFV9
22900	Q9Y2G2
22901	A0A024R8K1
22901	Q96EG1
22902	A0A024RDD7
22902	B4DG59
22902	B4DKC2
22902	Q7L099
2541082	Q9USQ8
22904	Q9Y2G9
22905	O95208
22906	A0A024R2M0
22906	A0A087X0N0
22906	B7Z218
22906	B7ZAE5
22906	Q9UPV9
22907	A0A024R2T6
22907	H7BXY3
22907	Q7L2E3
22417	P22724
22417	Q3ZB23
290864	B2GUZ1
290864	M0R851
2543191	O14131
5826	A0A024R6B9
5826	A0A024R6C8
5826	O14678
37838	Q7JRE4
94025	B3KY81
94025	Q8WXI7
9410	A0MNP2
9410	Q96DI7
9411	Q52LW3
9412	A0A024RAW0
9412	Q13503
9413	Q15884
9413	Q8WU02
9414	B7Z2R3
9414	B7Z954
9414	Q9UDY2
57057	Q9UMR3
9416	A0A024R0Z3
9416	B3KY11
9416	Q9BUQ8
11262	B4DVW8
11262	Q0VGE4
11262	Q13342
11262	Q8IWJ1
191199	O01775
9419	Q9P021
53425	Q7KJ08
3885805	C6KSY6
54888	Q08J23
830357	A0A178UKM3
830357	A0A1P8BFF1
830357	A0A1P8BFI7
830357	A0A1P8BFI9
830357	F4K9F4
54884	Q6NUM9
93621	A0A087WTY9
93621	B3KQA0
93621	Q9Y605
54886	A0A024R154
54886	Q8TBJ4
54887	Q6BDS2
54880	Q6W2J9
54881	A0A024R169
54881	Q9NXF1
54882	Q8IWZ3
54883	Q9NXE8
840011	Q9SA18
445442	Q71SA3
27998	Q9CRA8
227102	Q921I0
3159	P17096
3159	Q5T6U8
17722	P03925
17722	Q7JCY4
308393	D3ZQN3
840012	Q9SA19
2540899	P36579
53612	Q91XH6
65023	A0A0H2UHE0
65023	Q8R426
2540895	Q9USQ4
2540894	O59740
2540896	Q9UUC7
2540891	Q10334
289023	J7H5M8
289023	Q7TSB7
2540892	O59737
148523	Q5TB12
148523	Q8N365
148523	Q8WVX4
171765	H2L0N8
171765	X5M5S1
171765	X5M8W6
109294	Q3LAC4
109294	Q3UWW3
54778	A0A024R5T5
54778	Q6ZNA4
225010	B0V2Q7
225010	Q3UN02
843516	F4IA41
843516	O82656
54776	Q9BZL4
54777	Q8IYW2
837171	A0A178WLF9
837171	A0A1P8AM08
837171	Q84MB3
824507	F4JAE0
824506	Q9LFH9
20418	Q61120
20419	Q9Z179
824503	A0A178VBU9
824503	A0A1I9LNW9
824503	A0A1I9LNX3
824503	A0A1I9LNX4
824503	Q8VYU8
824502	A0A178VNV1
824502	A0A1I9LSP5
824502	A0A1I9LSP8
824502	Q67XJ2
186108	G5EGB9
824509	Q9LFH6
20411	A0A286YCI8
20411	A0A286YCQ0
20411	A0A286YDN0
20411	D3Z5J3
20411	E9PYX6
20411	E9Q6A3
20411	E9QNA7
20411	Q62417
215821	Q3UGY8
69094	Q9D938
821597	Q9LJU6
67030	Q9CR14
297570	B2GUZ4
78284	Q9D2A5
20658	H9KV00
20658	H9KV01
20658	Q80TM4
20658	Q8C9T5
20658	Q9QX47
68910	B2RU53
68910	G3X9X3
68910	Q3USQ2
68910	Q8JZL0
68916	Q91WE6
2540271	O14354
2540270	O43001
644150	A6NGB9
2540272	P87310
2540274	P78946
2540274	U3PYE6
850588	P39692
850589	P38989
2540279	O59712
850587	P43606
850584	P43605
850585	Q00684
850583	P43604
850580	P43603
850581	P38635
841802	Q9C8M0
176516	G5EDV3
176517	Q18605
176512	A8WI68
176512	G5EEK8
176512	Q9XU13
37954	A0A0B4LGJ1
37954	Q9W117
176510	G5EEI9
176511	G5ED75
176511	Q9XU12
37959	Q9W112
839545	A0A178WJW5
839545	Q9LNJ5
176519	C0P283
176519	G5EGP9
176519	Q10658
79629	M0QZ36
79629	Q9H607
843512	F4IA34
843512	Q94AI6
29842	Q9NZI6
79621	Q5TBB1
79621	Q8N451
79623	B7Z5C5
79623	Q96FL9
79622	Q9BV90
79624	B4DPT6
79624	F5GZY1
79624	Q9H993
79627	Q5TC84
79626	Q6P589
4961514	F5HFL9
4961514	Q98157
832733	A0A178UN70
832733	P43288
4961511	Q2HRD5
4961511	Q9WH94
67694	B1AWG1
67694	Q8BKE9
55779	Q96MT7
55779	Q9NUU0
55779	Q9UF55
446739	Q6AZL7
301535	A0A0G2K9H2
301535	B4F7D6
851184	O13556
851187	O13559
180622	Q95ZV7
851181	P41733
851180	P52919
851183	P53427
851182	P54007
654364	P22392
851189	P0CX20
851189	P0CX21
851189	P0CX22
50250	Q7KGU6
50250	Q95R82
525716	P02638
26716	A0A024RCM6
26716	Q8IU63
26716	Q9GZK4
188435	Q22417
70556	Q3TZX3
192234	Q64350
817504	A0A178VS27
817504	P29515
333939	Q7ZW96
34799	Q9V3A0
34796	O97183
34794	Q24169
34792	Q27607
34793	O97182
34790	P26675
333932	Q71DI3
67968	Q9CWE6
100777123	I1M6J0
100777123	K7M4E0
100777123	K7M4E1
209630	H3BIZ7
209630	Q3TB04
209630	Q8BIE6
92797	Q8NG08
92799	B3KVX8
92799	Q8TBC3
444761	A0A1L8EUT5
444761	A0A1L8EUX1
444761	Q6DK98
67967	Q8BH76
67967	Q9EQ28
67966	Q9CX48
24410	G3V746
24410	Q00960
24411	A0A0G2JSH8
24411	Q00961
24412	Q62645
24413	P06536
24414	G3V7U1
24414	P23385
24414	Q9WTJ1
24415	P31421
851239	P39714
851238	P39713
851237	P39708
851236	P39712
851235	P39711
851234	Q6B2U8
818311	A0A178VWS1
818311	Q8VYA5
851232	O13511
199834	Q5TA78
851230	P39709
407	P36575
406	A0A140VKD3
406	B2RCL8
406	O00327
405	A8K6P0
405	B0AZM1
405	P27540
405	Q53F30
844265	Q1PFB9
403	P36405
402	P36404
402	Q53YD8
401	O14813
400	B4DZG7
400	P40616
23295	O60291
23294	Q05CP0
23294	Q92625
23293	Q86US8
23291	B4DH70
23291	Q9UKB1
408	B7Z1Q3
408	P49407
852522	P32473
852523	P38137
852520	P38317
852521	P38318
852526	P38321
852525	P38319
852528	P38323
852529	P38324
834105	Q9FLM6
851185,856632	P0CX16
851185,856632	P0CX17
856633	P39971
856630	Q3E7X8
140662	P02401
856636	P39974
856637	P39975
856634	P39972
820427	A0A178VDL4
820427	Q9LHG0
856638	P39976
856639	P0CX08
856639	P0CX09
827436	A0A178V511
827436	F4JNF7
827436	F4JNF8
433864	Q3UFM5
51166	Q4W5N8
51166	Q8N5Z0
399408	Q7ZTB3
54858	Q9NXJ5
54858	S4R2Y9
54858	U3KQ24
80000	Q9C091
51066	A0A024R2D2
51066	Q9Y2M2
55028	A0A024R8P4
55028	I3L072
55028	Q9BSJ5
181578	Q8WQL7
140668	A0A0G2K4K3
140668	O88563
181576	Q22156
181577	Q9BI71
181577	Q9BI72
181574	Q93703
55026	Q5JRV8
55026	Q7Z4S8
32822	Q7KUW2
32822	Q9VWV2
32822	Q9VWV4
32822	Q9VWV5
55020	Q5R3I4
32820	P45437
32821	Q9VWV6
447089	Q66L13
73274	Q6NXH3
2542129	Q10324
2542128	P28758
2542127	Q9UUJ7
2542126	O13870
2542125	Q9UT11
2542124	O13830
2542123	Q10113
2542121	O13802
2542120	O14244
64651	A0A024R2N7
64651	Q96S65
856188	P23254
856184	Q12346
35440	D5SHV2
35440	Q9V9N9
856186	Q12514
856187	P40347
856180	Q12425
856181	Q12214
856182	Q12074
856183	Q12321
32794	A4V4Q6
32794	E4NKJ3
32794	E4NKJ4
32794	E4NKM1
32794	M9NFC0
32794	M9NH88
32794	M9PJQ5
32794	P36188
23872	P15037
23872	Q3UP99
32796	A4V4Q7
32796	Q94981
32797	M9PHW6
32797	P37236
23877	Q3TRV0
23877	Q9WTJ4
32791	Q9VWY7
32792	H1UUC4
32792	Q9VWY6
32793	Q9VWY5
23879	Q6P5B5
32799	Q9VWX8
140559	A0A0R4J117
140559	Q8R366
27143	A0A024QZM5
27143	Q9ULE6
27141	Q9UHD4
51619	A0A024RA90
51619	Q9UQL0
51619	Q9Y2X8
386681	P60410
27146	Q9ULE4
27145	Q7Z7B0
27148	A0A140VJW1
27148	Q9NRP7
51616	Q9HBM6
51617	Q9Y328
51614	A2TJK5
51614	Q9Y282
339983	Q8N9F0
400591	A2RUQ5
826746	Q0WW10
826746	Q9LD55
821815	A0A178V8B2
821815	Q9LUV4
56040	P47955
56040	Q58E35
821817	Q9LJA0
821810	A0A1I9LMC7
821810	A0A1I9LMC8
821810	A0A1I9LMC9
821810	A0A1I9LMD0
821810	Q8S8Y9
56044	P63321
56045	E9Q0K6
56045	F8WJE0
56045	Q60710
853693	Q03180
853692	Q03178
853690	P36051
853697	P36053
853696	P36005
853695	P36052
36238	A0A0B4KEK1
36238	A0A0B4KET9
36238	A0A0B4KFP2
36238	Q0E9C2
36236	A0A0B4KET4
36236	A0A0B4KFD6
36236	A0A0B4KFN8
36236	A0A0B4LG55
36236	F3YDC9
36236	H6V591
36236	Q9V5Z7
36235	A1Z8L7
853698	P36054
36232	A1Z8K9
36232	Q7JR71
140880	Q9H112
140883	A0A0D9SEJ8
140883	B3KUN2
140883	Q86YH2
140885	P78324
140887	Q91XL2
140886	Q96DU9
74131	Q8K352
74137	Q8BZN4
855371	Q04898
65973	A2AL74
65973	A2AL75
65973	A2AL76
65973	A2AL78
65973	A2AL81
65973	A2AL85
65973	Q3TU40
65973	Q6P8S1
65973	Q8BQK0
65973	Q8BSY0
65973	Q8CBM2
65973	Q9CR06
65973	Q9D7J8
54853	G3V1J0
54853	Q9H6Y2
362826	Q1M168
2540079	O60065
431799	Q6NRE5
185479	Q20178
39918	Q9VVE3
2543298	Q10281
2543296	O14289
2543297	Q9P6N1
2543294	O14220
39917	Q9VVE2
2543293	Q9P546
2543290	O14423
2543291	O14290
173822	Q18255
173826	Q19833
126393	O14558
126393	V9HWB6
227644	A2AIV6
227644	Q8BP86
837818	Q9ASZ8
213990	A0A0G2JDW1
213990	F8VQE9
213990	Q8BV81
284359	Q8IYV9
304978	G3V6T1
227648	A2AIX1
227648	E9QAT4
227648	Q3TRA8
227648	Q80U43
227648	Q8K000
850919	Q05946
57314	Q922L6
57317	Q542V3
69072	Q9D903
36497	Q08012
36496	A0A0B4K7Y4
36496	A0A0B4KFL2
36496	A1Z9D9
36496	A1Z9E0
36495	H0RNB3
36495	Q9V6Q2
850911	P32791
850910	Q05790
36499	A1Z9E2
36499	E1JH59
36499	H1UUG6
850912	Q05791
850915	Q05809
850914	P53691
850917	P47818
850916	Q05812
836498	Q8GUG6
836499	A0A178U9T2
836499	A0A1P8BAQ3
836499	Q8H115
3640182	Q5A943
237542	A0A0R4J150
237542	B9EJ86
836491	A0A178UBB1
836491	A0A1P8BC30
836491	A0A1P8BC39
836491	Q8W4S5
836497	Q9FFN7
37548	Q9W266
37549	A0A0B4LGB0
37549	Q24007
37549	Q8MLT4
33047	E1JJS1
33047	Q9VRA4
33046	Q8IQ31
37544	Q9W270
33044	Q8T921
33044	Q9VRA1
37542	O76924
18845	P70207
33040	E2DCD9
33040	P54192
41222	Q9VH45
84069	Q494U1
84068	Q0GE19
41226	Q9XZ19
41227	Q9VH39
41225	A0A0B4K6D5
41225	A0A0B4K6N6
41225	A0A0B4K703
41225	A0A126GUS4
41225	A0A126GUS6
41225	Q86BA1
84063	A0A0A0MQV3
84063	A0A0A0MRC1
84063	K7EJS8
84063	Q6UWL6
84062	A0A087WYP9
84062	A0A0S2Z5U8
84062	A6NFV8
84062	D6RJC6
84062	Q96EV8
84061	A0A087WU53
84061	Q9H0U3
41229	Q9VH37
84067	Q8N612
84066	Q5T0J7
84065	Q9H0R3
84064	Q9H0R4
84064	V9HW73
40179	Q9VW59
40178	Q9VW58
164153	Q8N7F7
40174	Q9VW54
40177	Q9VW57
40176	M9PD09
40176	Q9VW56
83596	A0A0X9JFN5
83596	I6LJZ5
83596	I6LJZ6
83596	I6LJZ7
83596	I6LJZ8
83596	I6LJZ9
83596	Q9HB09
40170	E1JI46
40170	M9PIA6
40170	O97159
40170	Q59E34
40173	Q9VW53
40172	Q8MRG6
40172	Q9VW52
219140	E0CYU0
219140	E9Q3I3
219140	Q5DU57
3232	P31249
3233	A0A087WSZ3
3233	P09016
3231	Q96CA4
3231	Q9GZZ0
3236	P28358
3237	P31277
3234	A0A0A0MSX5
3234	P13378
3235	P28356
3238	P35452
3239	P35453
182124	Q95QY7
41598	Q9VG06
41599	A0A0B4K6G6
41599	A0A0B4K6U2
41599	E1JIJ7
41599	Q8INH9
41599	Q9VG05
54577	Q5DSZ7
54577	Q9HAW7
41590	Q9VG14
41591	Q9VG13
41592	A8JQY9
41592	A8JQZ0
41593	Q9VG11
854424	Q08685
41595	A0A0B4KGZ1
41595	A0A0B4KHA3
41595	Q9VG09
41597	Q9VG07
811178	Q8I5S6
811179	Q8I5S5
71609	B2RRZ7
71609	Q3U0V2
178914	O16488
945007	P03023
178912	O16497
811177	Q8I5S7
18438	D3YYR5
18438	D3Z5U5
18438	Q9Z256
18438	Q9Z257
230257	G3UXA6
230257	G8JL74
230257	Q8BHD7
854427	Q08689
837369	A0A178WB84
837369	Q941A6
38749	Q9VRY5
38748	Q8MR14
38748	Q9VRY4
837360	Q8GXP1
837363	Q9SJE9
38746	B5X0J4
38746	P18459
38741	A4V1K1
38741	Q9VRX8
38740	Q9VRX7
38743	Q9VRY0
71602	E9Q634
71602	Q8C123
34566	Q9VKH5
842360	O22704
34891	M9PBB6
34891	Q9V3J9
34890	Q8IP48
34890	Q9V471
34893	Q9VJP9
34892	Q9Y118
30532	A0A0R4IA08
30532	O57416
34894	A0A0U1QT60
34894	Q2PDT6
34894	Q7K540
34894	Q8IP47
34894	Q9V435
34894	Q9VJP8
34897	Q9V3W0
34896	Q8IP45
34896	Q9V475
373863	Q8IYX4
89777	Q96P63
171531	A0A0R4J075
171531	Q91V27
171530	Q99ML8
327987	Q5SWW4
89778	A0A096LPD5
89778	A9UKE9
89778	B4DKT7
89778	F5GYW9
89778	Q96P15
681284	B4F777
18159	Q544K5
18159	Q61839
5509	O95685
5509	Q86X09
5506	Q16821
5507	Q9UQK1
5504	P41236
823508	A0A1I9LMD2
823508	A0A1I9LMD3
823508	A0A1I9LMD4
823508	F4J0I5
823508	Q9LXW7
5500	P62140
5500	V9HW04
5501	A0A024RBP2
5501	P36873
398149	A0A1L8FDB5
398149	Q9PTD7
398148	Q5MPF8
38292	Q8SXL5
38291	Q9W032
38290	Q9W033
38296	M9PDT9
38296	Q9W027
38295	Q9W028
38294	Q9W029
2539986	O60096
540	A0A024RDX3
540	B7ZLR3
540	B7ZLR4
540	E7ET55
540	P35670
546	A4LAA3
546	B4DLW1
546	P46100
547	Q12756
545	Q13535
819364	A0A178VMD4
819364	P93033
549	B4DYI6
549	Q13825
819360	A0A178W1F8
819360	A8MSC5
819360	F4IL52
819360	F4IL53
819360	O22263
855268	P14908
825902	B3LF48
812489	Q76NN6
812489	Q8WT07
76184	Q8K441
834618	A0A1P8BHA1
834618	C0LGU5
812480	Q8I1N6
812483	Q8I1N9
853877	Q02206
6569	A0A024R7R9
6569	Q06495
6569	Q7Z725
6569	Q86VN6
6568	Q14916
853876	Q02205
6565	Q16348
6564	B2CQT6
6564	P46059
6567	P36021
6566	A0A024R0H1
6566	B4DKS0
6566	P53985
611010	F1PAA3
814675	A0A178VVH6
814675	Q39221
814677	Q9ZVF6
814670	A0A178VZS2
814670	A0A1P8AY30
814670	Q8RWZ6
814671	A0A1P8B175
814671	Q8S9N6
814673	Q0WRN5
814673	Q84M93
2539882	O74319
2539883	Q9UUB8
2539881	O60126
