HCVpro ID	Molecule A	Molecule B Gene Symbols	Molecule B Gene ID	PMID	Experimental Evidence (PSI-MI Term ID)
hcv0254	NS3	CFP	5199	18985028	Two Hybrid Test (MI:0018)
hcv0255	NS3	CHPF	79586	18985028	Two Hybrid Test (MI:0018)
hcv0256	NS3	CORO1B	57175	18985028	Two Hybrid Test (MI:0018)
hcv0257	NS3	CSNK2B	1460	18985028	Two Hybrid Test (MI:0018)
hcv0258	NS3	CTGF	1490	18985028	Two Hybrid Test (MI:0018)
hcv0259	NS3	ALG13	79868	18985028	Two Hybrid Test (MI:0018)
hcv0260	NS3	DEAF1	10522	18985028	Two Hybrid Test (MI:0018)
hcv0261	NS3	DES	1674	18985028	Two Hybrid Test (MI:0018)
hcv0262	NS3	DLAT	1737	18985028	Two Hybrid Test (MI:0018)
hcv0263	NS3	DOCK7	85440	18985028	Two Hybrid Test (MI:0018)
hcv0264	NS3	DPF1	8193	18985028	Two Hybrid Test (MI:0018)
hcv0265	NS3	DPP7	29952	18985028	Two Hybrid Test (MI:0018)
hcv0266	NS3	EEF1A1	1915	18985028	Two Hybrid Test (MI:0018)
hcv0267	NS3	EFEMP1	2202	18985028	Two Hybrid Test (MI:0018)
hcv0268	NS3	EFEMP2	30008	18985028	Two Hybrid Test (MI:0018)
hcv0269	NS3	EIF1	10209	18985028	Two Hybrid Test (MI:0018)
hcv0270	NS3	EIF4ENIF1	56478	18985028	Two Hybrid Test (MI:0018); Co-affinity purification (MI:0025)
hcv0271	NS3	FAM120B	84498	18985028	Two Hybrid Test (MI:0018)
hcv0272	NS3	FAM65A	79567	18985028	Two Hybrid Test (MI:0018)
hcv0273	NS3	FBF1	85302	18985028	Two Hybrid Test (MI:0018)
hcv0274	NS3	FBLN1	2192	18985028	Two Hybrid Test (MI:0018)
hcv0275	NS3	FBLN2	2199	18985028	Two Hybrid Test (MI:0018)
hcv0276	NS3	FBLN5	10516	18985028	Two Hybrid Test (MI:0018)
hcv0277	NS3	FBN1	2200	18985028	Two Hybrid Test (MI:0018)
hcv0278	NS3	FBN3	84467	18985028	Two Hybrid Test (MI:0018)
hcv0279	NS3	FES	2242	18985028	Two Hybrid Test (MI:0018)
hcv0280	NS3	FIGNL1	63979	18985028	Two Hybrid Test (MI:0018)
hcv0281	NS3	FLAD1	80308	18985028	Two Hybrid Test (MI:0018)
hcv0282	NS3	C19orf66	55337	18985028	Two Hybrid Test (MI:0018)
hcv0283	NS3	FN1	2335	18985028	Two Hybrid Test (MI:0018)
hcv0284	NS3	FRMPD4	9758	18985028	Two Hybrid Test (MI:0018)
hcv0285	NS3	FRS3	10817	18985028	Two Hybrid Test (MI:0018); Co-affinity purification (MI:0025)
hcv0286	NS3	FTH1	2495	18985028	Two Hybrid Test (MI:0018)
hcv0287	NS3	FUCA2	2519	18985028	Two Hybrid Test (MI:0018)
hcv0288	NS3	GAA	2548	18985028	Two Hybrid Test (MI:0018)
hcv0289	NS3	GBP2	2634	18985028	Two Hybrid Test (MI:0018); Co-affinity purification (MI:0025)
hcv0290	NS3	GFAP	2670	18985028	Two Hybrid Test (MI:0018)
hcv0291	NS3	GNB2	2783	18985028	Two Hybrid Test (MI:0018)
hcv0292	NS3	GON4L	54856	18985028	Two Hybrid Test (MI:0018)
hcv0293	NS3	HIVEP2	3097	18985028	Two Hybrid Test (MI:0018)
hcv0294	NS3	HNRNPK	3190	18985028	Two Hybrid Test (MI:0018)
hcv0295	NS3	HOMER3	9454	18985028	Two Hybrid Test (MI:0018)
hcv0296	NS3	IQWD1	55827	18985028	Two Hybrid Test (MI:0018)
hcv0297	NS3	ITGB4	3691	18985028	Two Hybrid Test (MI:0018)
hcv0298	NS3	JAG2	3714	18985028	Two Hybrid Test (MI:0018)
hcv0299	NS3	JUN	3725	18985028	Two Hybrid Test (MI:0018)
hcv0300	NS3	KHDRBS1	10657	18985028	Two Hybrid Test (MI:0018)
hcv0301	NS3	KIAA1549	57670	18985028	Two Hybrid Test (MI:0018)
hcv0302	NS3	KIF17	57576	18985028	Two Hybrid Test (MI:0018)
hcv0303	NS3	KIF7	374654	18985028	Two Hybrid Test (MI:0018)
hcv0304	NS3	KPNA1	3836	18985028	Two Hybrid Test (MI:0018); Co-affinity purification (MI:0025)
hcv0305	NS3	L3MBTL3	84456	18985028	Two Hybrid Test (MI:0018)
hcv0306	NS3	LAMA5	3911	18985028	Two Hybrid Test (MI:0018)
hcv0307	NS3	LAMB2	3913	18985028	Two Hybrid Test (MI:0018)
hcv0308	NS3	LAMC3	10319	18985028	Two Hybrid Test (MI:0018)
hcv0309	NS3	LDB1	8861	18985028	Two Hybrid Test (MI:0018)
hcv0310	NS3	LRRC7	57554	18985028	Two Hybrid Test (MI:0018)
hcv0311	NS3	LRRCC1	85444	18985028	Two Hybrid Test (MI:0018)
hcv0312	NS3	LTBP4	8425	18985028	Two Hybrid Test (MI:0018)
hcv0313	NS3	LZTS2	84445	18985028	Two Hybrid Test (MI:0018)
hcv0314	NS3	MAGED1	9500	18985028	Two Hybrid Test (MI:0018)
hcv0315	NS3	MAPK7	5598	18985028	Two Hybrid Test (MI:0018)
hcv0316	NS3	MEGF8	1954	18985028	Two Hybrid Test (MI:0018)
hcv0317	NS3	MLLT4	4301	18985028	Two Hybrid Test (MI:0018)
hcv0318	NS3	MLXIP	22877	18985028	Two Hybrid Test (MI:0018)
hcv0319	NS3	MORC4	79710	18985028	Two Hybrid Test (MI:0018)
hcv0320	NS3	MORF4L1	10933	18985028	Two Hybrid Test (MI:0018)
hcv0321	NS3	MVP	9961	18985028	Two Hybrid Test (MI:0018)
hcv0322	NS3	NAP1L1	4673	18985028	Two Hybrid Test (MI:0018)
hcv0323	NS3	NAP1L2	4674	18985028	Two Hybrid Test (MI:0018)
hcv0324	NS3	NCAN	1463	18985028	Two Hybrid Test (MI:0018)
hcv0325	NS3	NDC80	10403	18985028	Two Hybrid Test (MI:0018)
hcv0326	NS3	NEFL	4747	18985028	Two Hybrid Test (MI:0018)
hcv0327	NS3	NEFM	4741	18985028	Two Hybrid Test (MI:0018)
hcv0328	NS3	NELL1	4745	18985028	Two Hybrid Test (MI:0018)
hcv0329	NS3	NELL2	4753	18985028	Two Hybrid Test (MI:0018)
hcv0330	NS3	NID1	4811	18985028	Two Hybrid Test (MI:0018)
hcv0331	NS3	NID2	22795	18985028	Two Hybrid Test (MI:0018)
hcv0332	NS3	NOTCH1	4851	18985028	Two Hybrid Test (MI:0018)
hcv0333	NS3	N-PAC	84656	18985028	Two Hybrid Test (MI:0018)
hcv0334	NS3	NUP62	23636	18985028	Two Hybrid Test (MI:0018)
hcv0335	NS3	OBSCN	84033	18985028	Two Hybrid Test (MI:0018)
hcv0336	NS3	PARP4	143	18985028	Two Hybrid Test (MI:0018)
hcv0337	NS3	PCYT2	5833	18985028	Two Hybrid Test (MI:0018)
hcv0338	NS3	PDE4DIP	9659	18985028	Two Hybrid Test (MI:0018)
hcv0339	NS3	PDLIM5	10611	18985028	Two Hybrid Test (MI:0018)
hcv0340	NS3	PICK1	9463	18985028	Two Hybrid Test (MI:0018)
hcv0341	NS3	PKNOX1	5316	18985028	Two Hybrid Test (MI:0018)
hcv0342	NS3	PLEKHG4	25894	18985028	Two Hybrid Test (MI:0018)
hcv0343	NS3	PNPLA8	50640	18985028	Two Hybrid Test (MI:0018)
hcv0344	NS3	PRRC1	133619	18985028	Two Hybrid Test (MI:0018)
hcv0345	NS3	PSMB9	5698	18985028	Two Hybrid Test (MI:0018); Co-affinity purification (MI:0025)
hcv0346	NS3	PSME3	10197	18985028	Two Hybrid Test (MI:0018)
hcv0347	NS3	PTPRN2	5799	18985028	Two Hybrid Test (MI:0018)
hcv0348	NS3	RABEP1	9135	18985028	Two Hybrid Test (MI:0018)
hcv0349	NS3	RAI14	26064	18985028	Two Hybrid Test (MI:0018)
hcv0350	NS3	RASAL2	9462	18985028	Two Hybrid Test (MI:0018); Co-affinity purification (MI:0025)
hcv0351	NS3	RBM4	5936	18985028	Two Hybrid Test (MI:0018)
hcv0352	NS3	RCN3	57333	18985028	Two Hybrid Test (MI:0018)
hcv0353	NS3	RGNEF	64283	18985028	Two Hybrid Test (MI:0018)
hcv0354	NS3	RICS	9743	18985028	Two Hybrid Test (MI:0018)
hcv0355	NS3	RINT1	60561	18985028	Two Hybrid Test (MI:0018)
hcv0356	NS3	RNF31	55072	18985028	Two Hybrid Test (MI:0018)
hcv0357	NS3	ROGDI	79641	18985028	Two Hybrid Test (MI:0018)
hcv0358	NS3	KIAA2022	340533	18985028	Two Hybrid Test (MI:0018)
hcv0359	NS3	RUSC2	9853	18985028	Two Hybrid Test (MI:0018)
hcv0360	NS3	SBF1	6305	18985028	Two Hybrid Test (MI:0018)
hcv0361	NS3	SDCCAG8	10806	18985028	Two Hybrid Test (MI:0018)
hcv0362	NS3	SECISBP2	79048	18985028	Two Hybrid Test (MI:0018)
hcv0363	NS3	SEPT10	151011	18985028	Two Hybrid Test (MI:0018)
hcv0364	NS3	SERTAD1	29950	18985028	Two Hybrid Test (MI:0018)
hcv0365	NS3	SESTD1	91404	18985028	Two Hybrid Test (MI:0018)
hcv0366	NS3	SF3B2	10992	18985028	Two Hybrid Test (MI:0018)
hcv0367	NS3	SIAH1	6477	18985028	Two Hybrid Test (MI:0018)
hcv0368	NS3	SLIT1	6585	18985028	Two Hybrid Test (MI:0018)
hcv0369	NS3	SLIT2	9353	18985028	Two Hybrid Test (MI:0018)
hcv0370	NS3	SLIT3	6586	18985028	Two Hybrid Test (MI:0018)
hcv0371	NS3	SMURF2	64750	18985028	Two Hybrid Test (MI:0018); Co-affinity purification (MI:0025)
hcv0372	NS3	SNX4	8723	18985028	Two Hybrid Test (MI:0018)
hcv0373	NS3	SPOCK3	50859	18985028	Two Hybrid Test (MI:0018)
hcv0374	NS3	SPON1	10418	18985028	Two Hybrid Test (MI:0018)
hcv0375	NS3	SRPX2	27286	18985028	Two Hybrid Test (MI:0018)
hcv0376	NS3	SSX2IP	117178	18985028	Two Hybrid Test (MI:0018)
hcv0377	NS3	STAB1	23166	18985028	Two Hybrid Test (MI:0018)
hcv0378	NS3	STAT3	6774	18985028	Two Hybrid Test (MI:0018)
hcv0379	NS3	SVEP1	79987	18985028	Two Hybrid Test (MI:0018)
hcv0380	NS3	SYNE1	23345	18985028	Two Hybrid Test (MI:0018)
hcv0381	NS3	SYNPO2	171024	18985028	Two Hybrid Test (MI:0018)
hcv0382	NS3	TAF1	6872	18985028	Two Hybrid Test (MI:0018)
hcv0383	NS3	TBC1D2B	23102	18985028	Two Hybrid Test (MI:0018)
hcv0384	NS3	TBXAS1	6916	18985028	Two Hybrid Test (MI:0018)
hcv0385	NS3	TGFB1I1	7041	18985028	Two Hybrid Test (MI:0018)
hcv0386	NS3	THAP1	55145	18985028	Two Hybrid Test (MI:0018)
hcv0387	NS3	TMEM63B	55362	18985028	Two Hybrid Test (MI:0018)
hcv0388	NS3	TRIM23	373	18985028	Two Hybrid Test (MI:0018)
hcv0389	NS3	TRIM27	5987	18985028	Two Hybrid Test (MI:0018)
hcv0390	NS3	TRIO	7204	18985028	Two Hybrid Test (MI:0018)
hcv0391	NS3	TRIP11	9321	18985028	Two Hybrid Test (MI:0018)
hcv0392	NS3	TXNDC11	51061	18985028	Two Hybrid Test (MI:0018)
hcv0393	NS3	UBA3	9039	18985028	Two Hybrid Test (MI:0018)
hcv0394	NS3	USHBP1	83878	18985028	Two Hybrid Test (MI:0018)
hcv0395	NS3	UXT	8409	18985028	Two Hybrid Test (MI:0018)
hcv0396	NS3	VCAN	1462	18985028	Two Hybrid Test (MI:0018)
hcv0397	NS3	VIM	7431	18985028	Two Hybrid Test (MI:0018)
hcv0398	NS3	VWF	7450	18985028	Two Hybrid Test (MI:0018)
hcv0399	NS3	XAB2	56949	18985028	Two Hybrid Test (MI:0018)
hcv0400	NS3	XRN2	22803	18985028	Two Hybrid Test (MI:0018)
hcv0401	NS3	YY1AP1	55249	18985028	Two Hybrid Test (MI:0018)
hcv0402	NS3	ZBTB1	22890	18985028	Two Hybrid Test (MI:0018)
hcv0403	NS3	ZCCHC7	84186	18985028	Two Hybrid Test (MI:0018)
hcv0404	NS3	ZHX3	23051	18985028	Two Hybrid Test (MI:0018)
hcv0405	NS3	ZMYM2	7750	18985028	Two Hybrid Test (MI:0018)
hcv0406	NS3	ZNF281	23528	18985028	Two Hybrid Test (MI:0018)
hcv0407	NS3	ZNF410	57862	18985028	Two Hybrid Test (MI:0018)
hcv0408	NS3	ZZZ3	26009	18985028	Two Hybrid Test (MI:0018)
hcv0409	NS3	NS5B	951475	10721731	Two Hybrid Test (MI:0018)
hcv0410	NS3	NS3	951475	11119590	Coimmunoprecipitation (MI:0019); Two Hybrid Test (MI:0018)
hcv0411	NS3	NS5B	951475	12235135	Far-Western blot (MI:0047)
hcv0412	NS3	NS4B	951475	12235135	Far-Western blot (MI:0047)
hcv0413	NS3	NS5B	951475	12692242	Coimmunoprecipitation (MI:0019); Two Hybrid Test (MI:0018)
hcv0414	NS3	CASP8	841	15476874	Coimmunoprecipitation (MI:0019)
hcv0415	NS3	NS3	951475	16166788	Two Hybrid Test (MI:0018)
hcv0416	NS3	NS4A	951475	16324764	Immunofluorescence (MI:0022); Coimmunoprecipitation (MI:0019)
hcv0417	NS3	RSPH3	83861	18985028	Two Hybrid Test (MI:0018)
hcv0418	NS4A	NS3	951475	8861917	Three dimensional structure (MI:0105)
hcv0419	NS4A	NS3	951475	9568891	Three dimensional structure (MI:0105)
hcv0420	NS4A	NS3	951475	10702283	Three dimensional structure (MI:0105)
hcv0421	NS4A	NS3	951475	12465917	Three dimensional structure (MI:0105)
hcv0422	NS4A	NS4A	951475	12692242	Affinity Chromatography (MI:0004); Coimmunoprecipitation (MI:0019); Two Hybrid Test (MI:0018); Confocal microscopy (MI:0663); GST pull-down (MI:0059)
hcv0423	NS4A	NS4B	951475	12692242	Affinity Chromatography (MI:0004); Coimmunoprecipitation (MI:0019); Two Hybrid Test (MI:0018); Confocal microscopy (MI:0663); Immunostaining (MI:0022); Affinity Chromatography (MI:0004)
hcv0424	NS4A	NS5B	951475	12692242	Affinity Chromatography (MI:0004); Coimmunoprecipitation (MI:0019); Two Hybrid Test (MI:0018); Confocal microscopy (MI:0663); Immunostaining (MI:0022)
hcv0425	NS4A	CREB3	10488	18985028	Two Hybrid Test (MI:0018)
hcv0426	NS4A	ELAC2	60528	18985028	Two Hybrid Test (MI:0018)
hcv0427	NS4A	HOXD8	3234	18985028	Two Hybrid Test (MI:0018)
hcv0428	NS4A	NR4A1	3164	18985028	Two Hybrid Test (MI:0018)
hcv0429	NS4A	TRAF3IP3	80342	18985028	Two Hybrid Test (MI:0018)
hcv0430	NS4A	UBQLN1	29979	18985028	Two Hybrid Test (MI:0018)
hcv0431	NS4A	NS5A	951475	12692242	Coimmunoprecipitation (MI:0019); Two Hybrid Test (MI:0018); Affinity Chromatography (MI:0004); Immunostaining (MI:0022)
hcv0432	NS4A	MT2A	4502	16248944	Two Hybrid Test (MI:0018)
hcv0433	NS4A	TUT1	64852	16248944	Two Hybrid Test (MI:0018)
hcv0434	NS4A	MT-CO2	4513	16248944	Two Hybrid Test (MI:0018)
hcv0435	NS4A	EEF1A1	1915	16927014	GST pull-down (MI:0059)
hcv0436	NS4A	CAMLG	819	17429534	Two Hybrid Test (MI:0018)
hcv0437	NS4A	NS5A	951475	9261364	Coimmunoprecipitation (MI:0019)
hcv0438	NS4B	NS4A	951475	9261364	Coimmunoprecipitation (MI:0019)
hcv0439	NS4B	ATF6B	1388	12445808	Two Hybrid Test (MI:0018); Coimmunoprecipitation (MI:0019); Confocal microscopy (MI:0663)
hcv0440	NS4B	ATF6A	22926	12445808	Two Hybrid Test (MI:0018); Coimmunoprecipitation (MI:0019); Confocal microscopy (MI:0663)
hcv0441	NS4B	NS5B	951475	12692242	GST pull-down (MI:0059); Coimmunoprecipitation (MI:0019); Two Hybrid Test (MI:0018); Confocal microscopy (MI:0663); Immunostaining (MI:0022); Affinity Chromatography (MI:0004)
hcv0442	NS4B	NS4B	951475	12692242	GST pull-down (MI:0059); Coimmunoprecipitation (MI:0019); Two Hybrid Test (MI:0018); Confocal microscopy (MI:0663); Affinity Chromatography (MI:0004)
hcv0443	NS4B	NS5B	951475	12235135	Far-Western blot (MI:0047)
hcv0444	NS4B	TNXB	7148	12445808	Two Hybrid Test (MI:0018); Coimmunoprecipitation (MI:0019); Confocal microscopy (MI:0663)
hcv0445	NS4B	NS5A	951475	12692242	Coimmunoprecipitation (MI:0019)
hcv0446	NS4B	NS5A	951475	15016871	Coimmunoprecipitation (MI:0019); Affinity Chromatography (MI:0004)
hcv0447	NS4B	RTN3	10313	16261208	Two Hybrid Test (MI:0018)
hcv0448	NS4B	RBP4	5950	16261208	Two Hybrid Test (MI:0018)
hcv0449	NS4B	NDUFV3	4731	16261208	Two Hybrid Test (MI:0018)
hcv0450	NS4B	FGG	2266	16261208	Two Hybrid Test (MI:0018)
hcv0451	NS4B	MT-CO3	4514	16261208	Two Hybrid Test (MI:0018)
hcv0452	NS4B	RAB5A	5868	17301141	Coimmunoprecipitation (MI:0019)
hcv0453	NS5A	EIF2AK2	5610	9143277	Two Hybrid Test (MI:0018)
hcv0454	NS5A	CSNK2A1	1457	10208859	GST pull-down (MI:0059); Affinity Chromatography (MI:0004); Kinase assay (MI:0424) (MI:0424); Mutational analysis (MI:0074)
hcv0455	NS5A	GRB2	2885	10318918	Immunoblotting (MI:0113); Affinity Chromatography (MI:0004); Two Hybrid Test (MI:0018); Coimmunoprecipitation (MI:0019)
hcv0456	NS5A	VAPA	9218	10544080	Coimmunoprecipitation (MI:0019); Immunofluorescence (MI:0022); Immunostaining (MI:0022); Affinity Chromatography (MI:0004)
hcv0457	NS5A	SRCAP	10847	10702287	Two Hybrid Test (MI:0018); Coimmunoprecipitation (MI:0019); Affinity Chromatography (MI:0004); Immunostaining (MI:0022); Pull-down (MI:0096)
hcv0458	NS5A	IPO5	3843	10799599	Two Hybrid Test (MI:0018); Coimmunoprecipitation (MI:0019);  Affinity Chromatography (MI:0004)
hcv0459	NS5A	TP53	7157	11152513	Pull-down (MI:0096); Coimmunoprecipitation (MI:0019); Two Hybrid Test (MI:0018); Confocal microscopy (MI:0663); Colocalization (MI:0403); Affinity Chromatography (MI:0004); Immunostaining (MI:0022)
hcv0460	NS5A	CDC2	983	11278402	Western blot (MI:0113); Coimmunoprecipitation (MI:0019)
hcv0461	NS5A	CDK2	1017	11278402	Western blot (MI:0113); Coimmunoprecipitation (MI:0019)
hcv0462	NS5A	APOA1	335	11878923	Immunofluorescence (MI:0022); Confocal microscopy (MI:0663); Coimmunoprecipitation (MI:0019); Affinity Chromatography (MI:0004); Immunostaining (MI:0022)
hcv0463	NS5A	TP53	7157	12101418	Coimmunoprecipitation (MI:0019); Confocal microscopy (MI:0663); Affinity Chromatography (MI:0004)
hcv0464	NS5A	TAF9	6880	12101418	Coimmunoprecipitation (MI:0019); Immunofluorescence (MI:0022)
hcv0465	NS5A	PIK3R1	5295	12186904	Coimmunoprecipitation (MI:0019); GST pull-down (MI:0059)
hcv0466	NS5A	TP53	7157	12379483	Coimmunoprecipitation (MI:0019); Pull-down (MI:0096); Affinity Chromatography (MI:0004)
hcv0467	NS5A	TBP	6908	12379483	Coimmunoprecipitation (MI:0019); Pull-down (MI:0096); Affinity Chromatography (MI:0004)
hcv0468	NS5A	BIN1	274	12604805	Mass spectrometry (MI:0943); Mutational analysis (MI:0074); Coimmunoprecipitation (MI:0019); Colocalization (MI:0403); Affinity Chromatography (MI:0004); Immunostaining (MI:0022)
hcv0469	NS5A	PITX1	5307	12620797	Two Hybrid Test (MI:0018); Coimmunoprecipitation (MI:0019)
hcv0470	NS5A	NS5B	951475	12692242	GST pull-down (MI:0059); Coimmunoprecipitation (MI:0019); Two Hybrid Test (MI:0018); Confocal microscopy (MI:0663); Immunostaining (MI:0022); Affinity Chromatography (MI:0004)
hcv0471	NS5A	NS5A	951475	12692242	GST pull-down (MI:0059); Coimmunoprecipitation (MI:0019); Two Hybrid Test (MI:0018); Confocal microscopy (MI:0663); Affinity Chromatography (MI:0004)
hcv0472	NS5A	BAX	581	12925958	Immunofluorescence (MI:0022); Coimmunoprecipitation (MI:0019)
hcv0473	NS5A	SSB	6741	12963047	Coimmunoprecipitation (MI:0019); Affinity Chromatography (MI:0004)
hcv0474	NS5A	HCK	3055	14993658	Coimmunoprecipitation (MI:0019); Affinity Chromatography (MI:0004)
hcv0475	NS5A	LCK	3932	14993658	Coimmunoprecipitation (MI:0019); Affinity Chromatography (MI:0004)
hcv0476	NS5A	LYN	4067	14993658	Coimmunoprecipitation (MI:0019); Affinity Chromatography (MI:0004)
hcv0477	NS5A	FYN	2534	14993658	Coimmunoprecipitation (MI:0019); Affinity Chromatography (MI:0004)
hcv0478	NS5A	VAPA	9218	15016871	Coimmunoprecipitation (MI:0019); GST pull-down (MI:0059); autoradiography (MI:0833); Affinity Chromatography (MI:0004)
hcv0479	NS5A	OAS1	4938	15039538	GST pull-down (MI:0059); Immunoblotting (MI:0113); Coimmunoprecipitation (MI:0019); Immunofluorescence (MI:0022)
hcv0480	NS5A	JAK1	3716	15063116	Coimmunoprecipitation (MI:0019)
hcv0481	NS5A	APOE	348	15326295	Two Hybrid Test (MI:0018)
hcv0482	NS5A	VAPA	9218	15326295	Western blot (MI:0113); Two Hybrid Test (MI:0018)
hcv0483	NS5A	NS5A	951475	15326295	Two Hybrid Test (MI:0018)
hcv0484	NS5A	AHNAK	79026	15607035	Two Hybrid Test (MI:0018); GST pull-down (MI:0059)
hcv0485	NS5A	SFRP4	6424	15607035	Two Hybrid Test (MI:0018)
hcv0486	NS5A	CRABP1	1381	15607035	Two Hybrid Test (MI:0018); GST pull-down (MI:0059)
hcv0487	NS5A	FTH1	2495	15607035	Two Hybrid Test (MI:0018)
hcv0488	NS5A	CCDC86	79080	15607035	Two Hybrid Test (MI:0018); GST pull-down (MI:0059)
hcv0489	NS5A	TACSTD2	4070	15607035	Two Hybrid Test (MI:0018)
hcv0490	NS5A	PI4KA	5297	15607035	Two Hybrid Test (MI:0018); GST pull-down (MI:0059)
hcv0491	NS5A	PTMA	5757	15607035	Two Hybrid Test (MI:0018)
hcv0492	NS5A	ARAP1	116985	15607035	Two Hybrid Test (MI:0018); GST pull-down (MI:0059)
hcv0493	NS5A	NDRG1	10397	15607035	Two Hybrid Test (MI:0018)
hcv0494	NS5A	MGP	4256	15607035	Two Hybrid Test (MI:0018)
hcv0495	NS5A	CEP57	9702	15607035	Two Hybrid Test (MI:0018)
hcv0496	NS5A	C9orf6	54942	15607035	Two Hybrid Test (MI:0018)
hcv0497	NS5A	FBXL2	25827	15893726	[(3)H]mevalonate labeling (MI:2131); Coimmunoprecipitation (MI:0019)
hcv0498	NS5A	NS5A	951475	15902263	Three dimensional structure (MI:0105)
hcv0499	NS5A	CSK	1445	16139795	Affinity Chromatography (MI:0004); Mass spectrometry (MI:0943); GST pull-down (MI:0059)
hcv0500	NS5A	SRC	6714	16139795	Affinity Chromatography (MI:0004); Mass spectrometry (MI:0943); GST pull-down (MI:0059)
hcv0501	NS5A	APOB	338	16203724	Coimmunoprecipitation (MI:0019)
hcv0502	NS5A	VAPB	9217	16227268	Coimmunoprecipitation (MI:0019); Mutational analysis (MI:0074)
hcv0503	NS5A	RAF1	5894	16405965	Affinity Chromatography (MI:0004); Coimmunoprecipitation (MI:0019); Immunofluorescence (MI:0022); Western blot (MI:0113)
hcv0504	NS5A	TGFBR1	7046	16407286	GST pull-down (MI:0059); Coimmunoprecipitation (MI:0019)
hcv0505	NS5A	PPP2R4	5524	16460864	GST pull-down (MI:0059); His pull-down (MI:0061); Immunofluorescence (MI:0022); Coimmunoprecipitation (MI:0019); Immunoblotting (MI:0113)
hcv0506	NS5A	BIN1	274	16530520	Two Hybrid Test (MI:0018); Coimmunoprecipitation (MI:0019); Confocal microscopy (MI:0663); Mutational analysis (MI:0074)
hcv0507	NS5A	TRAF2	7186	16581780	Coimmunoprecipitation (MI:0019)
hcv0508	NS5A	FKBP8	23770	16844119	Two Hybrid Test (MI:0018)
hcv0509	NS5A	FKBP8	23770	17024179	Coimmunoprecipitation (MI:0019)
hcv0510	NS5A	HSP90AA1	3320	17024179	Coimmunoprecipitation (MI:0019)
hcv0511	NS5A	PTPLAD1	51495	18160438	Two Hybrid Test (MI:0018)
hcv0512	NS5A	ACLY	47	18985028	Two Hybrid Test (MI:0018)
hcv0513	NS5A	ARFIP1	27236	18985028	Two Hybrid Test (MI:0018)
hcv0514	NS5A	AXIN1	8312	18985028	Two Hybrid Test (MI:0018)
hcv0515	NS5A	BEND7	222389	18985028	Two Hybrid Test (MI:0018)
hcv0516	NS5A	CADPS	8618	18985028	Two Hybrid Test (MI:0018)
hcv0517	NS5A	CADPS2	93664	18985028	Two Hybrid Test (MI:0018)
hcv0518	NS5A	CEP120	153241	18985028	Two Hybrid Test (MI:0018)
hcv0519	NS5A	CENPC1	1060	18985028	Two Hybrid Test (MI:0018)
hcv0520	NS5A	CEP250	11190	18985028	Two Hybrid Test (MI:0018)
hcv0521	NS5A	CEP63	80254	18985028	Two Hybrid Test (MI:0018)
hcv0522	NS5A	DNAJA3	9093	18985028	Two Hybrid Test (MI:0018)
hcv0523	NS5A	EFEMP1	2202	18985028	Two Hybrid Test (MI:0018); Co-affinity purification (MI:0025)
hcv0524	NS5A	FHL2	2274	18985028	Two Hybrid Test (MI:0018)
hcv0525	NS5A	GOLGA2	2801	18985028	Two Hybrid Test (MI:0018); Co-affinity purification (MI:0025)
hcv0526	NS5A	GPS2	2874	18985028	Two Hybrid Test (MI:0018); Co-affinity purification (MI:0025)
hcv0527	NS5A	IGLL1	3543	18985028	Two Hybrid Test (MI:0018)
hcv0528	NS5A	ITGAL	3683	18985028	Two Hybrid Test (MI:0018); Co-affinity purification (MI:0025)
hcv0529	NS5A	LIMS2	55679	18985028	Two Hybrid Test (MI:0018)
hcv0530	NS5A	MOBK1B	55233	18985028	Two Hybrid Test (MI:0018); Co-affinity purification (MI:0025)
hcv0531	NS5A	NAP1L1	4673	18985028	Two Hybrid Test (MI:0018)
hcv0532	NS5A	NAP1L2	4674	18985028	Two Hybrid Test (MI:0018); Co-affinity purification (MI:0025)
hcv0533	NS5A	NFE2	4778	18985028	Two Hybrid Test (MI:0018)
hcv0534	NS5A	NUCB1	4924	18985028	Two Hybrid Test (MI:0018)
hcv0535	NS5A	PARVG	64098	18985028	Two Hybrid Test (MI:0018)
hcv0536	NS5A	PMVK	10654	18985028	Two Hybrid Test (MI:0018)
hcv0537	NS5A	PPP1R13L	10848	18985028	Two Hybrid Test (MI:0018); Co-affinity purification (MI:0025)
hcv0538	NS5A	PSMB9	5698	18985028	Two Hybrid Test (MI:0018); Co-affinity purification (MI:0025)
hcv0539	NS5A	RPL18A	6142	18985028	Two Hybrid Test (MI:0018)
hcv0540	NS5A	RRBP1	6238	18985028	Two Hybrid Test (MI:0018)
hcv0541	NS5A	SHARPIN	81858	18985028	Two Hybrid Test (MI:0018)
hcv0542	NS5A	SMYD3	64754	18985028	Two Hybrid Test (MI:0018)
hcv0543	NS5A	SORBS2	8470	18985028	Two Hybrid Test (MI:0018); Co-affinity purification (MI:0025)
hcv0544	NS5A	SORBS3	10174	18985028	Two Hybrid Test (MI:0018)
hcv0545	NS5A	THBS1	7057	18985028	Two Hybrid Test (MI:0018)
hcv0546	NS5A	TMF1	7110	18985028	Two Hybrid Test (MI:0018)
hcv0547	NS5A	TP53BP2	7159	18985028	Two Hybrid Test (MI:0018)
hcv0548	NS5A	TRIOBP	11078	18985028	Two Hybrid Test (MI:0018)
