Entry,Entry name,,Protein families,Cross-reference (Pfam),Cross-reference (PIRSF),Organism,Organism ID
P21524,RIR1_YEAST,reviewed,Ribonucleoside diphosphate reductase large chain family,PF03477;PF02867;PF00317;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40348,RFC2_YEAST,reviewed,Activator 1 small subunits family,PF00004;PF08542;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38629,RFC3_YEAST,reviewed,Activator 1 small subunits family,PF00004;PF08542;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40043,RGI1_YEAST,reviewed,RGI1 family,PF10843;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P21672,RIR3_YEAST,reviewed,Ribonucleoside diphosphate reductase large chain family,PF03477;PF02867;PF00317;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P23796,RIT1_YEAST,reviewed,,PF04179;PF17184;,PIRSF007747;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q07844,RIX7_YEAST,reviewed,AAA ATPase family,PF00004;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32864,RAEP_YEAST,reviewed,Rab GDI family,PF00996;,PIRSF037514;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12270,RBD2_YEAST,reviewed,Peptidase S54 family,PF01694;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
A0A0B7P221,RDT1_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P25560,RER1_YEAST,reviewed,RER1 family,PF03248;,PIRSF016013;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32862,RGT1_YEAST,reviewed,EDS1/RGT1 family,PF00172;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53879,RHO5_YEAST,reviewed,"Small GTPase superfamily, Rho family",PF00071;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P30775,RF1M_YEAST,reviewed,Prokaryotic/mitochondrial release factor family,PF03462;PF00472;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q00245,RHO3_YEAST,reviewed,"Small GTPase superfamily, Rho family",PF00071;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38615,RIM11_YEAST,reviewed,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, GSK-3 subfamily",PF00069;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q00816,REG1_YEAST,reviewed,,PF08550;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P26754,RFA2_YEAST,reviewed,Replication factor A protein 2 family,PF08784;PF01336;,PIRSF036949;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P33312,RIB7_YEAST,reviewed,HTP reductase family,PF01872;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q03942,RKM2_YEAST,reviewed,"Class V-like SAM-binding methyltransferase superfamily, RKM2 family",PF00856;,PIRSF027158;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q05672,RBS1_YEAST,reviewed,,PF01424;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q04779,RCO1_YEAST,reviewed,,PF00628;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P39531,RCY1_YEAST,reviewed,,PF07393;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P12689,REV1_YEAST,reviewed,DNA polymerase type-Y family,PF16589;PF00817;PF11799;,PIRSF036573;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38630,RFC1_YEAST,reviewed,Activator 1 large subunit family,PF00004;PF00533;PF08519;,PIRSF036578;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q06108,RGC1_YEAST,reviewed,RGC1 family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P43556,RGD2_YEAST,reviewed,,PF00610;PF00611;PF00620;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q06624,RHC31_YEAST,reviewed,,PF00899;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P25378,RHEB_YEAST,reviewed,"Small GTPase superfamily, Rheb family",PF00071;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P42073,REF2_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q06709,REH1_YEAST,reviewed,REI1 family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P35196,RER2_YEAST,reviewed,UPP synthase family,PF01255;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12090,REXO3_YEAST,reviewed,REXO1/REXO3 family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38251,RFC5_YEAST,reviewed,Activator 1 small subunits family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q06407,RGA2_YEAST,reviewed,,PF00412;PF00620;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38339,RGD1_YEAST,reviewed,,PF00620;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q00246,RHO4_YEAST,reviewed,"Small GTPase superfamily, Rho family",PF00071;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q03778,RIFK_YEAST,reviewed,Flavokinase family,PF01687;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38622,RCK1_YEAST,reviewed,"Protein kinase superfamily, Ser/Thr protein kinase family",PF00069;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q03446,RCR2_YEAST,reviewed,,PF12273;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12188,REC8_YEAST,reviewed,Rad21 family,PF04825;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12192,RFM1_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P39083,RGA1_YEAST,reviewed,,PF00412;PF00620;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P0CX41,RL23A_YEAST,reviewed,Universal ribosomal protein uL14 family,PF00238;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P04449,RL24A_YEAST,reviewed,Eukaryotic ribosomal protein eL24 family,PF01246;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P0CX87,RL41B_YEAST,reviewed,Eukaryotic ribosomal protein eL41 family,PF05162;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P05738,RL9A_YEAST,reviewed,Universal ribosomal protein uL6 family,PF00347;,PIRSF002162;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12495,RLF2_YEAST,reviewed,RLF2 family,PF12253;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12224,RLM1_YEAST,reviewed,MEF2 family,PF00319;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P05744,RL33A_YEAST,reviewed,Eukaryotic ribosomal protein eL33 family,PF01247;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P0CX26,RL43B_YEAST,reviewed,Eukaryotic ribosomal protein eL43 family,PF01780;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P05739,RL6B_YEAST,reviewed,Eukaryotic ribosomal protein eL6 family,PF01159;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P05318,RLA1_YEAST,reviewed,Eukaryotic ribosomal protein P1/P2 family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38064,RM16_YEAST,reviewed,Universal ribosomal protein uL16 family,PF00252;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P36528,RM17_YEAST,reviewed,Mitochondrion-specific ribosomal protein mL46 family,PF11788;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P51402,RL37B_YEAST,reviewed,Eukaryotic ribosomal protein eL37 family,PF01907;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P51998,RL4P_YEAST,reviewed,Universal ribosomal protein uL4 family,PF00573;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12213,RL7B_YEAST,reviewed,Universal ribosomal protein uL30 family,PF00327;PF08079;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P05319,RLA2_YEAST,reviewed,Eukaryotic ribosomal protein P1/P2 family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q07915,RLP24_YEAST,reviewed,Eukaryotic ribosomal protein eL24 family,PF01246;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P12687,RM02_YEAST,reviewed,Bacterial ribosomal protein bL27 family,PF01016;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q02204,RM13_YEAST,reviewed,Mitochondrion-specific ribosomal protein mL50 family,PF10501;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P39975,RMD6_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53140,RMD9_YEAST,reviewed,RMD9 family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32338,RME1_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q04599,RM01_YEAST,reviewed,Universal ribosomal protein uL1 family,PF00687;,PIRSF002155;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P36516,RM03_YEAST,reviewed,"Ribonuclease III family, Mitochondrion-specific ribosomal protein mL44 subfamily",PF00035;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12508,RMD5_YEAST,reviewed,,PF10607;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P36159,RNZ_YEAST,reviewed,RNase Z family,PF13691;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53046,ROM1_YEAST,reviewed,,PF00780;PF00610;PF00621;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P10964,RPA1_YEAST,reviewed,RNA polymerase beta' chain family,PF04997;PF00623;PF04983;PF05000;PF04998;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P47006,RPA34_YEAST,reviewed,Eukaryotic RPA34 RNA polymerase subunit family,PF08208;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P46669,RPA43_YEAST,reviewed,Eukaryotic RPA43 RNA polymerase subunit family,PF03876;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P20436,RPAB3_YEAST,reviewed,Eukaryotic RPB8 RNA polymerase subunit family,PF03870;,PIRSF000779;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P22139,RPAB5_YEAST,reviewed,Archaeal RpoN/eukaryotic RPB10 RNA polymerase subunit family,PF01194;,PIRSF005653;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P22353,RM08_YEAST,reviewed,Bacterial ribosomal protein bL17 family,PF01196;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53724,RM50_YEAST,reviewed,Bacterial ribosomal protein bL9 family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P43620,RMD8_YEAST,reviewed,RMD1/sif2 family,PF02582;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q02685,RMI1_YEAST,reviewed,RMI1 family,PF08585;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12530,RMP1_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40993,RMRP_YEAST,reviewed,,PF04032;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P43602,ROG3_YEAST,reviewed,Arrestin family,PF02752;PF00339;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P51862,ROM2_YEAST,reviewed,,PF00780;PF00610;PF00621;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P27999,RPB9_YEAST,reviewed,Archaeal RpoM/eukaryotic RPA12/RPB9/RPC11 RNA polymerase family,PF02150;PF01096;,PIRSF005586;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32910,RPC6_YEAST,reviewed,Eukaryotic RPC34/RPC39 RNA polymerase subunit family,PF05158;,PIRSF028763;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P35718,RPC8_YEAST,reviewed,Eukaryotic RPB7/RPC8 RNA polymerase subunit family,PF08292;PF03876;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38805,RPF1_YEAST,reviewed,,PF04427;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P29453,RL8B_YEAST,reviewed,Eukaryotic ribosomal protein eL8 family,PF01248;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P22354,RM20_YEAST,reviewed,Mitochondrion-specific ribosomal protein mL58 family,PF12824;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P23369,RM25_YEAST,reviewed,Mitochondrion-specific ribosomal protein mL59 family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32388,RM49_YEAST,reviewed,Mitochondrion-specific ribosomal protein mL61 family,PF05047;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q06090,RM51_YEAST,reviewed,Mitochondrion-specific ribosomal protein mL43 family,PF05047;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P02381,RMAR_YEAST,reviewed,Universal ribosomal protein uS3 family,PF05316;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q03441,RMD1_YEAST,reviewed,RMD1/sif2 family,PF02582;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P25299,RNA15_YEAST,reviewed,,PF14304;PF00076;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P0CX27,RL44A_YEAST,reviewed,Eukaryotic ribosomal protein eL42 family,PF00935;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P17076,RL8A_YEAST,reviewed,Eukaryotic ribosomal protein eL8 family,PF01248;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40693,RLP7_YEAST,reviewed,Universal ribosomal protein uL30 family,PF00327;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P31334,RM09_YEAST,reviewed,Universal ribosomal protein uL3 family,PF00297;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P36521,RM11_YEAST,reviewed,Universal ribosomal protein uL10 family,PF00466;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38330,RMD9L_YEAST,reviewed,RMD9 family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53060,RMR1_YEAST,reviewed,RMR1 family,PF10336;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q04740,RNH1_YEAST,reviewed,RNase H family,PF01693;PF00075;,PIRSF036852;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P49167,RL38_YEAST,reviewed,Eukaryotic ribosomal protein eL38 family,PF01781;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P0CX28,RL44B_YEAST,reviewed,Eukaryotic ribosomal protein eL42 family,PF00935;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P05737,RL7A_YEAST,reviewed,Universal ribosomal protein uL30 family,PF00327;PF08079;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P02400,RLA4_YEAST,reviewed,Eukaryotic ribosomal protein P1/P2 family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P36519,RM07_YEAST,reviewed,Universal ribosomal protein uL5 family,PF00281;PF00673;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P36531,RM36_YEAST,reviewed,Bacterial ribosomal protein bL31 family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32387,RM41_YEAST,reviewed,Universal ribosomal protein uL23 family,PF00276;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P19956,RM44_YEAST,reviewed,Mitochondrion-specific ribosomal protein mL53 family,PF10780;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32611,RML2_YEAST,reviewed,Universal ribosomal protein uL2 family,PF00181;PF03947;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P41056,RL33B_YEAST,reviewed,Eukaryotic ribosomal protein eL33 family,PF01247;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P87262,RL34A_YEAST,reviewed,Eukaryotic ribosomal protein eL34 family,PF01199;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P14126,RL3_YEAST,reviewed,Universal ribosomal protein uL3 family,PF00297;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P0CH08,RL40A_YEAST,reviewed,Ubiquitin family; Eukaryotic ribosomal protein eL40 family,PF01020;PF00240;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P0CX86,RL41A_YEAST,reviewed,Eukaryotic ribosomal protein eL41 family,PF05162;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P10664,RL4A_YEAST,reviewed,Universal ribosomal protein uL4 family,PF14374;PF00573;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P36517,RM04_YEAST,reviewed,Universal ribosomal protein uL29 family,PF06984;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53875,RM19_YEAST,reviewed,Universal ribosomal protein uL11 family,PF00298;PF03946;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P35996,RM38_YEAST,reviewed,Universal ribosomal protein uL14 family,PF00238;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P36534,RM40_YEAST,reviewed,Universal ribosomal protein uL24 family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q03691,ROT1_YEAST,reviewed,ROT1 family,PF10681;,PIRSF017290;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q01080,RPA49_YEAST,reviewed,Eukaryotic RPA49/POLR1E RNA polymerase subunit family,PF06870;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40422,RPAB4_YEAST,reviewed,Archaeal RpoP/eukaryotic RPC10 RNA polymerase subunit family,PF03604;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P07703,RPAC1_YEAST,reviewed,Archaeal RpoD/eukaryotic RPB3 RNA polymerase subunit family,PF01000;PF01193;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P08518,RPB2_YEAST,reviewed,RNA polymerase beta chain family,PF04563;PF04561;PF04565;PF04566;PF04567;PF00562;PF04560;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P16370,RPB3_YEAST,reviewed,Archaeal RpoD/eukaryotic RPB3 RNA polymerase subunit family,PF01000;PF01193;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q05468,RQC1_YEAST,reviewed,TCF25 family,PF04910;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q04712,RRN11_YEAST,reviewed,,PF04090;,PIRSF027133;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q05022,RRP5_YEAST,reviewed,,PF00575;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q07829,RRT7_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P25298,RNA14_YEAST,reviewed,,PF05843;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P11745,RNA1_YEAST,reviewed,RNA1 family,PF13516;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q05635,RNH2B_YEAST,reviewed,RNase H2 subunit B family,PF09468;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q04847,ROY1_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32529,RPA12_YEAST,reviewed,Archaeal RpoM/eukaryotic RPA12/RPB9/RPC11 RNA polymerase family,PF02150;PF01096;,PIRSF005586;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P22276,RPC2_YEAST,reviewed,RNA polymerase beta chain family,PF04563;PF04561;PF04565;PF04566;PF04567;PF00562;PF04560;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P46969,RPE_YEAST,reviewed,Ribulose-phosphate 3-epimerase family,PF00834;,PIRSF001461;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38886,RPN10_YEAST,reviewed,Proteasome subunit S5A family,PF13519;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12532,RQC2_YEAST,reviewed,NEMF family,PF11923;PF05670;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P36532,RM37_YEAST,reviewed,Mitochondrion-specific ribosomal protein mL54 family,PF08561;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q02555,RNT1_YEAST,reviewed,,PF00035;PF00636;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53118,ROG1_YEAST,reviewed,Putative lipase ROG1 family,PF05057;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P45818,ROK1_YEAST,reviewed,"DEAD box helicase family, DDX52/ROK1 subfamily",PF00270;PF00271;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P36160,RPF2_YEAST,reviewed,RPF2 family,PF04427;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P36070,RRN3_YEAST,reviewed,RRN3 family,PF05327;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40992,RRN7_YEAST,reviewed,RRN7/TAF1B family,PF11781;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P36080,RRP14_YEAST,reviewed,SURF6 family,PF15459;PF04935;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32385,RNP1_YEAST,reviewed,,PF00076;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32349,RPC3_YEAST,reviewed,Eukaryotic RPC3/POLR3C RNA polymerase subunit family,PF08221;PF05645;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38712,RRP3_YEAST,reviewed,"DEAD box helicase family, DDX47/RRP3 subfamily",PF00270;PF00271;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q08285,RRP40_YEAST,reviewed,RRP40 family,PF15985;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q08162,RRP44_YEAST,reviewed,RNR ribonuclease family,PF13638;PF17216;PF17215;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53256,RRP46_YEAST,reviewed,RNase PH family,PF01138;PF03725;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38961,RRP8_YEAST,reviewed,"Methyltransferase superfamily, RRP8 family",PF05148;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q08746,RRS1_YEAST,reviewed,RRS1 family,PF04939;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P46784,RS10B_YEAST,reviewed,Eukaryotic ribosomal protein eS10 family,PF03501;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P20435,RPAB2_YEAST,reviewed,Archaeal RpoK/eukaryotic RPB6 RNA polymerase subunit family,PF01192;,PIRSF500154;PIRSF000778;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38902,RPB11_YEAST,reviewed,Archaeal RpoL/eukaryotic RPB11/RPC19 RNA polymerase subunit family,PF13656;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P04050,RPB1_YEAST,reviewed,RNA polymerase beta' chain family,PF04997;PF00623;PF04983;PF05000;PF04998;PF04992;PF04990;PF05001;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P17890,RPC7_YEAST,reviewed,Eukaryotic RPC7 RNA polymerase subunit family,PF11705;,PIRSF000777;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P23250,RPI1_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40571,RPR2_YEAST,reviewed,Eukaryotic/archaeal RNase P protein component 4 family,PF04032;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P36520,RM10_YEAST,reviewed,Universal ribosomal protein uL15 family,PF00828;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12487,RM23_YEAST,reviewed,Universal ribosomal protein uL13 family,PF00572;,PIRSF002181;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
